osmid,oneway,highway,reversed,length,geometry,name,junction,lanes
205618980,True,secondary,False,61.613,"LINESTRING (60.5914417 26.1913367, 60.5916508 26.1914398, 60.591977 26.1916128)",,,
205618957,False,secondary_link,False,9.739,"LINESTRING (60.5922146 26.1917388, 60.5921631 26.1918132)",,,
205618980,True,secondary,False,95.378,"LINESTRING (60.5922146 26.1917388, 60.5927626 26.1920295, 60.5930449 26.1921634)",,,
205618957,False,secondary_link,True,9.739,"LINESTRING (60.5921631 26.1918132, 60.5922146 26.1917388)",,,
205618979,True,secondary,False,90.16,"LINESTRING (60.5921631 26.1918132, 60.591606 26.1915042, 60.5914417 26.1913367)",,,
205618980,True,secondary,False,8.877,"LINESTRING (60.5930449 26.1921634, 60.5931247 26.1921987)",,,
1010904145,False,residential,False,47.251999999999995,"LINESTRING (60.5930449 26.1921634, 60.5931004 26.1920237, 60.5931862 26.1917956, 60.593198 26.1917613)",,,
205618945,False,secondary_link,True,10.995,"LINESTRING (60.5940832 26.1925264, 60.5940467 26.1926197)",,,
205618980,True,secondary,False,87.973,"LINESTRING (60.5940832 26.1925264, 60.5947765 26.1927448, 60.5949228 26.1927569)",,,
205618945,False,secondary_link,False,10.995,"LINESTRING (60.5940467 26.1926197, 60.5940832 26.1925264)",,,
205618979,True,secondary,False,92.756,"LINESTRING (60.5940467 26.1926197, 60.5932861 26.1923801, 60.5931753 26.1923311)",,,
205618963,True,secondary,False,27.77,"LINESTRING (60.5951882 26.1927354, 60.595247 26.1927689, 60.5952941 26.1928148, 60.5953264 26.1928701, 60.5953416 26.192931)",میدان سیمرغ,roundabout,
377692483,False,residential,False,69.63,"LINESTRING (60.5951882 26.1927354, 60.595116 26.1923493, 60.5950045 26.192137)",,,
205618963,True,secondary,False,27.764,"LINESTRING (60.5949228 26.1927569, 60.5949844 26.1927279, 60.5950523 26.1927143, 60.5951218 26.1927168, 60.5951882 26.1927354)",میدان سیمرغ,roundabout,
205618963,True,secondary,False,20.826,"LINESTRING (60.5948136 26.1929115, 60.5948344 26.1928519, 60.5948716 26.1927992, 60.5949228 26.1927569)",میدان سیمرغ,roundabout,
