osmid,oneway,name,highway,maxspeed,reversed,length,geometry,junction
540959735,False,,residential,,False,122.54,"LINESTRING (46.2415075 34.2835701, 46.2416544 34.2836201, 46.2416245 34.2837407, 46.2420771 34.2838767, 46.2420771 34.2839168, 46.2423427 34.2839508, 46.2424176 34.2839787, 46.2424886 34.2839941, 46.2424961 34.2840528)",
522104019,False,,residential,,True,43.551,"LINESTRING (46.2392224 34.2838659, 46.2394074 34.2835053)",
522104015,False,,residential,,False,77.36,"LINESTRING (46.2392224 34.2838659, 46.2390538 34.2842859, 46.2392726 34.2844632)",
522105359,False,شهبازی,residential,,True,107.309,"LINESTRING (46.2392224 34.2838659, 46.2395526 34.2840065, 46.2399127 34.284073, 46.240339 34.2840997)",
540959716,False,دلنواز,tertiary,,False,38.741,"LINESTRING (46.241052 34.2843732, 46.2412014 34.2840474)",
540959716,False,دلنواز,tertiary,,True,21.78,"LINESTRING (46.241052 34.2843732, 46.2409944 34.2845632)",
522105359,False,شهبازی,residential,,False,75.03399999999999,"LINESTRING (46.241052 34.2843732, 46.2406421 34.2841187, 46.240339 34.2840997)",
540959718,False,,residential,,False,139.363,"LINESTRING (46.241052 34.2843732, 46.2412552 34.2844783, 46.2419815 34.2846205, 46.242432 34.2846771, 46.2425048 34.2846922)",
540959716,False,دلنواز,tertiary,,False,11.914,"LINESTRING (46.2407333 34.2851845, 46.2407776 34.2850838)",
540959716,False,دلنواز,tertiary,,True,58.41,"LINESTRING (46.2407333 34.2851845, 46.2402032 34.2854745)",
522104015,False,,residential,,False,84.916,"LINESTRING (46.2407333 34.2851845, 46.2410876 34.285341, 46.2416073 34.2852963)",
522104015,False,,residential,,True,48.553,"LINESTRING (46.2407333 34.2851845, 46.2404533 34.2850293, 46.2402715 34.2849801)",
522101914,False,,residential,,True,18.036,"LINESTRING (46.2443107 34.2791482, 46.2443117 34.278986)",
522104022,False,,residential,,False,98.91,"LINESTRING (46.2443107 34.2791482, 46.2445956 34.280006)",
689108111,False,,unclassified,,False,266.46099999999996,"LINESTRING (46.2443107 34.2791482, 46.2445418 34.2793107, 46.2448493 34.2795128, 46.245133 34.2797429, 46.2452342 34.2798812, 46.2452908 34.2800404, 46.2452917 34.2802588, 46.2453384 34.2804743, 46.2454467 34.2806311, 46.2456103 34.2807276, 46.2457583 34.2808434, 46.2459361 34.280997)",
522101923,False,,tertiary,,True,154.69,"LINESTRING (46.2400889 34.2789801, 46.2398574 34.2790033, 46.238865 34.2787227, 46.2385138 34.2785619)",
540959716,False,دلنواز,tertiary,,False,4.202,"LINESTRING (46.2417254 34.2831469, 46.2417468 34.2831135)",
540959716,False,دلنواز,tertiary,,True,51.139,"LINESTRING (46.2417254 34.2831469, 46.2415075 34.2835701)",
522104019,False,,residential,,False,47.912000000000006,"LINESTRING (46.2417254 34.2831469, 46.2413694 34.283006, 46.2412427 34.2830089)",
522104022,False,,residential,,True,98.91,"LINESTRING (46.2445956 34.280006, 46.2443107 34.2791482)",
522104020,False,,residential,,False,159.796,"LINESTRING (46.2445956 34.280006, 46.244754 34.2805462, 46.2449884 34.2809286, 46.2452257 34.2810918, 46.2453268 34.2812246, 46.2453431 34.2812629)",
522104022,False,,residential,,False,206.782,"LINESTRING (46.2445956 34.280006, 46.244525 34.2802055, 46.2444548 34.2805303, 46.2445615 34.2810688, 46.2447217 34.2815581, 46.2448278 34.2818127)",
137329081,False,,tertiary,50,True,16.629,"LINESTRING (46.241481 34.2819655, 46.2416283 34.2820524)",
522104014,False,,tertiary,,True,118.732,"LINESTRING (46.241481 34.2819655, 46.2416713 34.2817637, 46.2419279 34.2815206, 46.242133 34.2810615)",
522104014,False,,tertiary,,True,17.906,"LINESTRING (46.242133 34.2810615, 46.2422418 34.2809279)",
522104014,False,,tertiary,,False,118.732,"LINESTRING (46.242133 34.2810615, 46.2419279 34.2815206, 46.2416713 34.2817637, 46.241481 34.2819655)",
522104021,False,,residential,,False,271.945,"LINESTRING (46.242133 34.2810615, 46.2427281 34.2816317, 46.2428561 34.2818624, 46.2428022 34.2823988, 46.2428902 34.2828007, 46.2432155 34.2832131)",
540959718,False,,residential,,False,27.767,"LINESTRING (46.2450902 34.2839677, 46.2452155 34.2838759, 46.245348 34.2838556)",
540959718,False,,residential,,True,108.27000000000001,"LINESTRING (46.2450902 34.2839677, 46.2451433 34.2841741, 46.2447681 34.2841805, 46.2442372 34.284292)",
540959728,False,,residential,,False,70.217,"LINESTRING (46.2450902 34.2839677, 46.2448224 34.2838894, 46.2443433 34.2838626)",
522104022,False,,residential,,False,28.482,"LINESTRING (46.2453921 34.282791, 46.2453315 34.2830422)",
