osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,width
188259138,میدان توحید,tertiary,roundabout,True,False,12.747,"LINESTRING (59.2132114 32.8632574, 59.2131839 32.8632744, 59.2131517 32.8632838, 59.2131176 32.8632847, 59.2130847 32.8632771)",,,
548218263,طهماسبی,secondary,,True,False,158.395,"LINESTRING (59.2188899 32.8602268, 59.220584 32.8601627)",3,50,
616650973,عدالت,tertiary,,False,True,54.227,"LINESTRING (59.2188899 32.8602268, 59.2189093 32.8597394)",,,
188138513,,tertiary,,False,True,11.158,"LINESTRING (59.220584 32.8601627, 59.2205804 32.860263)",,,
188138360,رسالت,tertiary,,False,False,38.355,"LINESTRING (59.220584 32.8601627, 59.2205881 32.8600695, 59.2205992 32.859818)",,,
548218263,طهماسبی,secondary,,True,False,156.47400000000002,"LINESTRING (59.220584 32.8601627, 59.2221275 32.8600821, 59.2221553 32.8600799, 59.2222561 32.8600775)",3,50,
188138348,بلوار پاسداران,secondary,,True,False,70.177,"LINESTRING (59.2221671 32.8621415, 59.2221943 32.8615108)",4,60,
"[654713754, 654713755]","['حکمت ۲', 'پاسداران ۷']",residential,,False,True,159.685,"LINESTRING (59.2221671 32.8621415, 59.2212894 32.8621909, 59.2204606 32.8622283)",,,
54733381,شهید تیمورپور,tertiary,,False,True,113.841,"LINESTRING (59.2211967 32.8651948, 59.2207132 32.8661346)",2,40,
762788533,نواب صفوی شرقی,tertiary,,False,True,240.337,"LINESTRING (59.2211967 32.8651948, 59.218638 32.8654243)",2,50,
188138759,نواب صفوی,tertiary,,True,False,94.43700000000001,"LINESTRING (59.2211967 32.8651948, 59.2212807 32.8651827, 59.221335 32.8651911, 59.2214931 32.8652792, 59.2216669 32.8653974, 59.2217837 32.8654958, 59.2218402 32.8655434, 59.2219652 32.8656871)",2,50,
651645953,شهید تیمورپور,tertiary,,True,False,82.559,"LINESTRING (59.2211967 32.8651948, 59.2214176 32.8647712, 59.2215068 32.8646001, 59.2215513 32.8645147)",2,50,
188138803,خیابان شهید نوربخش,tertiary,,False,True,73.141,"LINESTRING (59.218797 32.8623156, 59.2188325 32.8616585)",,,
631401796,باهنر ۱,tertiary,,False,False,77.222,"LINESTRING (59.218797 32.8623156, 59.2187605 32.8630094)",,,
"[655886560, 616649266]","['نوربخش ۲۰', 'حکمت ۱']",residential,,False,False,155.687,"LINESTRING (59.218797 32.8623156, 59.2196335 32.862269, 59.2204606 32.8622283)",,,
"[112987913, 655886562]","['نوربخش ۱۹', 'مدرس ۲۸']",residential,,False,True,169.59699999999998,"LINESTRING (59.218797 32.8623156, 59.2178263 32.8623549, 59.2169834 32.8623904)",,,
616656445,رسالت ۴,residential,,False,True,120.388,"LINESTRING (59.2219144 32.8592424, 59.2206261 32.8592096)",,,
188138753,,residential,,False,False,48.345,"LINESTRING (59.2219144 32.8592424, 59.2219013 32.8594894, 59.2221245 32.8594935)",,,
188138753,,residential,,False,True,45.752,"LINESTRING (59.2219144 32.8592424, 59.2219263 32.8590192, 59.2221501 32.8590229)",,,
614794524,باهنر غربی,tertiary,,False,False,157.435,"LINESTRING (59.2170777 32.8630909, 59.2187605 32.8630094)",2,50,
112987783,میدان سوم مدرس,secondary,roundabout,True,False,16.392999999999997,"LINESTRING (59.2170777 32.8630909, 59.2170671 32.8631366, 59.2170388 32.8631768, 59.2169961 32.8632065, 59.2169876 32.8632091)",,,
729099292,سید جمال الدین اسدآبادی,tertiary,,False,True,158.609,"LINESTRING (59.2167522 32.863085, 59.2150569 32.8631677)",,50,
112987783,میدان سوم مدرس,secondary,roundabout,True,False,17.848,"LINESTRING (59.2167522 32.863085, 59.2167602 32.8630455, 59.2167815 32.8630096, 59.2168144 32.8629804, 59.2168559 32.8629605)",,,
112987977,رسالت ۲,residential,,False,False,110.621,"LINESTRING (59.2217835 32.8598244, 59.2205992 32.859818)",,,
188138803,خیابان شهید نوربخش,tertiary,,False,False,73.887,"LINESTRING (59.2189039 32.8603343, 59.2188681 32.8609981)",,,
548218268,طهماسبی,secondary,,True,False,170.93200000000002,"LINESTRING (59.2189039 32.8603343, 59.2171832 32.86043, 59.2171487 32.8604319, 59.2170777 32.8604325)",3,50,
188138753,,residential,,False,True,48.345,"LINESTRING (59.2221245 32.8594935, 59.2219013 32.8594894, 59.2219144 32.8592424)",,,
54733372,باهنر ۳,tertiary,,False,True,77.765,"LINESTRING (59.2204606 32.8622283, 59.2204497 32.8629276)",,,
654713750,شهید حکمت,tertiary,,False,False,71.982,"LINESTRING (59.2204606 32.8622283, 59.2205 32.8615818)",,,
"[655886560, 616649266]","['نوربخش ۲۰', 'حکمت ۱']",residential,,False,True,155.687,"LINESTRING (59.2204606 32.8622283, 59.2196335 32.862269, 59.218797 32.8623156)",,,
"[654713754, 654713755]","['حکمت ۲', 'پاسداران ۷']",residential,,False,False,159.685,"LINESTRING (59.2204606 32.8622283, 59.2212894 32.8621909, 59.2221671 32.8621415)",,,
112987705,عدالت ۲,residential,,False,False,115.235,"LINESTRING (59.2201423 32.8597749, 59.2189093 32.8597394)",,,
"[519410720, 112987796]",,residential,,False,True,55.443,"LINESTRING (59.2175729 32.8591246, 59.2175626 32.8593567, 59.2172456 32.8593505)",,,
"[112987947, 653661083]","['عدالت ۳', 'مدرس ۳۶']",residential,,False,False,127.03099999999999,"LINESTRING (59.2175729 32.8591246, 59.2182089 32.8591404, 59.2189323 32.8591587)",,,
"[519410720, 112987796]",,residential,,False,False,55.443,"LINESTRING (59.2172456 32.8593505, 59.2175626 32.8593567, 59.2175729 32.8591246)",,,
54733372,باهنر ۳,tertiary,,False,False,77.765,"LINESTRING (59.2204497 32.8629276, 59.2204606 32.8622283)",,,
614794524,باهنر غربی,tertiary,,False,False,157.838,"LINESTRING (59.2204497 32.8629276, 59.2221368 32.8628459)",2,50,
614794524,باهنر غربی,tertiary,,False,True,158.034,"LINESTRING (59.2204497 32.8629276, 59.2187605 32.8630094)",2,50,
112987705,عدالت ۲,residential,,False,True,115.235,"LINESTRING (59.2189093 32.8597394, 59.2201423 32.8597749)",,,
616650973,عدالت,tertiary,,False,False,54.227,"LINESTRING (59.2189093 32.8597394, 59.2188899 32.8602268)",,,
616650973,عدالت,tertiary,,False,True,64.607,"LINESTRING (59.2189093 32.8597394, 59.2189323 32.8591587)",,,
