osmid,oneway,ref,name,highway,reversed,length,geometry,junction,maxspeed,bridge
373408771,True,18,امام خمینی,primary,False,12.265,"LINESTRING (53.9480055 36.7744231, 53.9479119 36.774504)",,,
209838911,True,18,شهید مطهری,primary,False,226.72699999999998,"LINESTRING (53.9480055 36.7744231, 53.9482981 36.7745047, 53.9487891 36.7746392, 53.9498864 36.7749184, 53.9502579 36.7749947, 53.9504386 36.775012)",,,
35971337,False,,امام جعفر صادق,tertiary,True,117.571,"LINESTRING (53.9504634 36.7752306, 53.9503141 36.7755698, 53.9502702 36.7756446, 53.9502561 36.7756686, 53.9500168 36.7760763, 53.9499425 36.7762008)",,,
209838903,True,,میدان شهرداری,primary,False,10.782,"LINESTRING (53.9504634 36.7752306, 53.9504288 36.7752139, 53.9504007 36.7751908, 53.9503809 36.7751626)",roundabout,,
209838912,False,18,خط نوکنده,primary,False,12.493,"LINESTRING (53.9481723 36.7739336, 53.9480377 36.773902)",,,
299547960,False,,امام خمینی,secondary,True,28.97,"LINESTRING (53.9481723 36.7739336, 53.9482257 36.7736766)",,,
373408771,True,18,امام خمینی,primary,False,56.437,"LINESTRING (53.9481723 36.7739336, 53.9481455 36.7739965, 53.9480055 36.7744231)",,,
773056121,True,,,primary,False,7.311999999999999,"LINESTRING (53.943768 36.7708768, 53.9437468 36.7708676, 53.9436986 36.7708418)",roundabout,,
209838912,False,18,خط نوکنده,primary,True,54.292,"LINESTRING (53.9441022 36.7710858, 53.9444924 36.7714609)",,,
773056123,True,18,بندر گز - نوکنده,primary,False,37.765,"LINESTRING (53.9441022 36.7710858, 53.943768 36.7708768)",,,
209838912,False,18,خط نوکنده,primary,False,41.238,"LINESTRING (53.9448115 36.7717296, 53.9444924 36.7714609)",,,
209838912,False,18,خط نوکنده,primary,True,36.801,"LINESTRING (53.9448115 36.7717296, 53.9451092 36.7719591)",,,
1157970094,False,,,residential,False,25.9,"LINESTRING (53.9448115 36.7717296, 53.9446467 36.7719215)",,,
209838912,False,18,خط نوکنده,primary,False,28.184,"LINESTRING (53.9460226 36.7726479, 53.9457807 36.7724845)",,,
209838912,False,18,خط نوکنده,primary,True,8.59,"LINESTRING (53.9460226 36.7726479, 53.9460907 36.7727026)",,,
"[619529970, 630186525]",False,,"['فردوس ۵', 'انقلاب ۴۳']",residential,False,231.02999999999997,"LINESTRING (53.9460226 36.7726479, 53.9461262 36.771911, 53.9471925 36.7718163, 53.9475769 36.7718088, 53.9476443 36.7716489)",,,
209838912,False,18,خط نوکنده,primary,False,51.028,"LINESTRING (53.9468647 36.7732325, 53.9464417 36.772923)",,,
209838912,False,18,خط نوکنده,primary,True,41.08,"LINESTRING (53.9468647 36.7732325, 53.9472182 36.7734698)",,,
619532479,False,,فردوس ۳,residential,False,86.571,"LINESTRING (53.9468647 36.7732325, 53.9471182 36.7724809)",,,
365817878,False,,شهید امیر لطیفی,tertiary,True,120.965,"LINESTRING (53.9479119 36.774504, 53.9476376 36.7744336, 53.9465808 36.7742989)",,30,
373408761,False,,امام خمینی,secondary,False,70.238,"LINESTRING (53.9479119 36.774504, 53.9477346 36.7749749, 53.947701 36.7751121)",,,
1092561383,True,,,primary,False,68.872,"LINESTRING (53.9479119 36.774504, 53.9478844 36.7744066, 53.9480118 36.7739673, 53.9480377 36.773902)",,,
209838903,True,,میدان شهرداری,primary,False,35.955,"LINESTRING (53.9504386 36.775012, 53.9504845 36.7749952, 53.9505347 36.7749909, 53.9505839 36.7749996, 53.9506271 36.7750205, 53.9506598 36.7750514, 53.9506785 36.7750889, 53.9506812 36.7751293, 53.9506678 36.7751682)",roundabout,,
365835555,False,,انقلاب ۵۳,tertiary,True,104.221,"LINESTRING (53.947701 36.7751121, 53.9465387 36.7750037)",,30,
