osmid,oneway,name,highway,reversed,length,lanes,bridge,geometry,ref
"[502791172, 224445747, 1088516276, 224216374, 973566045, 973566046, 970167039]",False,"['Jalan Sumur Srumbung', 'Jalan Pasar Sore']",residential,"[False, True]",653.4260000000002,2,yes,"LINESTRING (112.0628813 -6.8929965, 112.0629211 -6.8928982, 112.0630876 -6.8924161, 112.0630988 -6.8923885, 112.0631034 -6.8923815, 112.0631092 -6.8923765, 112.0631167 -6.8923723, 112.0631293 -6.8923674, 112.0631363 -6.8923665, 112.0631426 -6.8923664, 112.063146 -6.8923669, 112.0631654 -6.8923714, 112.0639928 -6.8926754, 112.0648242 -6.8929839, 112.0649772 -6.8930369, 112.0654068 -6.8931744, 112.0657047 -6.8932637, 112.0658255 -6.8933019, 112.0659527 -6.8933332, 112.066204 -6.8934074, 112.0662822 -6.8934319, 112.0669538 -6.893639, 112.067043 -6.8936696, 112.0673434 -6.8937691, 112.0675507 -6.8938403, 112.0675654 -6.8938458, 112.0675834 -6.8938521, 112.0676812 -6.8938852, 112.0677125 -6.8938959, 112.0677899 -6.8939254, 112.067809 -6.893934, 112.0678525 -6.8939536, 112.0679114 -6.8939825, 112.0679632 -6.8940128, 112.0679954 -6.8940361, 112.0680221 -6.8940577, 112.068053 -6.8940846)",
723354412,False,Jalan Panglima Besar Sudirman,trunk,True,157.463,3,,"LINESTRING (112.0628813 -6.8929965, 112.0628261 -6.8929723, 112.0627956 -6.8929576, 112.0619008 -6.8925578, 112.0618115 -6.8925181, 112.0615804 -6.8924157)",1
723354413,False,Jalan Panglima Besar Sudirman,trunk,False,226.524,2,,"LINESTRING (112.0628813 -6.8929965, 112.0629925 -6.8930492, 112.0631989 -6.8931484, 112.0636721 -6.893376, 112.0639691 -6.8935176, 112.0644992 -6.8937704, 112.0647272 -6.8938862)",1
982058417,False,Jalan Pemuda,secondary,True,276.11,,,"LINESTRING (112.0628813 -6.8929965, 112.0628278 -6.8931174, 112.0625762 -6.8936855, 112.0623277 -6.8942467, 112.0618755 -6.89527)",
"[1085750490, 224218453]",False,"['Jalan Sunan Bonang', 'Jalan Raden Ajeng Kartini']",tertiary,"[False, True]",241.20199999999997,,,"LINESTRING (112.0647272 -6.8938862, 112.0646909 -6.8939975, 112.0646319 -6.8941999, 112.0645799 -6.8944168, 112.0645633 -6.8944864, 112.0645085 -6.8947181, 112.0644469 -6.8949781, 112.06442 -6.8950919, 112.0643887 -6.8952325, 112.0643236 -6.8955256, 112.0643154 -6.8955705, 112.0643127 -6.8956178, 112.0643147 -6.895655, 112.0643234 -6.8956894, 112.0643351 -6.8957187, 112.0643558 -6.8957553, 112.0643965 -6.8958048, 112.0644388 -6.8958335, 112.0644864 -6.8958592, 112.0645528 -6.8958908)",
"[723354413, 1079811102, 1079811103]",False,Jalan Panglima Besar Sudirman,trunk,False,173.36499999999998,2,,"LINESTRING (112.0647272 -6.8938862, 112.0647987 -6.8939178, 112.0653637 -6.8941551, 112.0653953 -6.8941691, 112.0654359 -6.8941864, 112.065521 -6.8942213, 112.065616 -6.8942603, 112.0657349 -6.8943101, 112.0661001 -6.8944568, 112.066177 -6.8944852)",1
723354413,False,Jalan Panglima Besar Sudirman,trunk,True,226.524,2,,"LINESTRING (112.0647272 -6.8938862, 112.0644992 -6.8937704, 112.0639691 -6.8935176, 112.0636721 -6.893376, 112.0631989 -6.8931484, 112.0629925 -6.8930492, 112.0628813 -6.8929965)",1
723354412,False,Jalan Panglima Besar Sudirman,trunk,False,107.885,3,,"LINESTRING (112.0606965 -6.8920018, 112.0609497 -6.8921217, 112.0613198 -6.8922954, 112.0615804 -6.8924157)",1
224210819,True,Jalan Veteran,secondary,False,7.963,2,,"LINESTRING (112.0647058 -6.9003653, 112.0647228 -6.9002957)",
499419293,True,Jalan Basuki Rahmad,primary,False,149.823,2,,"LINESTRING (112.0647058 -6.9003653, 112.0645396 -6.9003193, 112.0641283 -6.9002053, 112.0640426 -6.9001815, 112.0639067 -6.9001437, 112.0635667 -6.9000492, 112.0633986 -6.9000029)",
