osmid,oneway,lanes,name,highway,reversed,length,est_width,geometry,bridge,access,maxspeed
28997122,False,1,Jalan Kanjeng Dalem,residential,False,51.403,,"LINESTRING (106.6337432 -6.1740516, 106.6342074 -6.1740783)",,,
28997158,False,1,Jalan Setia,residential,True,108.833,,"LINESTRING (106.6337432 -6.1740516, 106.6340108 -6.1731097)",,,
28997122,False,1,Jalan Kanjeng Dalem,residential,False,63.779,,"LINESTRING (106.6342074 -6.1740783, 106.6347841 -6.1740943)",,,
28997122,False,1,Jalan Kanjeng Dalem,residential,True,51.403,,"LINESTRING (106.6342074 -6.1740783, 106.6337432 -6.1740516)",,,
28997159,False,1,Jalan Sentosa,residential,False,51.596,,"LINESTRING (106.6342074 -6.1740783, 106.6342103 -6.1745423)",,,
28997159,False,1,Jalan Sentosa,residential,True,101.751,,"LINESTRING (106.6342074 -6.1740783, 106.6343495 -6.1731742)",,,
28997122,False,1,Jalan Kanjeng Dalem,residential,True,63.779,,"LINESTRING (106.6347841 -6.1740943, 106.6342074 -6.1740783)",,,
28997128,False,2,Jalan Ahmad Yani,tertiary,False,85.083,9.84,"LINESTRING (106.6347841 -6.1740943, 106.634768 -6.1748593)",,,
998102084,False,2,Jalan Ahmad Yani,tertiary,True,97.009,9.84,"LINESTRING (106.6347841 -6.1740943, 106.6348952 -6.1732289)",,,
28997123,False,1,Jalan Pengairan,residential,False,38.124,,"LINESTRING (106.6340108 -6.1731097, 106.6343495 -6.1731742)",,,
28997158,False,1,Jalan Setia,residential,False,108.833,,"LINESTRING (106.6340108 -6.1731097, 106.6337432 -6.1740516)",,,
28997123,False,1,Jalan Pengairan,residential,False,60.633,,"LINESTRING (106.6343495 -6.1731742, 106.6348952 -6.1732289)",,,
28997123,False,1,Jalan Pengairan,residential,True,38.124,,"LINESTRING (106.6343495 -6.1731742, 106.6340108 -6.1731097)",,,
28997159,False,1,Jalan Sentosa,residential,False,101.751,,"LINESTRING (106.6343495 -6.1731742, 106.6342074 -6.1740783)",,,
28997123,False,1,Jalan Pengairan,residential,True,60.633,,"LINESTRING (106.6348952 -6.1732289, 106.6343495 -6.1731742)",,,
998102084,False,2,Jalan Ahmad Yani,tertiary,False,97.009,9.84,"LINESTRING (106.6348952 -6.1732289, 106.6347841 -6.1740943)",,,
998102084,False,2,Jalan Ahmad Yani,tertiary,True,48.85,9.84,"LINESTRING (106.6348952 -6.1732289, 106.6349502 -6.172793)",,,
739713021,True,2,Jalan Nyi Mas Melati,residential,False,136.33,,"LINESTRING (106.6349502 -6.172793, 106.6337594 -6.1724743)",,,
998102084,False,2,Jalan Ahmad Yani,tertiary,False,48.85,9.84,"LINESTRING (106.6349502 -6.172793, 106.6348952 -6.1732289)",,,
565246323,False,1,Jalan Haji Abdulah,residential,False,55.474,,"LINESTRING (106.6349502 -6.172793, 106.6350026 -6.1728077, 106.6354385 -6.1729077)",,,
708702808,True,2,Jalan Ahmad Yani,tertiary,False,28.514,,"LINESTRING (106.6350692 -6.1720182, 106.6350248 -6.1722708)",,,
"[28997161, 674857751, 565246328, 565246329, 987856926]",False,,Siswa,residential,False,104.563,,"LINESTRING (106.6350692 -6.1720182, 106.6350967 -6.1720263, 106.6355723 -6.1721673, 106.635586 -6.1721703, 106.6356763 -6.1721854, 106.6357015 -6.1721911, 106.6359908 -6.1721991)",yes,,
762100611,True,2,Jalan Ahmad Yani,tertiary,False,58.649,9.16,"LINESTRING (106.6350248 -6.1722708, 106.6349502 -6.172793)",,,
