osmid,oneway,lanes,name,highway,width,reversed,length,geometry,est_width
449551314,True,4,Jalan Majapahit,primary,9,False,61.549,"LINESTRING (106.8235643 -6.1714319, 106.8233742 -6.1713854, 106.8231418 -6.1713311, 106.8230217 -6.1713084)",
"[416531705, 594116154]",True,3,,primary_link,6,False,87.795,"LINESTRING (106.8235643 -6.1714319, 106.8234743 -6.1714555, 106.8234231 -6.171476, 106.8233977 -6.1714838, 106.823308 -6.1715646, 106.8232709 -6.171607, 106.8232354 -6.1716677, 106.8232245 -6.1716978, 106.8231966 -6.1717907, 106.8231764 -6.1718944, 106.8231516 -6.1720265)",
1239781918,True,4,Jalan Medan Merdeka Utara,primary,6,False,217.248,"LINESTRING (106.8255292 -6.1714617, 106.8239241 -6.1714397, 106.8235643 -6.1714319)",
18577317,True,3,Jalan Veteran III,tertiary,6,False,38.744,"LINESTRING (106.8256725 -6.171155, 106.8256702 -6.171189, 106.8256628 -6.1712283, 106.8256452 -6.1712962, 106.8256172 -6.1713629, 106.8255709 -6.1714163, 106.8255292 -6.1714617)",10.25
382743656,True,3,Jalan Medan Merdeka Utara,primary,6,False,148.249,"LINESTRING (106.8256725 -6.171155, 106.8261086 -6.1711622, 106.8269214 -6.1711716, 106.8270133 -6.1711756)",
736720471,True,6,Jalan Medan Merdeka Timur,primary,8,False,309.504,"LINESTRING (106.8309815 -6.1761857, 106.8309771 -6.1761618, 106.8309461 -6.1760309, 106.8308772 -6.1757781, 106.8307332 -6.1752589, 106.8305978 -6.1747708, 106.8305941 -6.1747555, 106.8305006 -6.1744637, 106.8304908 -6.1744331, 106.8304489 -6.1743024, 106.830432 -6.1742526, 106.8303436 -6.173986, 106.8303038 -6.1738658, 106.8302351 -6.1736586, 106.8301935 -6.1735159)",18.42
458897498,True,2,Jalan Pejambon,primary,,False,40.678999999999995,"LINESTRING (106.8313952 -6.1764483, 106.8312495 -6.1764528, 106.8311787 -6.1764456, 106.831114 -6.1764308, 106.8310402 -6.1763896)",
759507492,True,3,Jalan Medan Merdeka Utara,primary,6,False,45.404,"LINESTRING (106.8285348 -6.1712157, 106.828929 -6.1713303)",
512727084,True,2,Jalan Veteran I,tertiary,7,False,40.205,"LINESTRING (106.8285348 -6.1712157, 106.8287708 -6.1712144, 106.8288982 -6.171206)",
764070766,True,3,Jalan Medan Merdeka Barat,primary,8,False,88.809,"LINESTRING (106.8227484 -6.1754115, 106.8227486 -6.17539, 106.8227538 -6.1748794, 106.8227587 -6.17466, 106.8227586 -6.1746129)",
556960709,True,3,Jalan Medan Merdeka Utara,primary,6,False,55.461,"LINESTRING (106.8295158 -6.1719117, 106.8295324 -6.1724102)",
29713020,True,4,Jalan Medan Merdeka Timur,primary,8,False,23.592,"LINESTRING (106.8310402 -6.1763896, 106.8309907 -6.176226, 106.8309815 -6.1761857)",
