osmid,highway,oneway,reversed,length,geometry,lanes,maxspeed,tunnel,name
476448284,residential,False,False,86.165,"LINESTRING (125.1981136 1.4438612, 125.1978823 1.4446008)",,,,
588320640,trunk,False,True,30.422,"LINESTRING (125.1981136 1.4438612, 125.1978608 1.4437564)",,,,
476023989,residential,False,True,252.77999999999997,"LINESTRING (125.1981136 1.4438612, 125.1976123 1.4437903, 125.1975748 1.4438224, 125.1974648 1.4441522, 125.1973173 1.4443426, 125.1972261 1.4445437, 125.1970088 1.4454259)",,,,
100791552,trunk,True,False,43.561,"LINESTRING (125.1904418 1.4426998, 125.1908333 1.4426826)",,,,
576984699,residential,True,False,12.994,"LINESTRING (125.1904418 1.4426998, 125.1904304 1.4425835)",,,,
476790023,tertiary,False,False,12.981,"LINESTRING (125.19238 1.4424516, 125.1923858 1.4425682)",,,,
"[255332288, 476790022]",trunk,True,False,217.23199999999997,"LINESTRING (125.19238 1.4424516, 125.1921828 1.442459, 125.191866 1.442481, 125.1913045 1.442514, 125.1904304 1.4425835)",,,,
476242390,residential,False,False,91.69800000000001,"LINESTRING (125.1952118 1.4465614, 125.195396 1.4465972, 125.195578 1.4466102, 125.1957509 1.4466137, 125.1960137 1.4467156)",,,,
476448291,tertiary,False,False,152.841,"LINESTRING (125.1952118 1.4465614, 125.1951963 1.4467103, 125.1951796 1.4469013, 125.1951789 1.4469757, 125.1951883 1.4470977, 125.1952004 1.4472157, 125.1952245 1.4473015, 125.1952681 1.4474014, 125.195313 1.4474791, 125.195374 1.4475569, 125.1954646 1.4476434, 125.1955464 1.447701, 125.1956416 1.4477471)",,,,
476448291,tertiary,False,True,63.617000000000004,"LINESTRING (125.1952118 1.4465614, 125.1952279 1.4464528, 125.1952346 1.4463764, 125.1952171 1.4462906, 125.1951514 1.4461713, 125.1950669 1.4460332)",,,,
100791559,tertiary,True,False,23.118,"LINESTRING (125.1905756 1.4442608, 125.1903677 1.4442662)",,,,
587362560,residential,True,False,174.212,"LINESTRING (125.1905756 1.4442608, 125.1905363 1.4437894, 125.1904418 1.4426998)",,,,
100791562,residential,False,True,54.669,"LINESTRING (125.1947571 1.4443761, 125.1942663 1.4444075)",,,,
476448291,tertiary,False,False,193.173,"LINESTRING (125.1947571 1.4443761, 125.1947786 1.4451738, 125.1947987 1.4456082, 125.1948282 1.4456846, 125.1948993 1.4457879, 125.1949838 1.4459072, 125.1950669 1.4460332)",,,,
476448291,tertiary,False,True,135.119,"LINESTRING (125.1947571 1.4443761, 125.1947276 1.4432433, 125.1947223 1.4431615)",,,,
255332177,residential,True,False,17.247,"LINESTRING (125.1905836 1.4444157, 125.1905756 1.4442608)",,,,
100791551,tertiary,True,False,128.72,"LINESTRING (125.1905836 1.4444157, 125.1915827 1.444358, 125.1917148 1.4442728)",,,,
476448291,tertiary,False,False,84.076,"LINESTRING (125.1947355 1.4424055, 125.1947223 1.4431615)",,,,
255332125,trunk,False,True,120.352,"LINESTRING (125.1947355 1.4424055, 125.1943011 1.442405, 125.1940463 1.4424597, 125.1936594 1.4424844)",,,,
588320640,trunk,False,False,255.993,"LINESTRING (125.1947355 1.4424055, 125.194847 1.4424482, 125.1950327 1.442518, 125.1952064 1.4425984, 125.1954579 1.4427003, 125.1956101 1.4427693, 125.1960191 1.442947, 125.196404 1.4431119, 125.1965529 1.4431786, 125.196855 1.4433046)",,,,
101154849,residential,False,False,73.757,"LINESTRING (125.1972345 1.4467784, 125.1971862 1.4467508, 125.1971669 1.4467466, 125.1971463 1.4467491, 125.1968419 1.4469841, 125.1966958 1.4470939)",,,,
476448297,residential,False,False,46.66,"LINESTRING (125.1972345 1.4467784, 125.197484 1.4468966, 125.1976121 1.4469616)",,,,
476448298,residential,False,True,114.749,"LINESTRING (125.1972345 1.4467784, 125.1972866 1.4465918, 125.1974089 1.4461665, 125.1975282 1.4457892)",,,,
101154849,residential,False,True,27.936999999999998,"LINESTRING (125.1965179 1.4472696, 125.1965898 1.4471812, 125.1966736 1.4471115, 125.1966958 1.4470939)",,,,
"[255332176, 476448300]",residential,False,False,88.574,"LINESTRING (125.1965179 1.4472696, 125.1967728 1.4473994, 125.1967929 1.4474463, 125.1967655 1.4475011, 125.1965715 1.447849)",,,,
660187803,residential,False,True,56.858999999999995,"LINESTRING (125.1965179 1.4472696, 125.1964751 1.4473136, 125.1963678 1.4477506)",,,,
101154842,residential,False,True,54.608,"LINESTRING (125.1979261 1.4460717, 125.1980847 1.4456069)",,,,
476448286,residential,False,False,104.928,"LINESTRING (125.1979261 1.4460717, 125.1978365 1.4463256, 125.1976121 1.4469616)",,,,
476448286,residential,False,True,104.928,"LINESTRING (125.1976121 1.4469616, 125.1978365 1.4463256, 125.1979261 1.4460717)",,,,
476448297,residential,False,True,46.66,"LINESTRING (125.1976121 1.4469616, 125.197484 1.4468966, 125.1972345 1.4467784)",,,,
