osmid,oneway,lanes,name,highway,access,width,reversed,length,geometry
8877473,True,4,Jalan Simpang Lima,primary,yes,12,False,156.982,"LINESTRING (110.4226199 -6.9892645, 110.4227218 -6.9891641, 110.4228197 -6.9891335, 110.4229367 -6.9891236, 110.4230415 -6.9891745, 110.423886 -6.9895888)"
"[23798154, 769605595]",True,"['2', '4']",Jalan Gajah Mada,tertiary,,"['12', '10']",False,116.05,"LINESTRING (110.4226199 -6.9892645, 110.422637 -6.9892275, 110.4226841 -6.9891257, 110.4227213 -6.9890446, 110.4227625 -6.9889548, 110.4228115 -6.9888202, 110.4228388 -6.9886799, 110.4228425 -6.9885605, 110.4228435 -6.9885287, 110.4228219 -6.988396, 110.4227905 -6.9882683)"
8877473,True,4,Jalan Simpang Lima,primary,yes,12,False,185.47200000000004,"LINESTRING (110.4223097 -6.9913021, 110.4218979 -6.9910964, 110.4218489 -6.9910071, 110.4218535 -6.9909035, 110.4221397 -6.9902685, 110.422267 -6.9899861)"
8877473,True,4,Jalan Simpang Lima,primary,yes,12,False,39.966,"LINESTRING (110.4230136 -6.9915676, 110.4228098 -6.9915548, 110.4226726 -6.9914772)"
8877473,True,4,Jalan Simpang Lima,primary,yes,12,False,14.831,"LINESTRING (110.4237225 -6.9904321, 110.4236651 -6.9905527)"
"[702956497, 9860898, 761168011]",True,2,Jalan Ahmad Yani,primary,,"['14', '6']",False,362.31600000000003,"LINESTRING (110.4237225 -6.9904321, 110.4246572 -6.9909041, 110.4247131 -6.9909338, 110.4255193 -6.9913393, 110.4261985 -6.9916787, 110.4263222 -6.9917405, 110.4263758 -6.991766, 110.4266565 -6.9918931)"
8877473,True,4,Jalan Simpang Lima,primary,yes,12,False,101.506,"LINESTRING (110.423886 -6.9895888, 110.4239443 -6.9896947, 110.4239702 -6.9898606, 110.4239487 -6.9899583, 110.4237225 -6.9904321)"
"[558959129, 769605594, 9860758]",True,"['1', '2']",Jalan KH. Ahmad Dahlan,tertiary,,"['6', '8']",False,117.54599999999999,"LINESTRING (110.423886 -6.9895888, 110.4239279 -6.9896069, 110.4241399 -6.9896868, 110.4242405 -6.9897174, 110.4243196 -6.9897327, 110.4244551 -6.9897095, 110.4246105 -6.98965, 110.4248927 -6.9895413)"
739465788,True,4,Jalan Pahlawan,tertiary,yes,12,False,30.477,"LINESTRING (110.4222469 -6.991569, 110.4223097 -6.9913021)"
174878793,True,4,Jalan Pahlawan,tertiary_link,yes,12,False,36.619,"LINESTRING (110.4222469 -6.991569, 110.4222952 -6.991541, 110.4223415 -6.9915157, 110.4223703 -6.9915124, 110.4223924 -6.9915084, 110.4224125 -6.9915111, 110.4224353 -6.9915331, 110.4224434 -6.9915484, 110.4224568 -6.9915823, 110.4224508 -6.9916469)"
