osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,bridge,junction
65414807,True,2,Jalan Merdeka,primary,80,False,9.636,"LINESTRING (135.5006728 -3.3590374, 135.500723 -3.3591081)",,
390796353,True,2,Jalan Yos Sudarso,trunk,100,False,358.159,"LINESTRING (135.5006728 -3.3590374, 135.5009287 -3.3588421, 135.5014464 -3.3585188, 135.502411 -3.3579451, 135.5033675 -3.3573414, 135.5034011 -3.357321)",,
670175375,False,2,Jalan Kusuma Bangsa,unclassified,80,False,146.205,"LINESTRING (135.5023827 -3.3612842, 135.5034989 -3.3605862)",,
754141642,False,2,Jalan Pemuda,unclassified,80,True,13.638,"LINESTRING (135.5023827 -3.3612842, 135.5022794 -3.3613506)",,
65414807,True,2,Jalan Merdeka,primary,80,False,39.028,"LINESTRING (135.5023827 -3.3612842, 135.5024616 -3.3614475, 135.5025125 -3.3616094)",,
322832348,False,,,unclassified,,True,150.569,"LINESTRING (135.5013481 -3.3619463, 135.5001854 -3.3626437)",,
"[390799049, 390799042, 322832348]",False,2,Jalan Pemuda,unclassified,80,False,122.78,"LINESTRING (135.5013481 -3.3619463, 135.5015233 -3.3618369, 135.5017165 -3.3617126, 135.5022794 -3.3613506)",yes,
754141641,False,,,residential,,False,94.628,"LINESTRING (135.5013481 -3.3619463, 135.5011694 -3.3616764, 135.5010313 -3.3614809, 135.5008482 -3.361258)",,
322832350,False,,,residential,,False,71.199,"LINESTRING (135.5055724 -3.3576922, 135.5058914 -3.3582477)",,
322832365,False,2,Jalan Sam Ratulangi,residential,80,False,77.434,"LINESTRING (135.5055724 -3.3576922, 135.5061569 -3.3573121)",,
322832365,False,2,Jalan Sam Ratulangi,residential,80,True,316.713,"LINESTRING (135.5055724 -3.3576922, 135.5031485 -3.3591947)",,
322832350,False,,,residential,,True,110.55,"LINESTRING (135.5067833 -3.3597418, 135.5062744 -3.3588872)",,
322832351,False,,,residential,,True,88.099,"LINESTRING (135.5067833 -3.3597418, 135.5061197 -3.3601764)",,
322832350,False,,,residential,,False,110.55,"LINESTRING (135.5062744 -3.3588872, 135.5067833 -3.3597418)",,
322832350,False,,,residential,,True,82.849,"LINESTRING (135.5062744 -3.3588872, 135.5058914 -3.3582477)",,
670175375,False,2,Jalan Kusuma Bangsa,unclassified,80,True,361.402,"LINESTRING (135.5062744 -3.3588872, 135.5042835 -3.3601046, 135.5034989 -3.3605862)",,
65414807,True,2,Jalan Merdeka,primary,80,False,150.516,"LINESTRING (135.5015441 -3.3602205, 135.5023827 -3.3612842)",,
322832365,False,2,Jalan Sam Ratulangi,residential,80,False,211.491,"LINESTRING (135.5015441 -3.3602205, 135.5031485 -3.3591947)",,
322832365,False,2,Jalan Sam Ratulangi,residential,80,True,10.497,"LINESTRING (135.5015441 -3.3602205, 135.5014676 -3.360276)",,
322832344,False,,,residential,,False,125.41,"LINESTRING (135.5058749 -3.3617738, 135.506841 -3.3611891)",,
322832351,False,,,residential,,False,267.305,"LINESTRING (135.5040582 -3.361418, 135.5043747 -3.3612466, 135.5061197 -3.3601764)",,
702656785,False,,,residential,,False,111.81,"LINESTRING (135.5040582 -3.361418, 135.5038865 -3.3612065, 135.5037296 -3.3610057, 135.5036357 -3.3608437, 135.5034989 -3.3605862)",,
"[702656785, 322832349]",False,,,residential,,"[False, True]",347.44399999999996,"LINESTRING (135.5040582 -3.361418, 135.5040957 -3.3615479, 135.5041386 -3.3616637, 135.5041889 -3.3617902, 135.5042459 -3.361906, 135.5042603 -3.361918, 135.5042888 -3.3619328, 135.504317 -3.3619378, 135.5043606 -3.3619381, 135.5044587 -3.3619023, 135.5050264 -3.3615733, 135.5064935 -3.3606745)",,
277751572,True,,,primary,,False,15.363,"LINESTRING (135.5036785 -3.3637184, 135.5036353 -3.3637346, 135.5035892 -3.363735, 135.5035457 -3.3637196)",,roundabout
390796411,False,,,trunk_link,,False,8.899,"LINESTRING (135.4993945 -3.3601772, 135.499356 -3.360107)",,
390796396,True,2,Jalan Merdeka,primary,80,False,9.569,"LINESTRING (135.5006263 -3.3591905, 135.5005711 -3.3591244)",,
"[670154752, 390796360, 390796343]",True,2,Jalan Yos Sudarso,trunk,100,False,175.53700000000003,"LINESTRING (135.5006263 -3.3591905, 135.5001282 -3.3596144, 135.499969 -3.3597499, 135.4998055 -3.359889, 135.4996258 -3.3600283, 135.4995185 -3.3601006, 135.4993945 -3.3601772)",yes,
277751572,True,,,primary,,False,16.285,"LINESTRING (135.5035457 -3.3637196, 135.5035102 -3.3636904, 135.5034867 -3.3636507, 135.5034785 -3.3635969)",,roundabout
446713743,True,,Jalan Pepera,secondary,,False,155.78799999999998,"LINESTRING (135.5035457 -3.3637196, 135.5034587 -3.3637535, 135.5033702 -3.3638017, 135.5023379 -3.3644304)",,
277751572,True,,,primary,,False,15.348,"LINESTRING (135.5034785 -3.3635969, 135.503489 -3.3635521, 135.5035142 -3.3635136, 135.5035511 -3.363486)",,roundabout
322832365,False,2,Jalan Sam Ratulangi,residential,80,False,10.497,"LINESTRING (135.5014676 -3.360276, 135.5015441 -3.3602205)",,
390796396,True,2,Jalan Merdeka,primary,80,False,152.642,"LINESTRING (135.5014676 -3.360276, 135.5007293 -3.3593091, 135.5006263 -3.3591905)",,
390796411,False,,,trunk_link,,True,8.899,"LINESTRING (135.499356 -3.360107, 135.4993945 -3.3601772)",,
"[390796353, 65414795, 390796430]",True,2,Jalan Yos Sudarso,trunk,100,False,173.82999999999998,"LINESTRING (135.499356 -3.360107, 135.4995023 -3.3600177, 135.4996521 -3.3599099, 135.4997935 -3.3597896, 135.4999152 -3.3596855, 135.50008 -3.3595445, 135.5005711 -3.3591244)",yes,
390796396,True,2,Jalan Merdeka,primary,80,False,149.66,"LINESTRING (135.5022794 -3.3613506, 135.5014676 -3.360276)",,
754141642,False,2,Jalan Pemuda,unclassified,80,False,13.638,"LINESTRING (135.5022794 -3.3613506, 135.5023827 -3.3612842)",,
"[390799049, 390799042, 322832348]",False,2,Jalan Pemuda,unclassified,80,True,122.78,"LINESTRING (135.5022794 -3.3613506, 135.5017165 -3.3617126, 135.5015233 -3.3618369, 135.5013481 -3.3619463)",yes,
390796431,True,,Jalan Pepera,secondary,,False,63.308,"LINESTRING (135.5018011 -3.3646556, 135.502287 -3.3643575)",,
390796426,False,,,residential,,True,300.497,"LINESTRING (135.5018011 -3.3646556, 135.5016133 -3.3643125, 135.5015188 -3.3641257, 135.5015127 -3.364109, 135.5015141 -3.3640929, 135.5015335 -3.3640688, 135.5024877 -3.363627, 135.5032414 -3.363287, 135.5033893 -3.3632212)",,
277751572,True,,,primary,,False,18.613,"LINESTRING (135.5036643 -3.3634828, 135.5037027 -3.3635083, 135.5037216 -3.3635307, 135.5037401 -3.3635729, 135.5037431 -3.3636188)",,roundabout
322832344,False,,,residential,,True,125.41,"LINESTRING (135.506841 -3.3611891, 135.5058749 -3.3617738)",,
390796410,False,,,residential,,True,69.01599999999999,"LINESTRING (135.506841 -3.3611891, 135.5066465 -3.3608932, 135.5064935 -3.3606745)",,
"[702656785, 322832349]",False,,,residential,,"[False, True]",347.44399999999985,"LINESTRING (135.5064935 -3.3606745, 135.5050264 -3.3615733, 135.5044587 -3.3619023, 135.5043606 -3.3619381, 135.504317 -3.3619378, 135.5042888 -3.3619328, 135.5042603 -3.361918, 135.5042459 -3.361906, 135.5041889 -3.3617902, 135.5041386 -3.3616637, 135.5040957 -3.3615479, 135.5040582 -3.361418)",,
390796410,False,,,residential,,False,69.01599999999999,"LINESTRING (135.5064935 -3.3606745, 135.5066465 -3.3608932, 135.506841 -3.3611891)",,
390796410,False,,,residential,,True,69.35300000000001,"LINESTRING (135.5064935 -3.3606745, 135.5062106 -3.3603282, 135.5061197 -3.3601764)",,
390796401,True,,,primary,,False,34.49,"LINESTRING (135.5035511 -3.363486, 135.5033893 -3.3632212)",,
