osmid,highway,oneway,reversed,length,ref,name,lanes,maxspeed,geometry,junction
30215130,residential,False,False,6.697,,,,,"LINESTRING (-67.7126101 10.2912849, -67.7126182 10.2912252)",
30215130,residential,False,True,5.431,,,,,"LINESTRING (-67.7126101 10.2912849, -67.7126063 10.2913336)",
406835783,residential,True,False,8.451,R-18,Avenida Bolívar Este,,,"LINESTRING (-67.710889 10.2913236, -67.7108582 10.2912539)",
154642682,primary,True,False,161.721,L-1,Avenida Carabobo,2,40,"LINESTRING (-67.710889 10.2913236, -67.7110566 10.2913271, -67.7111424 10.2913271, -67.71146 10.2913271, -67.7123665 10.2912938)",
30215130,residential,False,False,12.341,,,,,"LINESTRING (-67.7126182 10.2912252, -67.7126513 10.2911191)",
30215130,residential,False,True,6.697,,,,,"LINESTRING (-67.7126182 10.2912252, -67.7126101 10.2912849)",
154642684,primary,True,False,27.52,L-1,Avenida Carabobo,2,40,"LINESTRING (-67.7126182 10.2912252, -67.7126098 10.2912269, -67.712367 10.2912358)",
30215130,residential,False,True,142.63,,,,,"LINESTRING (-67.7130963 10.2888949, -67.7128745 10.2901589)",
153273400,residential,False,True,127.818,,,,,"LINESTRING (-67.7130963 10.2888949, -67.7119959 10.2885088)",
30215149,residential,False,True,107.478,,,,,"LINESTRING (-67.7132988 10.2931803, -67.7135004 10.2922343)",
30215156,residential,False,False,111.252,,,,,"LINESTRING (-67.7132988 10.2931803, -67.7123023 10.292981)",
30215130,residential,False,False,107.187,,,,,"LINESTRING (-67.7123023 10.292981, -67.7124936 10.2920356)",
30215156,residential,False,True,111.252,,,,,"LINESTRING (-67.7123023 10.292981, -67.7132988 10.2931803)",
30215156,residential,False,False,127.649,,,,,"LINESTRING (-67.7123023 10.292981, -67.7113999 10.2927965, -67.7111998 10.2927804, -67.7111556 10.2927774)",
406835783,residential,True,False,115.167,R-18,Avenida Bolívar Este,,,"LINESTRING (-67.7111556 10.2927774, -67.711029 10.2917492)",
30215156,residential,False,True,127.649,,,,,"LINESTRING (-67.7111556 10.2927774, -67.7111998 10.2927804, -67.7113999 10.2927965, -67.7123023 10.292981)",
224358210,residential,False,False,124.279,,,,,"LINESTRING (-67.7054862 10.2935988, -67.7056137 10.2924882)",
381167987,residential,False,True,113.579,R-18,,2,,"LINESTRING (-67.7054862 10.2935988, -67.7065226 10.2935395)",
154642682,primary,True,False,17.806,L-1,Avenida Carabobo,2,40,"LINESTRING (-67.7106655 10.2912546, -67.7108146 10.2913188)",
984994601,primary,False,True,73.837,L-1,Avenida Bolívar Este,4,40,"LINESTRING (-67.7106655 10.2912546, -67.7100109 10.291093)",
153272522,residential,False,True,250.006,,,,,"LINESTRING (-67.7101381 10.2878788, -67.7105754 10.285672)",
153273400,residential,False,False,81.928,,,,,"LINESTRING (-67.7101381 10.2878788, -67.710848 10.2881133)",
153273416,residential,False,False,81.259,,,,,"LINESTRING (-67.7101381 10.2878788, -67.7099279 10.2885797)",
153272522,residential,False,False,261.42900000000003,,,,,"LINESTRING (-67.7101381 10.2878788, -67.7092621 10.2875979, -67.7092044 10.2875572, -67.7091788 10.2874951, -67.7092379 10.286732, -67.7093341 10.2864994, -67.7094367 10.2862262)",
153273416,residential,False,False,70.564,,,,,"LINESTRING (-67.709822 10.2889529, -67.7096232 10.2895566)",
153273416,residential,False,True,43.085,,,,,"LINESTRING (-67.709822 10.2889529, -67.7099279 10.2885797)",
153273418,residential,False,False,87.504,,,,,"LINESTRING (-67.709822 10.2889529, -67.7105835 10.2891935)",
153273418,residential,False,True,51.796,,,,,"LINESTRING (-67.709822 10.2889529, -67.709366 10.2888277)",
153271645,residential,False,False,74.023,,,,,"LINESTRING (-67.7100537 10.2852583, -67.7100787 10.2852973, -67.7101028 10.2853336, -67.7101703 10.2853871, -67.7102934 10.2854575, -67.7104095 10.2855522, -67.7105754 10.285672)",
421204251,residential,False,False,94.294,,,,,"LINESTRING (-67.7100537 10.2852583, -67.710019 10.2852604, -67.7099888 10.2852663, -67.7098178 10.2853266, -67.7095423 10.2854185, -67.7094517 10.2854201, -67.7093592 10.2854181, -67.7092197 10.2854008)",
421204251,residential,False,True,57.815,,,,,"LINESTRING (-67.7100537 10.2852583, -67.7100391 10.2853013, -67.7099821 10.2853904, -67.709789 10.2857071)",
153272522,residential,False,False,250.006,,,,,"LINESTRING (-67.7105754 10.285672, -67.7101381 10.2878788)",
153273402,residential,False,True,72.343,,,,,"LINESTRING (-67.7105754 10.285672, -67.7112181 10.2858249)",
153271645,residential,False,True,74.023,,,,,"LINESTRING (-67.7105754 10.285672, -67.7104095 10.2855522, -67.7102934 10.2854575, -67.7101703 10.2853871, -67.7101028 10.2853336, -67.7100787 10.2852973, -67.7100537 10.2852583)",
153273416,residential,False,True,76.068,,,,,"LINESTRING (-67.7092248 10.2908094, -67.7094291 10.2901555)",
984994601,primary,False,True,87.923,L-1,Avenida Bolívar Este,4,40,"LINESTRING (-67.7092248 10.2908094, -67.7084768 10.2905203)",
984994601,primary,False,False,91.64099999999999,L-1,Avenida Bolívar Este,4,40,"LINESTRING (-67.7092248 10.2908094, -67.7098716 10.2910523, -67.7100109 10.291093)",
153273404,residential,False,False,112.708,,,,,"LINESTRING (-67.7133542 10.2852609, -67.7123496 10.2850365)",
153273417,residential,False,False,113.344,,,,,"LINESTRING (-67.7133542 10.2852609, -67.7132345 10.2862734)",
153273410,residential,False,False,111.61,,,,,"LINESTRING (-67.7132345 10.2862734, -67.712245 10.2860293)",
