osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry,bridge
385027152,True,2,Avenida Las Ferias,tertiary,60,yes,False,117.759,"LINESTRING (-68.0024745 10.1740288, -68.0023148 10.1729815)",
756633218,False,2,Prolongacion Avenida Michelena,residential,,,False,15.735,"LINESTRING (-68.0024745 10.1740288, -68.0023329 10.1740533)",
101746693,False,,Calle 90 Peña,residential,,,False,16.392,"LINESTRING (-68.0023148 10.1729815, -68.0021677 10.1730092)",
385027152,True,2,Avenida Las Ferias,tertiary,60,yes,False,97.994,"LINESTRING (-68.0023148 10.1729815, -68.0021866 10.1721093)",
419292137,True,,Calle 90 Peña,residential,,,False,96.362,"LINESTRING (-68.0023148 10.1729815, -68.003193 10.1729196)",
419292137,True,,Calle 90 Peña,residential,,,False,121.007,"LINESTRING (-68.003193 10.1729196, -68.0042899 10.1727832)",
501466768,True,,Calle 101 Díaz Moreno,residential,,,False,108.583,"LINESTRING (-68.003193 10.1729196, -68.0030366 10.1719553)",
202308135,True,,Calle 91 Michelena,residential,,,False,95.796,"LINESTRING (-68.0033432 10.1739234, -68.0024745 10.1740288)",
501466768,True,,Calle 101 Díaz Moreno,residential,,,False,112.822,"LINESTRING (-68.0033432 10.1739234, -68.003193 10.1729196)",
73925225,True,,Avenida 102 Montes de Oca,residential,,,False,114.255,"LINESTRING (-68.0042899 10.1727832, -68.0044217 10.1738025)",
202308135,True,,Calle 91 Michelena,residential,,,False,118.801,"LINESTRING (-68.0044217 10.1738025, -68.0033432 10.1739234)",
419292130,True,,Calle 87 Plaza,residential,,,False,105.585,"LINESTRING (-68.0048918 10.1699598, -68.0039383 10.1701041)",
501466764,True,,Avenida 103 Carabobo,residential,,,False,84.257,"LINESTRING (-68.0048918 10.1699598, -68.0048086 10.1692065)",
384102891,True,2,Avenida Las Ferias,tertiary,60,yes,False,95.6,"LINESTRING (-68.0011933 10.1667951, -68.0013335 10.1676437)",
419293848,False,,Calle 83 Falcón,residential,,,False,16.407,"LINESTRING (-68.0011933 10.1667951, -68.0012643 10.1667817, -68.0013403 10.1667662)",
419293848,False,,Calle 83 Falcón,residential,,,True,95.881,"LINESTRING (-68.0011933 10.1667951, -68.0008298 10.1668475, -68.000331 10.1669456)",
419274150,True,,Avenida 96 Martín Tovar,residential,,,False,94.597,"LINESTRING (-67.9975658 10.1664996, -67.997679 10.167343)",
419295878,False,,Calle 82 Bruzual,residential,,,True,92.004,"LINESTRING (-67.9975658 10.1664996, -67.9984056 10.1664634)",
419295878,False,,Calle 82 Bruzual,residential,,,False,101.162,"LINESTRING (-67.9975658 10.1664996, -67.9973302 10.1665225, -67.996646 10.1665891)",
101727415,True,,Avenida 98 Boyacá,residential,,,False,106.477,"LINESTRING (-67.999921 10.1697308, -68.0000617 10.1706783)",
419292126,False,,Calle 86 Sucre,residential,,,False,91.818,"LINESTRING (-67.999921 10.1697308, -68.0007556 10.1696471)",
