osmid,highway,oneway,reversed,length,lanes,ref,maxspeed,name,geometry
132275875,residential,False,True,77.06,,,,,"LINESTRING (-67.7762037 10.0835462, -67.77615 10.0828552)"
984995676,primary,False,False,39.738,2,T-11,40,,"LINESTRING (-67.7762037 10.0835462, -67.7762108 10.0839035)"
984995677,residential,False,False,93.831,,,,Avenida Miranda,"LINESTRING (-67.7762037 10.0835462, -67.7757801 10.0835547, -67.7753468 10.0835459)"
132275073,primary,True,False,108.308,2,T-11,40,Avenida Miranda,"LINESTRING (-67.7780552 10.0834417, -67.7770675 10.0834974)"
227818878,residential,False,False,82.573,2,,40,,"LINESTRING (-67.7780552 10.0834417, -67.777991 10.0827018)"
227818878,residential,False,True,26.433,2,,40,,"LINESTRING (-67.7780552 10.0834417, -67.7780656 10.0836792)"
132275074,primary,True,False,71.586,2,T-11,40,Avenida Bolívar,"LINESTRING (-67.7762108 10.0839035, -67.776859 10.0838188)"
984995676,primary,False,True,39.738,2,T-11,40,,"LINESTRING (-67.7762108 10.0839035, -67.7762037 10.0835462)"
374439665,primary,False,False,266.976,2,T-11,40,Carretera Nacional Villa de Cura - Güigüe,"LINESTRING (-67.7762108 10.0839035, -67.775624 10.0839713, -67.7753556 10.0839851, -67.7750981 10.0839693, -67.774698 10.0839244, -67.7737814 10.0838685)"
129388800,residential,False,False,58.697,,,,,"LINESTRING (-67.780481 10.0833174, -67.7804673 10.0838451)"
132275073,primary,True,False,106.3,2,T-11,40,Avenida Miranda,"LINESTRING (-67.780481 10.0833174, -67.7795105 10.0833472)"
129388800,residential,False,True,92.01899999999999,,,,,"LINESTRING (-67.780481 10.0833174, -67.7804753 10.0826832, -67.7804781 10.0824899)"
129388806,residential,False,True,86.95,,,,,"LINESTRING (-67.7795105 10.0833472, -67.77952 10.0825653)"
132275073,primary,True,False,159.671,2,T-11,40,Avenida Miranda,"LINESTRING (-67.7795105 10.0833472, -67.7783124 10.0834217, -67.7780552 10.0834417)"
129388800,residential,False,False,60.131,,,,,"LINESTRING (-67.7804696 10.0811372, -67.78049 10.0816776)"
129388805,primary,False,True,64.939,2,L-2,40,Avenida Michelena,"LINESTRING (-67.7804696 10.0811372, -67.7800357 10.080739)"
129388805,primary,False,False,78.658,2,L-2,40,Avenida Michelena,"LINESTRING (-67.7795102 10.0802566, -67.7800357 10.080739)"
129388806,residential,False,False,60.174,,,,,"LINESTRING (-67.7795102 10.0802566, -67.7795023 10.0807977)"
129388806,residential,False,True,53.815,,,,,"LINESTRING (-67.7795102 10.0802566, -67.7795458 10.0797739)"
132275875,residential,False,False,121.634,,,,,"LINESTRING (-67.776004 10.0809744, -67.7760887 10.0820651)"
132275875,residential,False,True,93.335,,,,,"LINESTRING (-67.776004 10.0809744, -67.775957 10.0801363)"
227820004,residential,False,False,88.352,,,,,"LINESTRING (-67.776004 10.0809744, -67.7751982 10.0810182)"
227820004,residential,False,True,95.491,,,,,"LINESTRING (-67.776004 10.0809744, -67.7768752 10.0809325)"
984995677,residential,False,True,93.831,,,,Avenida Miranda,"LINESTRING (-67.7753468 10.0835459, -67.7757801 10.0835547, -67.7762037 10.0835462)"
132275875,residential,False,False,93.335,,,,,"LINESTRING (-67.775957 10.0801363, -67.776004 10.0809744)"
227817111,residential,False,True,93.545,,,,,"LINESTRING (-67.775957 10.0801363, -67.7768089 10.0800712)"
227820796,residential,False,False,87.785,,,,,"LINESTRING (-67.775957 10.0801363, -67.7751582 10.080205)"
227818878,residential,False,False,26.433,2,,40,,"LINESTRING (-67.7780656 10.0836792, -67.7780552 10.0834417)"
320468929,residential,False,True,128.254,,,,,"LINESTRING (-67.7780656 10.0836792, -67.7781668 10.0848283)"
132275074,primary,True,False,263.70799999999997,2,T-11,40,Avenida Bolívar,"LINESTRING (-67.7780656 10.0836792, -67.7781934 10.0836769, -67.7791858 10.0837772, -67.7804673 10.0838451)"
225120823,residential,False,False,138.518,,,,calle Principal,"LINESTRING (-67.7722032 10.0838107, -67.7720286 10.0850445)"
374439665,primary,False,False,27.229,2,T-11,40,Carretera Nacional Villa de Cura - Güigüe,"LINESTRING (-67.7722032 10.0838107, -67.7719545 10.0838081)"
