osmid,highway,oneway,reversed,length,name,ref,geometry
215494332,residential,False,True,21.134,,,"LINESTRING (-68.2553314 10.1724385, -68.2551383 10.1724385)"
215494413,residential,False,False,21.472,Calle Briceño Méndez,,"LINESTRING (-68.2553314 10.1724385, -68.2553314 10.1722454)"
215494413,residential,False,True,82.353,Calle Briceño Méndez,,"LINESTRING (-68.2553314 10.1724385, -68.2553958 10.1731764)"
215494306,residential,False,False,100.237,Calle Ezequiel González,,"LINESTRING (-68.2533573 10.1752495, -68.2533788 10.1761507)"
215494306,residential,False,True,104.358,Calle Ezequiel González,,"LINESTRING (-68.2533573 10.1752495, -68.2533519 10.174311)"
215494322,residential,False,True,54.859,,,"LINESTRING (-68.2533573 10.1752495, -68.2538509 10.1751637)"
215494388,residential,False,False,83.899,Av. Bolívar,R-13,"LINESTRING (-68.2615709 10.1736073, -68.262332 10.1735173)"
215494388,residential,False,True,95.956,Av. Bolívar,R-13,"LINESTRING (-68.2615709 10.1736073, -68.2606959 10.1736616)"
556739423,residential,False,False,104.596,Calle Paéz,,"LINESTRING (-68.2615709 10.1736073, -68.2614469 10.1726746)"
215494414,residential,False,True,96.84899999999999,Calle Paéz,,"LINESTRING (-68.2615709 10.1736073, -68.2615971 10.1740264, -68.2616185 10.174477)"
215494379,residential,False,False,44.494,Av. Sucre,,"LINESTRING (-68.2547494 10.1732407, -68.2543444 10.1732754)"
215494379,residential,False,True,71.107,Av. Sucre,,"LINESTRING (-68.2547494 10.1732407, -68.2553958 10.1731764)"
991299996,residential,False,True,102.785,,,"LINESTRING (-68.2547494 10.1732407, -68.2548057 10.1741634)"
215494303,residential,False,False,100.895,,,"LINESTRING (-68.2588076 10.1728677, -68.2589149 10.1737689)"
215494303,residential,False,True,88.559,,,"LINESTRING (-68.2588076 10.1728677, -68.2587432 10.1720738)"
215494379,residential,False,False,92.092,Av. Sucre,,"LINESTRING (-68.2588076 10.1728677, -68.2579707 10.1729535)"
215494379,residential,False,True,96.752,Av. Sucre,,"LINESTRING (-68.2588076 10.1728677, -68.2596873 10.1727819)"
215494319,residential,False,False,101.689,Av. Carabobo,,"LINESTRING (-68.2599019 10.1746272, -68.2589792 10.1747345)"
215494319,residential,False,True,96.557,Av. Carabobo,,"LINESTRING (-68.2599019 10.1746272, -68.2607817 10.1745628)"
215494328,residential,False,False,98.268,,,"LINESTRING (-68.2599019 10.1746272, -68.2598161 10.1737475)"
215494328,residential,False,True,100.648,,,"LINESTRING (-68.2599019 10.1746272, -68.2599877 10.1755284)"
215494306,residential,False,False,104.358,Calle Ezequiel González,,"LINESTRING (-68.2533519 10.174311, -68.2533573 10.1752495)"
215494306,residential,False,True,100.926,Calle Ezequiel González,,"LINESTRING (-68.2533519 10.174311, -68.2533144 10.1734041)"
215494388,residential,False,False,117.738,Av. Bolívar,R-13,"LINESTRING (-68.2533519 10.174311, -68.2534217 10.1743054, -68.2544221 10.1742037)"
215494366,residential,False,False,103.029,Calle D,,"LINESTRING (-68.2561254 10.1731252, -68.2562112 10.1740479)"
215494366,residential,False,True,100.649,Calle D,,"LINESTRING (-68.2561254 10.1731252, -68.2560395 10.172224)"
215494379,residential,False,False,80.055,Av. Sucre,,"LINESTRING (-68.2561254 10.1731252, -68.2553958 10.1731764)"
215494379,residential,False,True,97.017,Av. Sucre,,"LINESTRING (-68.2561254 10.1731252, -68.2570051 10.1730179)"
215494382,residential,False,False,106.691,calle Valencia,,"LINESTRING (-68.2571419 10.1739679, -68.2570051 10.1730179)"
215494382,residential,False,True,102.13,calle Valencia,,"LINESTRING (-68.2571419 10.1739679, -68.2571982 10.1748847)"
215494388,residential,False,False,98.069,Av. Bolívar,R-13,"LINESTRING (-68.2571419 10.1739679, -68.2580351 10.1738977)"
215494388,residential,False,True,102.25,Av. Bolívar,R-13,"LINESTRING (-68.2571419 10.1739679, -68.2562112 10.1740479)"
215494322,residential,False,False,54.859,,,"LINESTRING (-68.2538509 10.1751637, -68.2533573 10.1752495)"
