osmid,oneway,highway,reversed,length,name,geometry,ref,lanes
126556598,False,residential,False,13.585,,"LINESTRING (-64.6348492 10.2024613, -64.6347263 10.2024441)",,
126556598,False,residential,True,10.082,,"LINESTRING (-64.6348492 10.2024613, -64.6349404 10.2024741)",,
125202010,False,residential,False,50.338,Calle Montes,"LINESTRING (-64.6289399 10.2067888, -64.6290438 10.2063478)",,
125202010,False,residential,False,13.279,Calle Montes,"LINESTRING (-64.6290438 10.2063478, -64.6290631 10.2062299)",,
125202010,False,residential,True,50.338,Calle Montes,"LINESTRING (-64.6290438 10.2063478, -64.6289399 10.2067888)",,
1222410881,True,tertiary_link,False,51.576,,"LINESTRING (-64.6290438 10.2063478, -64.6291244 10.2062699, -64.629176 10.2062185, -64.6292894 10.2061426, -64.629427 10.2060896)",,
125202010,False,residential,True,13.279,Calle Montes,"LINESTRING (-64.6290631 10.2062299, -64.6290438 10.2063478)",,
371780426,True,residential,False,13.188,Calle Montes,"LINESTRING (-64.6290631 10.2062299, -64.6291129 10.2061219)",,
125202029,True,tertiary,False,6.388,Avenida El Estadio,"LINESTRING (-64.6290565 10.2061367, -64.6291129 10.2061219)",R-74,
371780426,True,residential,False,10.389,Calle Montes,"LINESTRING (-64.6290565 10.2061367, -64.6290631 10.2062299)",,
125202011,True,tertiary,False,12.396,Calle Montes,"LINESTRING (-64.6291129 10.2061219, -64.6291352 10.2060126)",R-74,
125202028,True,tertiary_link,False,17.882,,"LINESTRING (-64.6291129 10.2061219, -64.629225 10.2060049)",,
125202029,True,tertiary,False,34.68,Avenida El Estadio,"LINESTRING (-64.6291129 10.2061219, -64.6292437 10.2060957, -64.6293395 10.2060937, -64.629427 10.2060896)",R-74,
125202011,True,tertiary,False,88.447,Calle Montes,"LINESTRING (-64.6297879 10.203101, -64.6299488 10.2023215)",R-74,
1222191049,False,residential,False,65.043,,"LINESTRING (-64.6297879 10.203101, -64.6298295 10.2031111, -64.6299364 10.203126, -64.6299713 10.203124, -64.6300022 10.2031095, -64.6300987 10.203021, -64.6302764 10.2028587)",,
125202018,True,tertiary,False,7.313,Avenida Principal de Guanire,"LINESTRING (-64.6291352 10.2060126, -64.6290687 10.2060191)",,
125202011,True,tertiary,False,68.926,Calle Montes,"LINESTRING (-64.6291352 10.2060126, -64.6291465 10.2059683, -64.6292509 10.2054792, -64.6292679 10.2054067)",R-74,
906782167,True,tertiary_link,False,7.344,,"LINESTRING (-64.6292679 10.2054067, -64.6292008 10.2054078)",,
