osmid,name,highway,maxspeed,access,oneway,reversed,length,geometry,bridge
487494897,Juárez,residential,30,permissive,False,True,74.244,"LINESTRING (-103.4777361 20.3284816, -103.4781485 20.3279373)",
487494900,Nicolás Bravo,unclassified,30,,False,False,286.546,"LINESTRING (-103.4777361 20.3284816, -103.4772926 20.3282813, -103.4752004 20.3276069, -103.4751595 20.327593)",
"[725189923, 725189924, 725189925]",,unclassified,,,False,"[False, True]",351.959,"LINESTRING (-103.4777361 20.3284816, -103.4773395 20.3289089, -103.4771723 20.3291382, -103.4770757 20.3291181, -103.4747872 20.3285183)",
487494900,Nicolás Bravo,unclassified,30,,False,True,37.669,"LINESTRING (-103.4748198 20.3274777, -103.4751595 20.327593)",
487494889,Lázaro Cárdenas,residential,,,False,False,69.16,"LINESTRING (-103.4784384 20.3230325, -103.4779439 20.323447)",
487494889,Lázaro Cárdenas,residential,,,False,True,52.759,"LINESTRING (-103.4784384 20.3230325, -103.4788382 20.3227417)",
487494905,12 de Diciembre,residential,,,False,True,44.969,"LINESTRING (-103.4784384 20.3230325, -103.4781968 20.3226975)",
487494882,16 de Septiembre,residential,,,False,True,46.656,"LINESTRING (-103.4778907 20.3234879, -103.4776291 20.3231475)",
487494889,Lázaro Cárdenas,residential,,,False,True,7.173,"LINESTRING (-103.4778907 20.3234879, -103.4779439 20.323447)",
487494889,Lázaro Cárdenas,residential,,,False,False,151.409,"LINESTRING (-103.4778907 20.3234879, -103.4774404 20.3238627, -103.4768182 20.3244057)",
487494907,16 de Septiembre,residential,,,False,True,14.972,"LINESTRING (-103.4794583 20.325274, -103.4794011 20.3251505)",
487494896,Morelos,residential,,,False,False,111.798,"LINESTRING (-103.4794583 20.325274, -103.4791543 20.3254084, -103.4784694 20.3256613)",
"[847598355, 487494907, 847598356]",16 de Septiembre,residential,,,False,False,131.606,"LINESTRING (-103.4794583 20.325274, -103.4794929 20.3253954, -103.4796007 20.3256582, -103.4798596 20.3262414, -103.4799168 20.3263757)",yes
487494891,5 de Mayo,residential,,,False,False,68.723,"LINESTRING (-103.4789665 20.3245681, -103.4794802 20.3241809)",
487494907,16 de Septiembre,residential,,,False,True,33.089,"LINESTRING (-103.4789665 20.3245681, -103.478752 20.3243488)",
487494891,5 de Mayo,residential,,,False,True,166.103,"LINESTRING (-103.4789665 20.3245681, -103.4784972 20.3249342, -103.4777847 20.3255686)",
487494907,16 de Septiembre,residential,,,False,False,79.05,"LINESTRING (-103.4789665 20.3245681, -103.4792656 20.32496, -103.4794011 20.3251505)",
487494906,Pedro Moreno,residential,,,False,False,28.082,"LINESTRING (-103.4797953 20.3279801, -103.4796478 20.3277688)",
487494882,16 de Septiembre,residential,,,False,False,46.656,"LINESTRING (-103.4776291 20.3231475, -103.4778907 20.3234879)",
487494882,16 de Septiembre,residential,,,False,True,46.825,"LINESTRING (-103.4776291 20.3231475, -103.4773923 20.3227897)",
487494903,12 de Octubre,residential,,,False,False,32.969,"LINESTRING (-103.4776291 20.3231475, -103.4778703 20.3229558)",
487494903,12 de Octubre,residential,,,False,True,154.357,"LINESTRING (-103.4776291 20.3231475, -103.4764911 20.3240353)",
487494889,Lázaro Cárdenas,residential,,,False,True,108.199,"LINESTRING (-103.476096 20.3251044, -103.4768182 20.3244057)",
725188618,,unclassified,,,False,False,57.878,"LINESTRING (-103.476096 20.3251044, -103.4764105 20.3255333)",
725188618,,unclassified,,,False,True,56.142,"LINESTRING (-103.476096 20.3251044, -103.4757803 20.3246954)",
487494900,Nicolás Bravo,unclassified,30,,False,False,37.669,"LINESTRING (-103.4751595 20.327593, -103.4748198 20.3274777)",
487494900,Nicolás Bravo,unclassified,30,,False,True,286.546,"LINESTRING (-103.4751595 20.327593, -103.4752004 20.3276069, -103.4772926 20.3282813, -103.4777361 20.3284816)",
487494901,Libertad,residential,,,False,True,126.685,"LINESTRING (-103.4751595 20.327593, -103.4752705 20.3273563, -103.475654 20.3270721, -103.4760282 20.326837)",
"[926964242, 927532196]",,residential,,,False,"[False, True]",109.969,"LINESTRING (-103.4751595 20.327593, -103.474989 20.3280114, -103.4747872 20.3285183)",
487494885,Libertad,residential,,,False,False,126.032,"LINESTRING (-103.4772726 20.3255788, -103.4764346 20.3263956)",
487494885,Libertad,residential,,,False,True,206.16,"LINESTRING (-103.4772726 20.3255788, -103.478752 20.3243488)",
487494894,Pedro Moreno,residential,,,False,False,62.867,"LINESTRING (-103.4772726 20.3255788, -103.4768197 20.3252056)",
487494894,Pedro Moreno,residential,,,False,True,35.744,"LINESTRING (-103.4772726 20.3255788, -103.4775168 20.3258044)",
725188618,,unclassified,,,False,False,56.142,"LINESTRING (-103.4757803 20.3246954, -103.476096 20.3251044)",
725188618,,unclassified,,,False,True,52.816,"LINESTRING (-103.4757803 20.3246954, -103.4755014 20.3242989)",
487494903,12 de Octubre,residential,,,False,False,105.293,"LINESTRING (-103.4757803 20.3246954, -103.4761155 20.3243569, -103.4764715 20.3240896, -103.4764911 20.3240353)",
487494888,Insurgentes,unclassified,,,False,False,66.11,"LINESTRING (-103.4811117 20.3257042, -103.4814933 20.326179)",
487494888,Insurgentes,unclassified,,,False,True,30.734,"LINESTRING (-103.4811117 20.3257042, -103.4809492 20.3254736)",
927157021,Hidalgo,residential,,,False,True,36.46,"LINESTRING (-103.4811117 20.3257042, -103.4808146 20.3258771)",
487494891,5 de Mayo,residential,,,False,True,38.312,"LINESTRING (-103.4777847 20.3255686, -103.4775168 20.3258044)",
487494891,5 de Mayo,residential,,,False,False,166.103,"LINESTRING (-103.4777847 20.3255686, -103.4784972 20.3249342, -103.4789665 20.3245681)",
487494896,Morelos,residential,,,False,True,75.85999999999999,"LINESTRING (-103.4777847 20.3255686, -103.4779832 20.3256801, -103.4780666 20.3257082, -103.478174 20.3257108, -103.4784694 20.3256613)",
487494893,Ramón Corona,residential,,,False,False,20.562,"LINESTRING (-103.4796137 20.324317, -103.4794802 20.3241809)",
487494887,Juan Escutia,residential,,,False,True,95.303,"LINESTRING (-103.4796137 20.324317, -103.4794735 20.3248889, -103.4794011 20.3251505)",
487494893,Ramón Corona,residential,,,False,True,169.711,"LINESTRING (-103.4796137 20.324317, -103.479746 20.324433, -103.4799128 20.3246186, -103.4803175 20.3250764, -103.4805807 20.325533)",
487494884,Abasolo,residential,,,False,False,71.63,"LINESTRING (-103.4796478 20.3277688, -103.4802555 20.3274684)",
487494906,Pedro Moreno,residential,,,False,True,28.082,"LINESTRING (-103.4796478 20.3277688, -103.4797953 20.3279801)",
487494906,Pedro Moreno,residential,,,False,False,55.852,"LINESTRING (-103.4796478 20.3277688, -103.4795858 20.3276918, -103.4793118 20.3273777)",
926964239,20 de Noviembre,unclassified,,,False,True,55.47,"LINESTRING (-103.4753751 20.326393, -103.4749953 20.3267423)",
445406227,Allende,residential,30,permissive,False,False,84.211,"LINESTRING (-103.4753751 20.326393, -103.4755712 20.3265422, -103.4759618 20.3267854, -103.4760282 20.326837)",
"[487494908, 926964238, 926964239]",20 de Noviembre,unclassified,,,False,False,144.203,"LINESTRING (-103.4753751 20.326393, -103.4756273 20.3261829, -103.4757896 20.3260471, -103.4764105 20.3255333)",yes
