osmid,lanes,highway,maxspeed,width,oneway,reversed,length,geometry
321046737,1,unclassified,40,4.0,False,True,12.517,"LINESTRING (-100.0703269 20.1909692, -100.0704342 20.1909189)"
"[700904674, 705606437]",,residential,,,False,True,253.54399999999998,"LINESTRING (-100.0703269 20.1909692, -100.0696671 20.1900376, -100.0696215 20.1900124, -100.0695692 20.1900074, -100.0694847 20.19002, -100.0691491 20.1901346, -100.0685068 20.1903697)"
321046737,1,unclassified,40,4.0,False,False,12.517,"LINESTRING (-100.0704342 20.1909189, -100.0703269 20.1909692)"
"[700904674, 705606437]",,residential,,,False,False,253.544,"LINESTRING (-100.0685068 20.1903697, -100.0691491 20.1901346, -100.0694847 20.19002, -100.0695692 20.1900074, -100.0696215 20.1900124, -100.0696671 20.1900376, -100.0703269 20.1909692)"
