osmid,name,highway,oneway,reversed,length,ref,bridge,geometry,lanes
182451707,Calle María del Socorro Alfaro de Morales,residential,False,False,68.572,,,"LINESTRING (-98.0524172 20.1772633, -98.0523766 20.1778788)",
182451707,Calle María del Socorro Alfaro de Morales,residential,False,True,6.286,,,"LINESTRING (-98.0524172 20.1772633, -98.0523868 20.1772145)",
"[765778688, 200615871]",Pachuca - Túxpam,primary,True,False,98.647,MEX 130,yes,"LINESTRING (-98.0524172 20.1772633, -98.0526283 20.1771679, -98.0527677 20.1771227, -98.0529246 20.1770937, -98.0531912 20.1770635, -98.0533261 20.1770668)",
200615872,Pachuca - Túxpam,primary,False,True,33.171,MEX 130,,"LINESTRING (-98.0505945 20.1798072, -98.0508956 20.1797117)",
765411208,,residential,True,False,77.232,,,"LINESTRING (-98.0505945 20.1798072, -98.0509892 20.1799822, -98.0511372 20.1800155, -98.0512884 20.1800108)",
38079814,Prolongación Hidalgo,residential,True,False,105.611,,,"LINESTRING (-98.04582 20.1753446, -98.0448091 20.1753031)",
765755552,Calle Julio S. Hernández,residential,False,False,64.744,,,"LINESTRING (-98.04582 20.1753446, -98.0457545 20.1747656)",
765755552,Calle Julio S. Hernández,residential,False,True,64.608,,,"LINESTRING (-98.04582 20.1753446, -98.0458511 20.1759249)",
38079831,Calle Benito Juárez,residential,True,False,62.304,,,"LINESTRING (-98.0457473 20.1741868, -98.046344 20.1742026)",
295107069,Privada Juárez,residential,False,False,151.728,,,"LINESTRING (-98.0457473 20.1741868, -98.0442936 20.1741834)",
765755552,Calle Julio S. Hernández,residential,False,True,64.364,,,"LINESTRING (-98.0457473 20.1741868, -98.0457545 20.1747656)",
182283171,Calle Santos Degollado,residential,True,False,116.087,,,"LINESTRING (-98.0495439 20.174142, -98.0494597 20.175183)",
38079831,Calle Benito Juárez,residential,True,False,210.09,,,"LINESTRING (-98.0495439 20.174142, -98.049615 20.1741684, -98.0513624 20.1742864, -98.0515459 20.1743044)",
182417497,Calle Niños Héroes,residential,True,False,29.177,,,"LINESTRING (-98.0492784 20.1777746, -98.0495548 20.1777353)",
182412766,Calle José María Morelos Y Pavón,residential,False,False,25.595,,,"LINESTRING (-98.0537242 20.1752145, -98.0536755 20.1754401)",
182414019,Calle Leona Vicario,residential,False,False,142.265,,,"LINESTRING (-98.0507686 20.1760464, -98.049412 20.1761708)",
940249261,Calle General Francisco Cravioto,secondary,True,False,103.649,,,"LINESTRING (-98.0507686 20.1760464, -98.0508023 20.1751148)",
552947755,Calle José María Morelos Y Pavón,secondary,False,True,112.072,,,"LINESTRING (-98.0507686 20.1760464, -98.0515544 20.1759483, -98.0518313 20.1759031)",
544926441,,secondary,True,False,47.416999999999994,,viaduct,"LINESTRING (-98.0530044 20.1757541, -98.053095 20.1758, -98.0531569 20.1758625, -98.0532025 20.1759628, -98.0532653 20.1760847)",2
"[552947755, 940249260]",Calle José María Morelos Y Pavón,secondary,False,False,123.595,,,"LINESTRING (-98.0530044 20.1757541, -98.0529336 20.1757567, -98.0526055 20.1758012, -98.0523322 20.1758408, -98.0518313 20.1759031)",
940249260,Calle José María Morelos Y Pavón,secondary,False,True,64.626,,,"LINESTRING (-98.0530044 20.1757541, -98.053085 20.1757445, -98.0536196 20.1756883)",
