osmid,highway,oneway,reversed,length,ref,name,geometry,maxspeed,junction
782786378,secondary,False,True,146.4,,,"LINESTRING (-98.8369319 19.7051697, -98.8381227 19.7058601)",,
787531062,primary,False,False,23.753,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8369319 19.7051697, -98.8371042 19.7050307)",,
787531062,primary,False,True,91.66499999999999,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8369319 19.7051697, -98.8366608 19.7053974, -98.8363928 19.7055843, -98.8362345 19.7056626)",,
108243805,tertiary,False,False,185.637,,Avenida Justo Sierra,"LINESTRING (-98.8356632 19.7059075, -98.8353205 19.7042695)",,
108243805,tertiary,False,True,11.272,,Avenida Justo Sierra,"LINESTRING (-98.8356632 19.7059075, -98.8356965 19.7060039)",,
787531062,primary,False,True,48.769,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8356632 19.7059075, -98.835226 19.706059)",,
787531062,primary,False,False,65.726,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8356632 19.7059075, -98.8359663 19.7057838, -98.8362345 19.7056626)",,
316580087,residential,False,True,47.04,,Avenida De Los Deportes,"LINESTRING (-98.8317713 19.7073898, -98.8313421 19.7072645)",40,
787531062,primary,False,False,131.882,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8317713 19.7073898, -98.8329327 19.7069302)",,
787531062,primary,False,True,68.303,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8317713 19.7073898, -98.8311893 19.7076675)",,
787531062,primary,False,True,8.084,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8392201 19.7034024, -98.8391564 19.7034435)",,
787531062,primary,False,False,82.175,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8385357 19.7038959, -98.8391564 19.7034435)",,
899131704,residential,False,False,51.506,,,"LINESTRING (-98.8385357 19.7038959, -98.8382977 19.7034905)",,
787531062,primary,False,True,148.82999999999998,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8385357 19.7038959, -98.8380264 19.7042692, -98.8374302 19.7047372)",,
316580095,residential,False,True,157.284,,Avenida Primavera,"LINESTRING (-98.8374302 19.7047372, -98.8387102 19.7054779)",,
787531062,primary,False,True,47.22,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8374302 19.7047372, -98.8371042 19.7050307)",,
787531062,primary,False,False,148.82999999999998,MEX 132,Avenida Tuxpan,"LINESTRING (-98.8374302 19.7047372, -98.8380264 19.7042692, -98.8385357 19.7038959)",,
294089740,residential,False,False,10.469,,Calle Primero De Mayo,"LINESTRING (-98.8353922 19.7034865, -98.8354837 19.7035245)",,
782809747,tertiary,True,False,78.712,,Calle 16 De Septiembre,"LINESTRING (-98.8353922 19.7034865, -98.8352197 19.7039902, -98.8351791 19.7041647)",,
316577335,tertiary,True,False,3.749,,,"LINESTRING (-98.8351791 19.7041647, -98.8351571 19.7041913)",,roundabout
782810387,residential,False,False,78.176,,Calle Francisco I. Madero,"LINESTRING (-98.833335 19.7015975, -98.8326829 19.7012549)",,
