osmid,oneway,lanes,name,highway,reversed,length,geometry,ref
515089785,False,2,Calle Plutarco Elías Calles,tertiary,False,378.472,"LINESTRING (-99.2274324 18.8414944, -99.2268451 18.84186, -99.2259451 18.8423176, -99.2244481 18.8430603, -99.2243555 18.8430882, -99.2242715 18.8430959)",
"[797715745, 797715746]",False,,Privada Primera Privada Plutarco Elías Calles,residential,True,170.625,"LINESTRING (-99.2274324 18.8414944, -99.2275922 18.8422675, -99.2268189 18.8424157)",
896650285,True,2,Avenida Adolfo López Mateos,primary,False,86.208,"LINESTRING (-99.2238864 18.8443073, -99.2238816 18.8443291, -99.2238271 18.844575, -99.2237366 18.8450694)",MEX 95
840987001,True,2,Avenida Adolfo López Mateos,primary,False,65.048,"LINESTRING (-99.2230601 18.8474341, -99.2229764 18.8480137)",MEX 95
896778764,False,,Calle Cuauhtémoc,residential,True,8.989,"LINESTRING (-99.2230601 18.8474341, -99.2231441 18.8474488)",
53543573,False,2,Avenida Miguel Hidalgo,tertiary,False,343.715,"LINESTRING (-99.220598 18.8443086, -99.2210028 18.8449438, -99.2214078 18.8453804, -99.2215204 18.8454616, -99.2216009 18.8454769, -99.2221374 18.8454083, -99.223217 18.8451923)",
515089788,True,3,Avenida Adolfo López Mateos,primary,False,73.318,"LINESTRING (-99.2245313 18.8419401, -99.2246303 18.8415765, -99.2247052 18.8413016)",MEX 95
515089785,False,2,Calle Plutarco Elías Calles,tertiary,False,11.802,"LINESTRING (-99.2242715 18.8430959, -99.2241597 18.8430876)",
515089785,False,2,Calle Plutarco Elías Calles,tertiary,True,378.472,"LINESTRING (-99.2242715 18.8430959, -99.2243555 18.8430882, -99.2244481 18.8430603, -99.2259451 18.8423176, -99.2268451 18.84186, -99.2274324 18.8414944)",
840293136,True,2,Avenida Adolfo López Mateos,primary,False,131.396,"LINESTRING (-99.2242715 18.8430959, -99.2244966 18.8420946, -99.2245149 18.8420131, -99.2245313 18.8419401)",MEX 95
115224204,True,,,primary_link,False,12.814,"LINESTRING (-99.2244118 18.841918, -99.2245313 18.8419401)",
840293135,True,2,Avenida Adolfo López Mateos,primary,False,132.769,"LINESTRING (-99.2244118 18.841918, -99.2243678 18.8420744, -99.2241922 18.8429356, -99.2241597 18.8430876)",MEX 95
922187168,False,2,Avenida Miguel Hidalgo,tertiary,False,9.293,"LINESTRING (-99.2237366 18.8450694, -99.2238249 18.8450702)",
922187168,False,2,Avenida Miguel Hidalgo,tertiary,True,56.362,"LINESTRING (-99.2237366 18.8450694, -99.223217 18.8451923)",
840987001,True,2,Avenida Adolfo López Mateos,primary,False,81.458,"LINESTRING (-99.2237366 18.8450694, -99.2236839 18.8453552, -99.2236232 18.8457939)",MEX 95
641385355,False,,,residential,True,12.672,"LINESTRING (-99.2247275 18.8407588, -99.2248455 18.8407815)",
840293135,True,2,Avenida Adolfo López Mateos,primary,False,43.898,"LINESTRING (-99.2247275 18.8407588, -99.2246251 18.8411415)",MEX 95
840683364,False,2,Privada Emiliano Zapata,residential,True,8.873,"LINESTRING (-99.2229764 18.8480137, -99.2230605 18.8480194)",
840987001,True,2,Avenida Adolfo López Mateos,primary,False,109.019,"LINESTRING (-99.2229764 18.8480137, -99.2229581 18.848429, -99.222961 18.8485865, -99.2229876 18.8487235, -99.2230719 18.8489793)",MEX 95
"[896778765, 896778766]",False,1,Privada Emiliano Zapata,residential,False,64.028,"LINESTRING (-99.2229764 18.8480137, -99.2226792 18.8479691, -99.2223788 18.8479068)",
851853807,True,,Calle Álvaro Obregón,residential,False,8.819,"LINESTRING (-99.2252887 18.8467531, -99.22523 18.8466965)",
760411508,False,1,Privada Álvaro Obregón,residential,True,64.884,"LINESTRING (-99.2252887 18.8467531, -99.2252315 18.846954, -99.2251779 18.8471969, -99.2251671 18.8473238)",
115166570,True,,Calle Francisco I. Madero,residential,False,91.902,"LINESTRING (-99.2240056 18.8483848, -99.223942 18.8475605)",
896727733,False,,Calle del Ejido,residential,True,86.668,"LINESTRING (-99.2240056 18.8483848, -99.224803 18.8485798)",
851864841,False,,Calle del Ejido,residential,False,95.661,"LINESTRING (-99.2240056 18.8483848, -99.2235535 18.8483681, -99.223098 18.8483981)",
115153847,False,,Calle Álvaro Obregón,residential,True,8.709,"LINESTRING (-99.223753 18.8458512, -99.2236787 18.8458167)",
115153847,False,,Calle Álvaro Obregón,residential,False,98.741,"LINESTRING (-99.223753 18.8458512, -99.2242558 18.8460487, -99.2245944 18.8462392)",
115153847,False,,Calle Álvaro Obregón,residential,False,8.709,"LINESTRING (-99.2236787 18.8458167, -99.223753 18.8458512)",
115153847,False,,Calle Álvaro Obregón,residential,True,6.367,"LINESTRING (-99.2236787 18.8458167, -99.2236232 18.8457939)",
922187169,True,2,Avenida Adolfo López Mateos,primary,False,84.42099999999999,"LINESTRING (-99.2236787 18.8458167, -99.223768 18.8453614, -99.2238249 18.8450702)",MEX 95
851864841,False,,Calle del Ejido,residential,True,95.661,"LINESTRING (-99.223098 18.8483981, -99.2235535 18.8483681, -99.2240056 18.8483848)",
