osmid,highway,oneway,reversed,length,name,geometry
665347861,residential,False,True,6.889,Calle Morelos,"LINESTRING (-96.2359113 16.7778515, -96.2359599 16.7778106)"
665347858,residential,False,False,43.433,,"LINESTRING (-96.2359113 16.7778515, -96.2356867 16.7779985, -96.2356713 16.778064, -96.2356746 16.7781269)"
665347868,residential,False,True,54.299,,"LINESTRING (-96.2359113 16.7778515, -96.236097 16.7780698, -96.2361031 16.7782765)"
665208947,unclassified,False,True,17.388,Calle Independencia,"LINESTRING (-96.2392567 16.7755268, -96.2393343 16.7756644)"
"[665347882, 665208947]",unclassified,False,False,85.795,Calle Independencia,"LINESTRING (-96.2392567 16.7755268, -96.2390557 16.7752251, -96.2390341 16.7750286, -96.2390395 16.7748578, -96.2390434 16.7748127)"
665347860,unclassified,False,False,76.956,Calle Independencia,"LINESTRING (-96.2392567 16.7755268, -96.2391032 16.7754754, -96.2385431 16.7754866)"
665347872,residential,False,True,17.291,Calle Morelos,"LINESTRING (-96.2343563 16.7789859, -96.2345155 16.7789551)"
665347855,unclassified,False,True,94.001,Calle Chilpancingo,"LINESTRING (-96.2343563 16.7789859, -96.2342638 16.7787651, -96.2342036 16.7785923, -96.2340271 16.778202)"
665347872,residential,False,False,106.893,Calle Morelos,"LINESTRING (-96.2353072 16.778394, -96.2351182 16.7786293, -96.2348244 16.7788113, -96.2346022 16.7789048, -96.2345155 16.7789551)"
665347872,residential,False,True,87.498,Calle Morelos,"LINESTRING (-96.2353072 16.778394, -96.2352991 16.7782078, -96.2352561 16.7780549, -96.2352156 16.777881, -96.2352298 16.7777742, -96.2352549 16.7776197)"
938692118,residential,False,True,55.173,,"LINESTRING (-96.2353072 16.778394, -96.2355123 16.7783555, -96.2356049 16.7783131, -96.2356746 16.7781269)"
665347882,unclassified,False,True,22.904,,"LINESTRING (-96.2390609 16.7746074, -96.2390434 16.7748127)"
"[665347854, 665347879]",residential,False,True,489.68399999999997,Calle Buena Vista,"LINESTRING (-96.2390609 16.7746074, -96.2389818 16.7746909, -96.2389523 16.7747872, -96.2389268 16.7750863, -96.238855 16.7751589, -96.238735 16.7751428, -96.2382187 16.7747949, -96.2381101 16.774773, -96.2377922 16.7747255, -96.2375562 16.7746023, -96.2374543 16.7744931, -96.2374134 16.7744379, -96.2373979 16.7743647, -96.2374502 16.7742581, -96.2382133 16.7734415, -96.2384614 16.7732566, -96.2387538 16.7730588, -96.2388664 16.7729882, -96.2389556 16.772899)"
"[665347882, 938655989]",unclassified,False,False,217.427,,"LINESTRING (-96.2390609 16.7746074, -96.2391964 16.7741939, -96.2393332 16.7737278, -96.2393734 16.7734042, -96.2393175 16.7732453, -96.2392835 16.7731487, -96.2391625 16.772938, -96.2389556 16.772899)"
"[665347848, 665347845]",unclassified,False,False,194.94400000000002,"['Calle Vásquez Colmenares', 'Calle Los Pinos']","LINESTRING (-96.2372621 16.7781307, -96.2371086 16.7782786, -96.2370478 16.7785111, -96.2369613 16.7786726, -96.2365892 16.7789536, -96.2364138 16.7791736, -96.2363127 16.7793856, -96.2363184 16.7794603, -96.2363434 16.7795419)"
665347848,unclassified,False,True,131.874,Calle Vásquez Colmenares,"LINESTRING (-96.2372621 16.7781307, -96.2375609 16.7780133, -96.2376045 16.7779715, -96.2377918 16.7775288, -96.2380417 16.7772872)"
665347871,residential,False,True,136.92000000000004,Calle Hidalgo,"LINESTRING (-96.2372621 16.7781307, -96.2370741 16.7782367, -96.2370466 16.7782688, -96.2369742 16.7784807, -96.2369487 16.7785102, -96.236899 16.7785205, -96.2367556 16.7784851, -96.236604 16.7784312, -96.2364793 16.7784023, -96.2364464 16.7783792, -96.2363981 16.7782669, -96.2363472 16.7782444, -96.2363083 16.7782412)"
665347859,residential,False,True,627.9660000000001,Calle Corregidora,"LINESTRING (-96.2364122 16.7813485, -96.2367918 16.7813844, -96.237056 16.7813228, -96.2374234 16.7810686, -96.2377936 16.7809915, -96.2380055 16.7808374, -96.2382764 16.7803521, -96.2383273 16.7801672, -96.2383193 16.7796356, -96.2382469 16.779045, -96.2382697 16.7787111, -96.2381691 16.7784556, -96.238039 16.7782206, -96.238047 16.7781552, -96.2380859 16.7781179, -96.2383327 16.7780499, -96.2384212 16.7779279, -96.2384185 16.7778123, -96.2384011 16.7776107, -96.2383193 16.7772204)"
938688748,residential,False,False,108.78200000000001,,"LINESTRING (-96.2364122 16.7813485, -96.2357819 16.7812419, -96.2354008 16.7812204)"
938655985,residential,False,False,95.67699999999999,,"LINESTRING (-96.2396711 16.7749374, -96.2395893 16.7750414, -96.2395786 16.7751172, -96.2395665 16.7753335, -96.2395444 16.7753849, -96.2393935 16.7754568, -96.2393674 16.7754837, -96.2393343 16.7756644)"
665208947,unclassified,False,False,17.388,Calle Independencia,"LINESTRING (-96.2393343 16.7756644, -96.2392567 16.7755268)"
665208947,unclassified,False,True,39.405,Calle Independencia,"LINESTRING (-96.2393343 16.7756644, -96.2395102 16.7759762)"
938655985,residential,False,True,95.67699999999999,,"LINESTRING (-96.2393343 16.7756644, -96.2393674 16.7754837, -96.2393935 16.7754568, -96.2395444 16.7753849, -96.2395665 16.7753335, -96.2395786 16.7751172, -96.2395893 16.7750414, -96.2396711 16.7749374)"
938655986,residential,False,True,105.031,,"LINESTRING (-96.2387484 16.7764924, -96.2388128 16.7762574, -96.2388276 16.7760275, -96.2387732 16.7759043, -96.2387746 16.7758503, -96.2389433 16.7756173)"
