osmid,name,highway,oneway,reversed,length,ref,geometry
"[879923837, 326416647]","['Nicolás Bravo', 'Serafín Olarte']",residential,False,True,220.40299999999996,,"LINESTRING (-97.2905246 20.477059, -97.2905724 20.4770823, -97.290671 20.4771805, -97.2907111 20.4772449, -97.2909945 20.4777, -97.2910623 20.4777635, -97.2916384 20.4781387, -97.2917647 20.4782571, -97.2918974 20.478509)"
326416638,Úrsulo Galván,residential,False,True,152.853,,"LINESTRING (-97.2915799 20.4750128, -97.291514 20.4751281, -97.2909351 20.4762475)"
326416640,Lázaro Cárdenas,residential,False,False,184.297,,"LINESTRING (-97.2924322 20.4750662, -97.2917135 20.4765807)"
326416632,Benito Juárez,residential,False,True,7.768,,"LINESTRING (-97.2922343 20.4779516, -97.2922608 20.4778863)"
326416632,Benito Juárez,residential,False,False,72.589,,"LINESTRING (-97.2922343 20.4779516, -97.2922146 20.4780002, -97.2922109 20.4780298, -97.2921838 20.4781358, -97.2921506 20.4781985, -97.2921098 20.4782311, -97.2918974 20.478509)"
"[326416640, 326416645]","['Lázaro Cárdenas', 'Serafín Olarte']",residential,False,"[False, True]",228.88100000000003,,"LINESTRING (-97.2922343 20.4779516, -97.291277 20.4775066, -97.2912271 20.4774476, -97.2912462 20.4773726, -97.2917135 20.4765807)"
326416632,Benito Juárez,residential,False,False,107.75,,"LINESTRING (-97.2926283 20.4769805, -97.2922608 20.4778863)"
326416641,José María Morelos,residential,False,False,105.153,,"LINESTRING (-97.2926283 20.4769805, -97.2917135 20.4765807)"
326416632,Benito Juárez,residential,False,True,43.784000000000006,,"LINESTRING (-97.2926283 20.4769805, -97.2926983 20.4768081, -97.2929017 20.4767215)"
326416640,Lázaro Cárdenas,residential,False,True,184.297,,"LINESTRING (-97.2917135 20.4765807, -97.2924322 20.4750662)"
326416641,José María Morelos,residential,False,False,89.149,,"LINESTRING (-97.2917135 20.4765807, -97.2909351 20.4762475)"
326416641,José María Morelos,residential,False,True,105.153,,"LINESTRING (-97.2917135 20.4765807, -97.2926283 20.4769805)"
"[326416640, 326416645]","['Lázaro Cárdenas', 'Serafín Olarte']",residential,False,"[False, True]",228.881,,"LINESTRING (-97.2917135 20.4765807, -97.2912462 20.4773726, -97.2912271 20.4774476, -97.291277 20.4775066, -97.2922343 20.4779516)"
326416638,Úrsulo Galván,residential,False,True,67.378,,"LINESTRING (-97.2909351 20.4762475, -97.2906641 20.4767977)"
326416641,José María Morelos,residential,False,True,89.149,,"LINESTRING (-97.2909351 20.4762475, -97.2917135 20.4765807)"
879923834,,residential,False,False,53.0,,"LINESTRING (-97.2909351 20.4762475, -97.2904769 20.4760403)"
326416638,Úrsulo Galván,residential,False,False,152.853,,"LINESTRING (-97.2909351 20.4762475, -97.291514 20.4751281, -97.2915799 20.4750128)"
879923834,,residential,False,True,53.0,,"LINESTRING (-97.2904769 20.4760403, -97.2909351 20.4762475)"
326416638,Úrsulo Galván,residential,False,False,67.378,,"LINESTRING (-97.2906641 20.4767977, -97.2909351 20.4762475)"
326416638,Úrsulo Galván,residential,False,True,32.487,,"LINESTRING (-97.2906641 20.4767977, -97.2905246 20.477059)"
326416644,César Valenzuela González,residential,False,False,87.83,,"LINESTRING (-97.2906641 20.4767977, -97.28991 20.4764444)"
326416644,César Valenzuela González,residential,False,True,87.83,,"LINESTRING (-97.28991 20.4764444, -97.2906641 20.4767977)"
326416627,Alejandro Vega,residential,False,False,56.176,,"LINESTRING (-97.2930371 20.4809684, -97.2925614 20.4807304)"
879915227,Serafín Olarte,residential,False,False,35.963,,"LINESTRING (-97.2927136 20.4789824, -97.2927976 20.4792961)"
"[364029040, 879915228]",Serafín Olarte,residential,False,True,50.735,,"LINESTRING (-97.2927136 20.4789824, -97.2927687 20.4789677, -97.2928904 20.4789374, -97.2929458 20.47891, -97.2929673 20.4788515, -97.2929643 20.4787859, -97.2929381 20.4786906)"
879915227,Serafín Olarte,residential,False,True,19.694,,"LINESTRING (-97.2927136 20.4789824, -97.2926855 20.4789065, -97.2926245 20.4788284)"
326416629,Emiliano Zapata,residential,False,True,150.8,,"LINESTRING (-97.2916885 20.48163, -97.2917502 20.4816564, -97.2917857 20.4816714, -97.2918226 20.4816777, -97.2918682 20.481679, -97.291887 20.4816733, -97.2919031 20.4816652, -97.2919212 20.4816507, -97.2919285 20.4816338, -97.2919366 20.4816111, -97.2919446 20.4815747, -97.2919527 20.4815263, -97.2919661 20.4814623, -97.2919795 20.4814089, -97.2920103 20.4813511, -97.292119 20.481228, -97.2925614 20.4807304)"
879915225,,residential,False,True,52.991,,"LINESTRING (-97.2913197 20.4798837, -97.2911936 20.4798661, -97.2909951 20.4798385, -97.2908275 20.4797756)"
326416647,Serafín Olarte,residential,False,True,51.602000000000004,,"LINESTRING (-97.2900947 20.4768335, -97.2902723 20.4769523, -97.2904183 20.4770073, -97.2905246 20.477059)"
"[364029040, 879915228]",Serafín Olarte,residential,False,False,50.735,,"LINESTRING (-97.2929381 20.4786906, -97.2929643 20.4787859, -97.2929673 20.4788515, -97.2929458 20.47891, -97.2928904 20.4789374, -97.2927687 20.4789677, -97.2927136 20.4789824)"
"[326416625, 879915229]",Eduardo Salazar,residential,False,False,140.108,,"LINESTRING (-97.2936052 20.4795594, -97.293559 20.4796229, -97.2935128 20.4797225, -97.2934712 20.4798596, -97.2934142 20.4799592, -97.2933479 20.4799909, -97.2932894 20.4799678, -97.2926878 20.47957)"
879915227,Serafín Olarte,residential,False,False,19.694,,"LINESTRING (-97.2926245 20.4788284, -97.2926855 20.4789065, -97.2927136 20.4789824)"
879923833,Serafín Olarte,residential,False,True,59.843999999999994,,"LINESTRING (-97.2925432 20.4783104, -97.2924009 20.4781809, -97.2923521 20.4780857, -97.2923481 20.4779905, -97.2923399 20.4779258, -97.2923013 20.4778953, -97.2922608 20.4778863)"
326416632,Benito Juárez,residential,False,False,7.768,,"LINESTRING (-97.2922608 20.4778863, -97.2922343 20.4779516)"
326416632,Benito Juárez,residential,False,True,107.75,,"LINESTRING (-97.2922608 20.4778863, -97.2926283 20.4769805)"
879923833,Serafín Olarte,residential,False,False,59.84400000000001,,"LINESTRING (-97.2922608 20.4778863, -97.2923013 20.4778953, -97.2923399 20.4779258, -97.2923481 20.4779905, -97.2923521 20.4780857, -97.2924009 20.4781809, -97.2925432 20.4783104)"
879923838,,residential,False,True,53.343999999999994,,"LINESTRING (-97.2918787 20.4793338, -97.291818 20.4792813, -97.2917502 20.4792047, -97.2916405 20.4791697, -97.2914887 20.4791916, -97.291435 20.4791889)"
