osmid,oneway,name,highway,reversed,length,lanes,geometry,junction,bridge
588192237,True,Calle Tiburcio Aguilar,residential,False,13.593,,"LINESTRING (-103.7382584 19.2676553, -103.7383859 19.2676767)",,
59619081,True,Avenida Enrique Corona Morfín,primary,False,147.426,2,"LINESTRING (-103.7382584 19.2676553, -103.7380688 19.2685084, -103.738045 19.2687964, -103.7380393 19.2689616)",,
115782132,True,Avenida General Manuel Álvarez,secondary,False,40.667,,"LINESTRING (-103.7326899 19.260992, -103.7326471 19.2610251, -103.7326184 19.2610698, -103.7326072 19.261121, -103.7326146 19.2611727, -103.7326399 19.2612192, -103.7326802 19.261255, -103.7327308 19.2612762)",roundabout,
59619063,True,Avenida Enrique Corona Morfín,primary,False,86.03800000000001,2,"LINESTRING (-103.7382089 19.2684322, -103.7383082 19.2680083, -103.7383859 19.2676767)",,
115782132,True,Avenida General Manuel Álvarez,secondary,False,9.323,,"LINESTRING (-103.732813 19.2612756, -103.7328539 19.2612594, -103.7328888 19.2612334)",roundabout,
"[713066605, 713066606]",True,Avenida General Manuel Álvarez,secondary,False,174.326,,"LINESTRING (-103.732813 19.2612756, -103.7336389 19.262476, -103.7337177 19.2625903)",,yes
115782132,True,Avenida General Manuel Álvarez,secondary,False,4.882,,"LINESTRING (-103.7328199 19.2609789, -103.732774 19.2609718)",roundabout,
59619081,True,Avenida Enrique Corona Morfín,primary,False,39.929,2,"LINESTRING (-103.7389524 19.2661859, -103.7387796 19.2665058)",,
659143050,True,Avenida Merced Cabrera,primary,False,13.11,,"LINESTRING (-103.7389524 19.2661859, -103.7390583 19.2662484)",,
921920365,False,Calle Leandro Valle,tertiary,False,47.383,,"LINESTRING (-103.7345944 19.2638657, -103.7344269 19.2642614)",,
921920365,False,Calle Leandro Valle,tertiary,True,13.676,,"LINESTRING (-103.7345944 19.2638657, -103.7346417 19.2637511)",,
59619082,True,Avenida J. Merced Cabrera,secondary,False,171.306,,"LINESTRING (-103.7345944 19.2638657, -103.7347015 19.2639422, -103.7360018 19.2646437)",,
566740627,True,Avenida Benito Juárez,primary,False,13.932,,"LINESTRING (-103.7396821 19.264766, -103.7396448 19.2648313, -103.7396212 19.2648773)",,
"[920603269, 305172199]",True,Josefa Ortiz de Domínguez,residential,False,76.113,1,"LINESTRING (-103.7396821 19.264766, -103.7394138 19.2646687, -103.7390297 19.2644706)",,
115782132,True,Avenida General Manuel Álvarez,secondary,False,22.445,,"LINESTRING (-103.7328888 19.2612334, -103.732919 19.2611918, -103.7329335 19.2611432, -103.7329306 19.2610928, -103.7329106 19.261046)",roundabout,
305172151,True,Calle Narciso Mendoza,residential,False,10.686,,"LINESTRING (-103.7375939 19.2654852, -103.7376353 19.2653974)",,
1152010841,True,Avenida J. Merced Cabrera,secondary,False,84.925,,"LINESTRING (-103.7375939 19.2654852, -103.7383098 19.265841)",,
566740629,True,Avenida Benito Juárez,primary,False,28.108,,"LINESTRING (-103.7391173 19.2661412, -103.7392414 19.2659172)",,
659143051,True,Avenida Merced Cabrera,primary,False,13.752,,"LINESTRING (-103.7391173 19.2661412, -103.7390061 19.2660758)",,
115782132,True,Avenida General Manuel Álvarez,secondary,False,9.193000000000001,,"LINESTRING (-103.732774 19.2609718, -103.7327305 19.2609765, -103.7326899 19.260992)",roundabout,
566740629,True,Avenida Benito Juárez,primary,False,13.433,,"LINESTRING (-103.7390583 19.2662484, -103.7391173 19.2661412)",,
659143050,True,Avenida Merced Cabrera,primary,False,28.089000000000002,,"LINESTRING (-103.7390583 19.2662484, -103.7390865 19.2662632, -103.7392925 19.2663706)",,
566740627,True,Avenida Benito Juárez,primary,False,13.478,,"LINESTRING (-103.7390061 19.2660758, -103.7389524 19.2661859)",,
1152010843,True,Avenida J. Merced Cabrera,secondary,False,30.263,,"LINESTRING (-103.7390061 19.2660758, -103.7387461 19.2659582)",,
305172151,True,Calle Narciso Mendoza,residential,False,163.8,,"LINESTRING (-103.7376353 19.2653974, -103.7383115 19.2640698)",,
1152010843,True,Avenida J. Merced Cabrera,secondary,False,52.589,,"LINESTRING (-103.7376353 19.2653974, -103.737194 19.2651735)",,
659143050,True,Avenida Merced Cabrera,primary,False,174.751,,"LINESTRING (-103.7392925 19.2663706, -103.7393703 19.2664152, -103.7398534 19.26669, -103.740718 19.2671824)",,
566740629,True,Avenida Benito Juárez,primary,False,120.757,,"LINESTRING (-103.7392414 19.2659172, -103.7397487 19.2649425)",,
