osmid,oneway,lanes,ref,name,highway,width,reversed,length,geometry,junction,tunnel,bridge
91042156,True,2,MEX 1,Boulevard Mauricio Castro,trunk,6,False,15.781,"LINESTRING (-109.7041002 23.0598309, -109.7040975 23.059689)",,,
93232775,True,,,Paseo del Pescador,trunk_link,,False,24.048000000000002,"LINESTRING (-109.7041002 23.0598309, -109.7041754 23.0597514, -109.7042685 23.059681)",,,
165456415,True,,,Paseo de los Marinos,residential,,False,27.924,"LINESTRING (-109.7040103 23.0611389, -109.7041284 23.0609125)",,,
91042156,True,2,MEX 1,Boulevard Mauricio Castro,trunk,6,False,146.07600000000002,"LINESTRING (-109.7040103 23.0611389, -109.7040465 23.0609439, -109.7040787 23.0607477, -109.7040935 23.0605984, -109.7040948 23.0604899, -109.7041002 23.0598309)",,,
223357109,False,,,Paseo de los Pescadores,tertiary,,False,85.293,"LINESTRING (-109.7051571 23.0605242, -109.7046888 23.0598896)",,,
223357109,False,,,Paseo de los Pescadores,tertiary,,True,105.273,"LINESTRING (-109.7051571 23.0605242, -109.7057202 23.0613166)",,,
223532516,False,,,Paseo de los Marinos,residential,,False,89.00699999999999,"LINESTRING (-109.7051571 23.0605242, -109.7053199 23.0604728, -109.7057591 23.0602826, -109.705952 23.0602007)",,,
74001938,True,,,Circuito Plan de Ayala,residential,,False,29.957,"LINESTRING (-109.7035285 23.0569099, -109.7036342 23.0568916, -109.703712 23.0568929, -109.7038186 23.0569052)",,,
92114237,False,,,Circuito Plan de Ayala,residential,,False,55.343999999999994,"LINESTRING (-109.7035285 23.0569099, -109.7034083 23.0569548, -109.7030327 23.0571088)",,,
74001848,False,,,Circuito Plan de Ayala,residential,,True,58.785,"LINESTRING (-109.7005187 23.0580326, -109.7010915 23.0579912)",,,
74001760,False,,,Calzada La Corregidora,residential,,False,60.998999999999995,"LINESTRING (-109.7005187 23.0580326, -109.7005169 23.057839, -109.7005034 23.0577961, -109.7004832 23.0577579, -109.7003158 23.0575388)",,,
74001848,False,,,Circuito Plan de Ayala,residential,,False,66.562,"LINESTRING (-109.7005187 23.0580326, -109.7003276 23.0580572, -109.7002164 23.0580886, -109.7001252 23.0581318, -109.6999286 23.0582564)",,,
74001760,False,,,Calzada La Corregidora,residential,,True,60.998999999999995,"LINESTRING (-109.7003158 23.0575388, -109.7004832 23.0577579, -109.7005034 23.0577961, -109.7005169 23.057839, -109.7005187 23.0580326)",,,
1030412746,False,,,Calle Tercer Ayuntamiento,residential,,False,9.532,"LINESTRING (-109.7011207 23.0579098, -109.7010915 23.0579912)",,,
74001761,False,,,Calzada La Alondiga,residential,,False,59.638000000000005,"LINESTRING (-109.7011207 23.0579098, -109.7011226 23.0576366, -109.7011182 23.0573735)",,,
92114237,False,,,Circuito Plan de Ayala,residential,,True,89.49799999999999,"LINESTRING (-109.7011207 23.0579098, -109.7017327 23.057712, -109.7018927 23.0576629, -109.701941 23.0576343)",,,
74001761,False,,,Calzada La Alondiga,residential,,True,59.638000000000005,"LINESTRING (-109.7011182 23.0573735, -109.7011226 23.0576366, -109.7011207 23.0579098)",,,
74002010,False,,,Calle 12 de Octubre,residential,,True,30.218,"LINESTRING (-109.7033265 23.0594521, -109.7032601 23.0591873)",,,
689175169,False,,,Calle Mauricio Castro,residential,,False,81.379,"LINESTRING (-109.7033265 23.0594521, -109.703558 23.0594138, -109.7035025 23.0591326, -109.7032601 23.0591873)",,,
74002010,False,,,Calle 12 de Octubre,residential,,False,37.641,"LINESTRING (-109.7031781 23.0588573, -109.7032601 23.0591873)",,,
93461838,False,,,Calle Margarita Maza de Juárez,residential,,False,82.11200000000001,"LINESTRING (-109.7031781 23.0588573, -109.7025193 23.0588552, -109.7023759 23.0588647)",,,
93461838,False,,,Calle Margarita Maza de Juárez,residential,,True,74.748,"LINESTRING (-109.7031781 23.0588573, -109.7036829 23.0588658, -109.7039084 23.0588567)",,,
74001879,True,,,Calle Coronado,residential,,False,14.376,"LINESTRING (-109.7002233 23.0593671, -109.7000834 23.0593792)",,,
74001764,False,,,Calle Plan de Iguala,residential,,False,52.525999999999996,"LINESTRING (-109.7002233 23.0593671, -109.7002302 23.0591808, -109.7002407 23.058895)",,,
74001880,True,,,Calle Margarita Maza de Juárez,residential,,False,84.159,"LINESTRING (-109.7002407 23.058895, -109.7010582 23.058811)",,,
74001764,False,,,Calle Plan de Iguala,residential,,True,52.525999999999996,"LINESTRING (-109.7002407 23.058895, -109.7002302 23.0591808, -109.7002233 23.0593671)",,,
74001765,False,,,Calle Plan de San Luis,residential,,False,52.849,"LINESTRING (-109.7001372 23.0598519, -109.7000834 23.0593792)",,,
74001872,True,,,Calle Mauricio Castro,residential,,False,24.702,"LINESTRING (-109.7001372 23.0598519, -109.7003773 23.0598285)",,,
74001765,False,,,Calle Plan de San Luis,residential,,True,52.849,"LINESTRING (-109.7000834 23.0593792, -109.7001372 23.0598519)",,,
74001879,True,,,Calle Coronado,residential,,False,110.063,"LINESTRING (-109.7000834 23.0593792, -109.6990094 23.0594361)",,,
