osmid,name,highway,oneway,reversed,length,bridge,geometry,tunnel,lanes,ref,maxspeed
320243911,Francisco I. Madero,residential,False,False,96.483,,"LINESTRING (-103.1266049 20.3933804, -103.1256795 20.3933578)",,,,
320243922,Venustiano Carranza,residential,False,False,68.764,,"LINESTRING (-103.1266049 20.3933804, -103.1266075 20.392762)",,,,
320243922,Venustiano Carranza,residential,False,True,44.765,,"LINESTRING (-103.1266049 20.3933804, -103.1265888 20.3937827)",,,,
320243911,Francisco I. Madero,residential,False,False,114.626,,"LINESTRING (-103.1256795 20.3933578, -103.1245798 20.3933452)",,,,
320243911,Francisco I. Madero,residential,False,True,96.483,,"LINESTRING (-103.1256795 20.3933578, -103.1266049 20.3933804)",,,,
320243923,David López,residential,False,False,73.356,,"LINESTRING (-103.1256795 20.3933578, -103.1256972 20.3926983)",,,,
320243923,David López,residential,False,True,46.131,,"LINESTRING (-103.1256795 20.3933578, -103.1256714 20.3937726)",,,,
320243911,Francisco I. Madero,residential,False,False,126.126,,"LINESTRING (-103.1245798 20.3933452, -103.1233701 20.3933151)",,,,
320243911,Francisco I. Madero,residential,False,True,114.626,,"LINESTRING (-103.1245798 20.3933452, -103.1256795 20.3933578)",,,,
320243924,Emiliano Zapata,tertiary,False,False,77.127,,"LINESTRING (-103.1245798 20.3933452, -103.1245511 20.3926521)",,,,
320243924,Emiliano Zapata,tertiary,False,True,46.99,,"LINESTRING (-103.1245798 20.3933452, -103.1245932 20.3937676)",,,,
320243911,Francisco I. Madero,residential,False,True,126.126,,"LINESTRING (-103.1233701 20.3933151, -103.1245798 20.3933452)",,,,
320243925,Mariano Ángeles,residential,False,False,74.594,,"LINESTRING (-103.1233701 20.3933151, -103.1234036 20.392645)",,,,
320243925,Mariano Ángeles,residential,False,True,49.194,,"LINESTRING (-103.1233701 20.3933151, -103.1233674 20.3937575)",,,,
320243912,Juárez,tertiary,False,False,95.141,,"LINESTRING (-103.1266075 20.392762, -103.1256972 20.3926983)",,,,
320243922,Venustiano Carranza,residential,False,False,82.753,,"LINESTRING (-103.1266075 20.392762, -103.1266022 20.3920178)",,,,
320243922,Venustiano Carranza,residential,False,True,68.764,,"LINESTRING (-103.1266075 20.392762, -103.1266049 20.3933804)",,,,
320243912,Juárez,tertiary,False,False,119.564,,"LINESTRING (-103.1256972 20.3926983, -103.1245511 20.3926521)",,,,
320243912,Juárez,tertiary,False,True,95.141,,"LINESTRING (-103.1256972 20.3926983, -103.1266075 20.392762)",,,,
320243923,David López,residential,False,False,75.112,,"LINESTRING (-103.1256972 20.3926983, -103.1256983 20.3920228)",,,,
320243923,David López,residential,False,True,73.356,,"LINESTRING (-103.1256972 20.3926983, -103.1256795 20.3933578)",,,,
320243912,Juárez,tertiary,False,False,119.602,,"LINESTRING (-103.1245511 20.3926521, -103.1234036 20.392645)",,,,
320243912,Juárez,tertiary,False,True,119.564,,"LINESTRING (-103.1245511 20.3926521, -103.1256972 20.3926983)",,,,
320243924,Emiliano Zapata,tertiary,False,False,70.005,,"LINESTRING (-103.1245511 20.3926521, -103.1245315 20.3920228)",,,,
320243924,Emiliano Zapata,tertiary,False,True,77.127,,"LINESTRING (-103.1245511 20.3926521, -103.1245798 20.3933452)",,,,
"[320243912, 933157945, 933157944]",Juárez,tertiary,False,False,94.551,yes,"LINESTRING (-103.1224689 20.3926174, -103.122257 20.3926312, -103.1218367 20.3927512, -103.1216272 20.3928178, -103.1215944 20.3928268)",,,,
