osmid,highway,oneway,reversed,length,ref,maxspeed,bridge,name,geometry,lanes
910509174,unclassified,False,False,4.272,,,,,"LINESTRING (-92.8969793 16.9913974, -92.8969406 16.9914077)",
"[910509172, 910509964, 910509173]",primary,False,True,348.93100000000004,MEX 195,80,yes,Avenida Segunda Sur Poniente,"LINESTRING (-92.8969793 16.9913974, -92.8971416 16.9916799, -92.8972702 16.9918215, -92.8974015 16.9919426, -92.8974959 16.9920685, -92.8975241 16.9922122, -92.8974637 16.9923915, -92.8973557 16.9925165, -92.8972028 16.9926717, -92.8969279 16.9929179, -92.8966791 16.9931432, -92.896298 16.9935204, -92.8960437 16.9938077)",
910079677,primary,False,True,34.245,MEX 195,80,,Avenida Segunda Sur Poniente,"LINESTRING (-92.8952615 16.9944001, -92.8949395 16.9944044)",
641342964,residential,False,False,73.147,,,,Avenida Segunda Sur Poniente,"LINESTRING (-92.8952615 16.9944001, -92.895285 16.9944262, -92.8953293 16.994448, -92.8959209 16.9945547)",
910079676,primary,False,False,106.655,MEX 195,80,,Avenida Segunda Sur Poniente,"LINESTRING (-92.8952615 16.9944001, -92.8954044 16.99433, -92.8955258 16.9942393, -92.8957656 16.994012, -92.8960437 16.9938077)",
544277082,residential,True,False,55.576,,20,,Calle Central Sur,"LINESTRING (-92.8903571 16.9945666, -92.8903461 16.9950663)",2
908436850,primary,False,False,43.064,MEX 195,80,,Avenida Segunda Sur Oriente,"LINESTRING (-92.8903571 16.9945666, -92.8905165 16.9945779, -92.8907616 16.9945815)",
908436850,primary,False,True,72.488,MEX 195,80,,Avenida Segunda Sur Oriente,"LINESTRING (-92.8903571 16.9945666, -92.8897823 16.9945365, -92.8896763 16.9945349)",
"[544277090, 544277091]",residential,False,False,201.09300000000002,,20,,"['Prolongación Central Sur', 'Avenida 3era. Sur Oriente']","LINESTRING (-92.8907616 16.9945815, -92.8908163 16.9938792, -92.8896737 16.9937202)",2
908436850,primary,False,True,43.064,MEX 195,80,,Avenida Segunda Sur Oriente,"LINESTRING (-92.8907616 16.9945815, -92.8905165 16.9945779, -92.8903571 16.9945666)",
910079677,primary,False,False,101.366,MEX 195,80,,Avenida Segunda Sur Poniente,"LINESTRING (-92.8907616 16.9945815, -92.8912636 16.9944192, -92.8916764 16.9943295)",
910079677,primary,False,False,7.164,MEX 195,80,,Avenida Segunda Sur Poniente,"LINESTRING (-92.8916764 16.9943295, -92.8917227 16.9942827)",
910079677,primary,False,True,101.366,MEX 195,80,,Avenida Segunda Sur Poniente,"LINESTRING (-92.8916764 16.9943295, -92.8912636 16.9944192, -92.8907616 16.9945815)",
