osmid,highway,oneway,reversed,length,lanes,ref,name,access,geometry
784036116,residential,False,False,127.936,,,,,"LINESTRING (-98.859854 19.5589158, -98.8610099 19.5592865)"
708032111,secondary,True,False,68.06700000000001,2,MEX 136,Avenida Guerrero,permissive,"LINESTRING (-98.8580133 19.5636648, -98.8581491 19.5632719, -98.8582178 19.5630838)"
792230194,tertiary,False,False,72.563,,,Avenida Insurgentes,,"LINESTRING (-98.8580133 19.5636648, -98.8580785 19.5637695, -98.8586019 19.5639668)"
315676643,tertiary,False,False,29.731,,,Calle Plaza Morelos,,"LINESTRING (-98.8575261 19.5626856, -98.8577988 19.5627595)"
737735983,secondary,True,False,90.81200000000001,,MEX 136,Hidalgo,,"LINESTRING (-98.8575261 19.5626856, -98.8574131 19.5630735, -98.8572897 19.5634713)"
708032111,secondary,True,False,131.568,2,MEX 136,Avenida Guerrero,permissive,"LINESTRING (-98.8582796 19.5628942, -98.8586989 19.5617789)"
315676643,tertiary,False,True,52.556,,,Calle Plaza Morelos,,"LINESTRING (-98.8582796 19.5628942, -98.8579815 19.5628101, -98.8577988 19.5627595)"
708032111,secondary,True,False,22.055,2,MEX 136,Avenida Guerrero,permissive,"LINESTRING (-98.8582178 19.5630838, -98.8582796 19.5628942)"
784032626,residential,False,False,70.721,,,Calle Allende,,"LINESTRING (-98.8582178 19.5630838, -98.858873 19.5632366)"
315681651,residential,False,True,94.057,,,Calle Ejército del trabajo,,"LINESTRING (-98.8578048 19.5617034, -98.8586989 19.5617789)"
737735983,secondary,True,False,17.331,,MEX 136,Hidalgo,,"LINESTRING (-98.8578048 19.5617034, -98.8577566 19.5618525)"
315681680,residential,False,False,93.727,,,Calle Nicolás Bravo,,"LINESTRING (-98.8570183 19.5642686, -98.8578659 19.5645381)"
550519771,secondary,False,False,44.94,2,MEX 136,Calle Hidalgo,permissive,"LINESTRING (-98.8570183 19.5642686, -98.8568767 19.5646501)"
550519771,secondary,False,True,54.069,2,MEX 136,Calle Hidalgo,permissive,"LINESTRING (-98.8570183 19.5642686, -98.8571733 19.5638048)"
315681671,residential,False,False,92.715,,,Calle Narciso Mendoza,,"LINESTRING (-98.8555321 19.5643089, -98.8547349 19.5646708)"
782274674,residential,False,True,151.577,,,Calle Belisario Domínguez,,"LINESTRING (-98.8555321 19.5643089, -98.8541519 19.5639004)"
"[782274674, 315681684, 784036118]",residential,False,False,64.75999999999999,,,Calle Belisario Domínguez,,"LINESTRING (-98.8555321 19.5643089, -98.8559447 19.5644494, -98.855985 19.5643571, -98.856056 19.5643748)"
315681656,residential,False,False,48.627,,,Comonfort 2,,"LINESTRING (-98.8577336 19.5649123, -98.8581677 19.565067)"
315681686,residential,False,True,43.857,,,Ignacio Comonfort,,"LINESTRING (-98.8577336 19.5649123, -98.8578659 19.5645381)"
315681686,residential,False,False,91.529,,,Ignacio Comonfort,,"LINESTRING (-98.8577336 19.5649123, -98.8575854 19.5652361, -98.857511 19.5653204, -98.857197 19.565527)"
315681671,residential,False,True,47.071,,,Calle Narciso Mendoza,,"LINESTRING (-98.853756 19.5650546, -98.8541746 19.5649009)"
315681677,residential,False,True,98.874,,,Calle Guillermo Prieto,,"LINESTRING (-98.853756 19.5650546, -98.8540419 19.5642072)"
315681678,residential,False,False,138.803,,,Calle Victoria,,"LINESTRING (-98.8601518 19.5601187, -98.8613935 19.5605537)"
315681682,residential,False,True,185.802,,,Calle Victoria,,"LINESTRING (-98.8601518 19.5601187, -98.8594818 19.5616658)"
"[784036114, 315681678]",residential,False,True,85.452,,,Calle Victoria,,"LINESTRING (-98.8601518 19.5601187, -98.8599332 19.560034, -98.8599063 19.5600088, -98.859901 19.5599696, -98.8600472 19.5595197)"
315681630,residential,False,False,24.771,,,Calle Aldama,,"LINESTRING (-98.8613935 19.5605537, -98.8615973 19.5604408)"
315681630,residential,False,True,43.474,,,Calle Aldama,,"LINESTRING (-98.8613935 19.5605537, -98.861032 19.5607456)"
315681678,residential,False,True,138.803,,,Calle Victoria,,"LINESTRING (-98.8613935 19.5605537, -98.8601518 19.5601187)"
784032611,residential,False,True,26.373,,,Calle Sauce,,"LINESTRING (-98.856733 19.5609545, -98.8567923 19.560724)"
784036121,residential,False,False,59.621,,,Prolongación De Morelos,,"LINESTRING (-98.856733 19.5609545, -98.8562007 19.560765)"
"[792235480, 782273826, 792235479]",residential,False,True,134.867,,,Prolongación De Morelos,,"LINESTRING (-98.856733 19.5609545, -98.8566898 19.5612923, -98.8567042 19.5613526, -98.8567627 19.5614148, -98.8570533 19.5615893, -98.8572914 19.5619241)"
315681630,residential,False,False,20.67,,,Calle Aldama,,"LINESTRING (-98.8599913 19.5614312, -98.8601586 19.5613327)"
315681630,residential,False,True,59.417,,,Calle Aldama,,"LINESTRING (-98.8599913 19.5614312, -98.8594818 19.5616658)"
784036112,residential,False,False,195.487,,,Privada Aldama,,"LINESTRING (-98.8599913 19.5614312, -98.8617732 19.5619523)"
315681630,residential,False,False,59.417,,,Calle Aldama,,"LINESTRING (-98.8594818 19.5616658, -98.8599913 19.5614312)"
315681682,residential,False,False,185.802,,,Calle Victoria,,"LINESTRING (-98.8594818 19.5616658, -98.8601518 19.5601187)"
315681682,residential,False,True,102.103,,,Calle Victoria,,"LINESTRING (-98.8594818 19.5616658, -98.8591372 19.5625247)"
315681630,residential,False,True,65.163,,,Calle Aldama,,"LINESTRING (-98.8594818 19.5616658, -98.8591726 19.5617498, -98.8588753 19.5617885)"
782273824,tertiary,False,True,23.691,,,Benito Juárez,,"LINESTRING (-98.8549128 19.5626108, -98.8547023 19.562533)"
315681697,residential,False,True,261.418,,,Prolongación Morelos,,"LINESTRING (-98.8549128 19.5626108, -98.8557935 19.5623478, -98.8563624 19.5621398, -98.8565818 19.5620858, -98.8569575 19.5620377, -98.8572914 19.5619241)"
782273824,tertiary,False,False,217.50199999999998,,,Benito Juárez,,"LINESTRING (-98.8549128 19.5626108, -98.8555791 19.5628982, -98.856205 19.563155, -98.8568312 19.5633527)"
315681638,residential,False,False,79.916,,,Calle Gómez Farías,,"LINESTRING (-98.8540419 19.5642072, -98.8533088 19.5640088)"
315681677,residential,False,False,98.874,,,Calle Guillermo Prieto,,"LINESTRING (-98.8540419 19.5642072, -98.853756 19.5650546)"
315681677,residential,False,True,36.009,,,Calle Guillermo Prieto,,"LINESTRING (-98.8540419 19.5642072, -98.8541519 19.5639004)"
315681626,tertiary,False,True,41.426,,,Avenida Insurgentes,,"LINESTRING (-98.8597908 19.5642638, -98.8594049 19.5641827)"
315681689,residential,False,False,105.234,,,Calle Rayón,,"LINESTRING (-98.8597908 19.5642638, -98.8594389 19.5633774)"
315681680,residential,False,False,49.957,,,Calle Nicolás Bravo,,"LINESTRING (-98.8578659 19.5645381, -98.8583179 19.5646811)"
315681680,residential,False,True,93.727,,,Calle Nicolás Bravo,,"LINESTRING (-98.8578659 19.5645381, -98.8570183 19.5642686)"
315681686,residential,False,False,43.857,,,Ignacio Comonfort,,"LINESTRING (-98.8578659 19.5645381, -98.8577336 19.5649123)"
315681684,residential,False,True,91.275,,,Calle Belisario Domínguez,,"LINESTRING (-98.8568767 19.5646501, -98.856056 19.5643748)"
550519771,secondary,False,False,80.902,2,MEX 136,Calle Hidalgo,permissive,"LINESTRING (-98.8568767 19.5646501, -98.8566106 19.5653331)"
550519771,secondary,False,True,44.94,2,MEX 136,Calle Hidalgo,permissive,"LINESTRING (-98.8568767 19.5646501, -98.8570183 19.5642686)"
315681680,residential,False,True,49.957,,,Calle Nicolás Bravo,,"LINESTRING (-98.8583179 19.5646811, -98.8578659 19.5645381)"
550522702,residential,False,False,45.705,,,Calle Victoria,,"LINESTRING (-98.8583179 19.5646811, -98.8581677 19.565067)"
"[792227740, 792227741]",residential,False,True,90.09,,,"['Victoria', 'Calle Victoria']",,"LINESTRING (-98.8583179 19.5646811, -98.8583744 19.5646806, -98.8584147 19.5646567, -98.8586019 19.5639668)"
315681656,residential,False,True,48.627,,,Comonfort 2,,"LINESTRING (-98.8581677 19.565067, -98.8577336 19.5649123)"
550522702,residential,False,True,45.705,,,Calle Victoria,,"LINESTRING (-98.8581677 19.565067, -98.8583179 19.5646811)"
"[792230196, 550522702]",residential,False,False,140.269,,,Calle Victoria,,"LINESTRING (-98.8581677 19.565067, -98.8580757 19.5653302, -98.8580744 19.565387, -98.8581085 19.5654345, -98.8589335 19.5658256)"
315681659,residential,False,True,65.113,,,Calle 5 de mayo,,"LINESTRING (-98.8566106 19.5653331, -98.857197 19.565527)"
550519771,secondary,False,False,154.457,2,MEX 136,Calle Hidalgo,permissive,"LINESTRING (-98.8566106 19.5653331, -98.856035 19.5666119)"
550519771,secondary,False,True,80.902,2,MEX 136,Calle Hidalgo,permissive,"LINESTRING (-98.8566106 19.5653331, -98.8568767 19.5646501)"
"[784036114, 315681678]",residential,False,False,85.452,,,Calle Victoria,,"LINESTRING (-98.8600472 19.5595197, -98.859901 19.5599696, -98.8599063 19.5600088, -98.8599332 19.560034, -98.8601518 19.5601187)"
315681630,residential,False,False,18.513,,,Calle Aldama,,"LINESTRING (-98.8586989 19.5617789, -98.8588753 19.5617885)"
315681651,residential,False,False,94.057,,,Calle Ejército del trabajo,,"LINESTRING (-98.8586989 19.5617789, -98.8578048 19.5617034)"
