osmid,oneway,name,highway,reversed,length,geometry,junction,maxspeed,access,bridge
726526281,True,Calle Francisco I. Madero Oriente,tertiary,False,54.733000000000004,"LINESTRING (-102.3542846 19.0953573, -102.3539733 19.0953329, -102.35377 19.0952891)",,,,
124875429,True,Avenida Francisco I. Madero Oriente,tertiary,False,54.546,"LINESTRING (-102.353414 19.0953088, -102.3533101 19.0952907, -102.3528988 19.0952508)",,,,
124875431,True,,secondary,False,6.285,"LINESTRING (-102.353414 19.0953088, -102.3534159 19.095337, -102.3534228 19.0953645)",roundabout,,,
191556914,True,Avenida Aquiles Serdán Norte,tertiary,False,10.68,"LINESTRING (-102.3499555 19.0948871, -102.3499096 19.0949728)",,,,
124875429,True,Avenida Francisco I. Madero Oriente,tertiary,False,17.123,"LINESTRING (-102.3501168 19.094909, -102.3499555 19.0948871)",,,,
191556918,True,Avenida Aquiles Serdán Norte,tertiary,False,181.428,"LINESTRING (-102.3501168 19.094909, -102.3513533 19.0937702)",,,,
726198772,True,Avenida General Joaquín Amaro,residential,False,21.252,"LINESTRING (-102.3501168 19.094909, -102.3501286 19.0947182)",,,,
124875455,True,Avenida Francisco I. Madero Oriente,tertiary,False,18.439,"LINESTRING (-102.3499096 19.0949728, -102.3500839 19.094992)",,,,
124875431,True,,secondary,False,5.6240000000000006,"LINESTRING (-102.3534228 19.0953645, -102.353433 19.0953879, -102.3534467 19.0954096)",roundabout,,,
127679790,False,Avenida Constitución de 1814 Norte,secondary,False,151.516,"LINESTRING (-102.3537254 19.0927726, -102.3538964 19.0914196)",,20,yes,
127679799,False,Avenida Constitución de 1814 Norte,secondary,False,117.276,"LINESTRING (-102.3537254 19.0927726, -102.3535944 19.09382)",,,,
725895079,False,Calle Emiliano Zapata,residential,False,118.148,"LINESTRING (-102.3537254 19.0927726, -102.3526029 19.0927111)",,,,
725895079,False,Calle Emiliano Zapata,residential,True,103.705,"LINESTRING (-102.3537254 19.0927726, -102.3547078 19.0928619)",,,,
191556916,False,Avenida José María Morelos y Pavón Oriente,residential,False,105.638,"LINESTRING (-102.3541398 19.0876017, -102.3531391 19.087511)",,,,
