osmid,oneway,name,highway,reversed,length,geometry,maxspeed,bridge,lanes
60510624,True,Esparza,tertiary,False,122.06099999999999,"LINESTRING (-102.7591637 20.8149358, -102.7591695 20.8147192, -102.7591964 20.8138385)",,,
60510642,True,Juan José Espinoza,tertiary,False,74.66,"LINESTRING (-102.7591637 20.8149358, -102.7591348 20.8149364, -102.7584455 20.814925)",40,,
66417916,True,General Juan Ibarra,residential,False,137.217,"LINESTRING (-102.7559401 20.8149325, -102.7559477 20.8136985)",,,
316531559,True,Santos Romo,tertiary,False,128.218,"LINESTRING (-102.7559401 20.8149325, -102.7547065 20.8149321)",40,,
308242277,True,Pedro Medina,residential,False,99.027,"LINESTRING (-102.7578674 20.8137937, -102.7579015 20.8129037)",,,
308244116,True,Vicente Guerrero,residential,False,60.513,"LINESTRING (-102.7578674 20.8137937, -102.7584495 20.8138037)",,,
66417942,True,16 de Septiembre,residential,False,82.363,"LINESTRING (-102.7596997 20.8149306, -102.7597019 20.8156713)",,,
308738798,True,José María Morelos,tertiary,False,55.714,"LINESTRING (-102.7596997 20.8149306, -102.7593823 20.8149345, -102.7591637 20.8149358)",40,,
308738798,True,José María Morelos,tertiary,False,93.085,"LINESTRING (-102.7605951 20.8149136, -102.7596997 20.8149306)",40,,
66417940,True,Tepeyac,residential,False,110.84,"LINESTRING (-102.7605951 20.8149136, -102.7605858 20.8143175, -102.7605795 20.8139169)",,,
316531537,True,Donato Guerra,residential,False,66.266,"LINESTRING (-102.7558798 20.8170276, -102.7559175 20.8164327)",,,
509350679,True,Abasolo,residential,False,76.399,"LINESTRING (-102.7558798 20.8170276, -102.7551476 20.8170881)",,,
66417929,True,Francisco I. Madero,residential,False,79.087,"LINESTRING (-102.7611153 20.814902, -102.7611156 20.8151442, -102.7611781 20.8156096)",,,
308738798,True,José María Morelos,tertiary,False,54.097,"LINESTRING (-102.7611153 20.814902, -102.760726 20.8149061, -102.7605951 20.8149136)",40,,
66417942,True,16 de Septiembre,residential,False,46.802,"LINESTRING (-102.7597034 20.8162109, -102.7596774 20.8166311)",,,
