osmid,lanes,name,highway,width,oneway,reversed,length,geometry,ref,maxspeed
827284732,1,Morelos,residential,4,False,False,91.164,"LINESTRING (-97.5228006 20.2712994, -97.5236683 20.2713976)",,
827284732,1,Morelos,residential,4,False,True,50.168,"LINESTRING (-97.524645 20.2715081, -97.5241675 20.2714541)",,
881068445,1,Miguel Hidalgo,unclassified,,False,False,51.206,"LINESTRING (-97.524645 20.2715081, -97.524582 20.2719648)",,
881068445,1,Miguel Hidalgo,unclassified,,False,True,143.815,"LINESTRING (-97.524645 20.2715081, -97.5247878 20.2702217)",,
385849300,1,Benito Juárez,residential,4,False,True,88.063,"LINESTRING (-97.5227728 20.2716264, -97.5235995 20.2717871)",,
385849300,1,Benito Juárez,residential,4,False,False,51.379,"LINESTRING (-97.524582 20.2719648, -97.5240982 20.271878)",,
881068445,1,Miguel Hidalgo,unclassified,,False,False,47.123,"LINESTRING (-97.524582 20.2719648, -97.5245351 20.2723863)",,
881068445,1,Miguel Hidalgo,unclassified,,False,True,51.206,"LINESTRING (-97.524582 20.2719648, -97.524645 20.2715081)",,
881067977,,,residential,,False,False,58.812,"LINESTRING (-97.52307 20.2681919, -97.5231259 20.2676656)",,
881067977,,,residential,,False,True,85.764,"LINESTRING (-97.52307 20.2681919, -97.5229886 20.2689594)",,
827301368,1,Ignacio Allende,residential,,False,True,103.528,"LINESTRING (-97.52307 20.2681919, -97.5231101 20.2681825, -97.5234179 20.2681517, -97.5236741 20.2681366, -97.524059 20.2681403)",,
827301368,1,Ignacio Allende,residential,,False,True,67.181,"LINESTRING (-97.5250312 20.2682286, -97.5256656 20.2683328)",,
881067973,1,Miguel Hidalgo,residential,,False,True,108.979,"LINESTRING (-97.5250312 20.2682286, -97.5249123 20.2692023)",,
827301368,1,Ignacio Allende,residential,,False,False,102.15599999999999,"LINESTRING (-97.5250312 20.2682286, -97.5246316 20.2681642, -97.5243567 20.2681391, -97.524059 20.2681403)",,
881067973,1,Miguel Hidalgo,residential,,False,False,67.287,"LINESTRING (-97.5250312 20.2682286, -97.5250889 20.2677557, -97.5251046 20.2676274)",,
