osmid,highway,oneway,reversed,length,lanes,maxspeed,width,geometry
700882048,residential,False,False,51.388,,,,"LINESTRING (-99.6652807 20.790375, -99.6653919 20.7899247)"
319203406,unclassified,False,False,693.458,2,50,9.0,"LINESTRING (-99.6652807 20.790375, -99.6655145 20.7906218, -99.6657801 20.7908299, -99.6663675 20.7911847, -99.666869 20.7914618, -99.6675423 20.7917426, -99.6681887 20.7919194, -99.6687815 20.7920172, -99.6690524 20.7920711, -99.6691556 20.7921501, -99.6692093 20.7922667, -99.669224 20.7924585, -99.6692012 20.7926215, -99.6686393 20.7939355, -99.6686232 20.7940571, -99.6686246 20.7941549)"
706477161,unclassified,False,True,182.216,2,50,9.0,"LINESTRING (-99.6652807 20.790375, -99.6649687 20.7899836, -99.6649016 20.7898582, -99.6648534 20.7896902, -99.6647508 20.7888593)"
713437099,unclassified,False,True,36.370000000000005,2,60,10.0,"LINESTRING (-99.6652944 20.7875633, -99.6653931 20.787747, -99.6654435 20.787859)"
706455029,unclassified,False,False,17.295,2,50,9.0,"LINESTRING (-99.6654435 20.787859, -99.6653039 20.7879436)"
713437099,unclassified,False,False,36.370000000000005,2,60,10.0,"LINESTRING (-99.6654435 20.787859, -99.6653931 20.787747, -99.6652944 20.7875633)"
706455029,unclassified,False,True,17.295,2,50,9.0,"LINESTRING (-99.6653039 20.7879436, -99.6654435 20.787859)"
863730374,unclassified,False,False,25.941,,,,"LINESTRING (-99.6653039 20.7879436, -99.6651222 20.7877837)"
706455029,unclassified,False,False,69.22,2,50,9.0,"LINESTRING (-99.6653039 20.7879436, -99.6652038 20.7880393, -99.6649336 20.7884576)"
863730372,unclassified,False,True,114.481,,,,"LINESTRING (-99.6653039 20.7879436, -99.6655046 20.7881058, -99.6661452 20.7886079)"
706455029,unclassified,False,True,48.733000000000004,2,50,9.0,"LINESTRING (-99.6647508 20.7888593, -99.6647877 20.7887436, -99.6648265 20.7886451, -99.6649336 20.7884576)"
