osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,junction
359412299,Calle Guillermo Prieto,residential,False,False,13.279,,"LINESTRING (-102.0921184 19.0263231, -102.092042 19.026228)",,
359412299,Calle Guillermo Prieto,residential,False,True,83.14,,"LINESTRING (-102.0921184 19.0263231, -102.0925714 19.026936)",,
721726035,Avenida Lázaro Cárdenas Norte,primary,True,False,144.794,MEX 37,"LINESTRING (-102.0921184 19.0263231, -102.0925663 19.0257703, -102.0928708 19.0253031, -102.0928942 19.0252505)",,
359412283,Calle Primo de Verdad,residential,False,False,175.54,,"LINESTRING (-102.0927943 19.0252416, -102.0911247 19.0252707)",,
359412283,Calle Primo de Verdad,residential,False,True,10.548,,"LINESTRING (-102.0927943 19.0252416, -102.0928942 19.0252505)",,
721726034,Avenida Lázaro Cárdenas Norte,primary,True,False,135.531,MEX 37,"LINESTRING (-102.0927943 19.0252416, -102.0923672 19.0258704, -102.092042 19.026228)",,
721757440,Calle Benito Juárez,residential,False,False,8.859,,"LINESTRING (-102.0931692 19.0247757, -102.0930936 19.0247405)",,
721757440,Calle Benito Juárez,residential,False,True,62.229,,"LINESTRING (-102.0931692 19.0247757, -102.093728 19.0249604)",,
721757442,Avenida Lázaro Cárdenas Sur,primary,True,False,137.078,MEX 37,"LINESTRING (-102.0931692 19.0247757, -102.0936406 19.0236263)",,
721757441,Calle Gildardo Magaña,residential,False,False,114.082,,"LINESTRING (-102.0943856 19.0212218, -102.0933952 19.0208024)",,
721757443,Avenida Lázaro Cárdenas Sur,primary,True,False,89.812,MEX 37,"LINESTRING (-102.0943856 19.0212218, -102.0941486 19.0219978)",,
944385631,Calle Ambrosio Figueroa,residential,True,False,9.616,,"LINESTRING (-102.0943856 19.0212218, -102.0944667 19.0212618)",,
359412299,Calle Guillermo Prieto,residential,False,True,13.279,,"LINESTRING (-102.092042 19.026228, -102.0921184 19.0263231)",,
