osmid,name,highway,oneway,reversed,length,access,geometry,bridge
431453733,Calle Cruzada Zaragoza,residential,False,True,71.509,,"LINESTRING (-105.6650005 26.9259208, -105.6649498 26.9265623)",
932977236,Boulevard Antonio Ortiz Mena,secondary,True,False,58.188,permissive,"LINESTRING (-105.6650005 26.9259208, -105.6647323 26.9259901, -105.6645741 26.9260475, -105.6644501 26.9260992)",
237467657,Calle República de Costa Rica,residential,False,True,5.485,,"LINESTRING (-105.6660389 26.9258972, -105.6659985 26.9259309)",
144442087,Calle República De Chile,residential,False,False,67.577,,"LINESTRING (-105.6660389 26.9258972, -105.6660399 26.9256954, -105.6660426 26.9254867, -105.6660459 26.9252895)",
237467657,Calle República de Costa Rica,residential,False,False,95.848,,"LINESTRING (-105.6660389 26.9258972, -105.6666149 26.9254733, -105.666641 26.9254447, -105.6666588 26.9254077, -105.6666736 26.9252895)",
234837156,Avenida 20 de Noviembre,tertiary,True,False,41.825,,"LINESTRING (-105.6680777 26.927095, -105.6679805 26.9272474, -105.6678692 26.927422)",
431453732,Boulevard Antonio Ortiz Mena,secondary,True,False,60.417,permissive,"LINESTRING (-105.6680777 26.927095, -105.6678075 26.9269503, -105.6675553 26.9268152)",
144442087,Calle República De Chile,residential,False,True,61.902,,"LINESTRING (-105.6660459 26.9247328, -105.6660459 26.9252895)",
258017833,Prolongación José de San Martín,residential,False,False,62.57,,"LINESTRING (-105.6660459 26.9247328, -105.6654148 26.9247286)",
258017833,Prolongación José de San Martín,residential,False,True,61.9,,"LINESTRING (-105.6660459 26.9247328, -105.6666702 26.9247251)",
234837163,Calle Colegio,residential,True,False,54.849,,"LINESTRING (-105.6644085 26.9328115, -105.66486 26.9330966)",
234837150,Coronado,residential,False,True,66.662,,"LINESTRING (-105.663743 26.932776, -105.6632353 26.9323829)",
234837151,Calle Esteban Coronado,residential,True,False,53.99,,"LINESTRING (-105.663743 26.932776, -105.6641741 26.9330727)",
453426236,Calle General Benítez,tertiary,False,False,37.624,,"LINESTRING (-105.663743 26.932776, -105.6639713 26.9325057)",
234837149,Coronado,residential,True,False,41.81,,"LINESTRING (-105.6628373 26.9322585, -105.6632353 26.9323829)",
848443159,Calle Pablo Ochoa Méndez,residential,True,False,75.81800000000001,,"LINESTRING (-105.6626657 26.9329223, -105.6627354 26.9325969, -105.662785 26.9324104, -105.6628373 26.9322585)",
234837150,Coronado,residential,False,False,66.662,,"LINESTRING (-105.6632353 26.9323829, -105.663743 26.932776)",
234837148,Coronado,residential,True,False,59.274,,"LINESTRING (-105.6632353 26.9323829, -105.6631458 26.9322765, -105.6630881 26.9321856, -105.6630211 26.9320756, -105.6629301 26.9319257)",
239260472,Calle Ricardo Flores Magón,residential,False,False,68.117,,"LINESTRING (-105.6653842 26.9309407, -105.6647814 26.9306467)",
239260472,Calle Ricardo Flores Magón,residential,False,True,55.742,,"LINESTRING (-105.6653842 26.9309407, -105.6658679 26.9311963)",
"[234837155, 453426236, 850443774]","['Avenida 20 de Noviembre', 'Calle General Benítez', 'Puente Francisco Villa']",tertiary,False,True,223.43099999999998,,"LINESTRING (-105.6653842 26.9309407, -105.6645626 26.9318685, -105.6642334 26.9322073, -105.6639713 26.9325057)",yes
234837156,Avenida 20 de Noviembre,tertiary,True,False,48.666,,"LINESTRING (-105.6656966 26.9306031, -105.6653842 26.9309407)",
932978130,Calle Carlos Fuero,tertiary,True,False,41.21,,"LINESTRING (-105.6656966 26.9306031, -105.6661007 26.93069)",
262291065,Calle Carlos Fuero,tertiary,False,True,90.86,,"LINESTRING (-105.6656966 26.9306031, -105.6652795 26.9306253, -105.6647814 26.9306467)",
234837163,Calle Colegio,residential,True,False,55.088,,"LINESTRING (-105.6639713 26.9325057, -105.6644085 26.9328115)",
453426236,Calle General Benítez,tertiary,False,True,37.624,,"LINESTRING (-105.6639713 26.9325057, -105.663743 26.932776)",
234837154,Calle Colegio,residential,True,False,128.612,,"LINESTRING (-105.6639713 26.9325057, -105.6635588 26.9321091, -105.6634703 26.9320086, -105.663414 26.9319261, -105.6633724 26.9318616, -105.6633188 26.9317946, -105.6632423 26.9317169, -105.6631216 26.9316416)",
"[234837155, 453426236, 850443774]","['Avenida 20 de Noviembre', 'Calle General Benítez', 'Puente Francisco Villa']",tertiary,False,False,223.43099999999998,,"LINESTRING (-105.6639713 26.9325057, -105.6642334 26.9322073, -105.6645626 26.9318685, -105.6653842 26.9309407)",yes
234837157,Calle Nicolás Romero,residential,True,False,45.684,,"LINESTRING (-105.66486 26.9330966, -105.6651333 26.9327658)",
235227528,Calle Vasco de Quiroga,residential,True,False,77.19,,"LINESTRING (-105.6655135 26.9323028, -105.6662554 26.9325135)",
"[757055333, 234837157, 234837158]","['Mena', 'Calle Nicolás Romero']",residential,True,False,63.855999999999995,,"LINESTRING (-105.6651333 26.9327658, -105.665166 26.9327182, -105.6654642 26.9323713, -105.6655135 26.9323028)",yes
234837159,Calle Paseo Manuel Gómez Morín,residential,True,False,334.756,,"LINESTRING (-105.6651333 26.9327658, -105.6661968 26.9330811, -105.6666112 26.9331959, -105.6668087 26.9332452, -105.6670524 26.9332892, -105.6672207 26.9332969, -105.66733 26.9332958, -105.6675453 26.9332635, -105.6677062 26.9332215, -105.6677417 26.9332094, -105.6678204 26.9331787, -105.6679557 26.9331056, -105.6683011 26.9328888)",
