osmid,lanes,name,highway,maxspeed,width,oneway,reversed,length,geometry
372607115,2,Calle 27,secondary,40,5,False,False,166.068,"LINESTRING (-89.3922131 20.3862468, -89.3906928 20.3858)"
372607115,2,Calle 27,secondary,40,5,False,True,196.031,"LINESTRING (-89.3922131 20.3862468, -89.3939871 20.3868323)"
477964332,,Calle 26,tertiary,,,False,False,165.637,"LINESTRING (-89.3922131 20.3862468, -89.3917551 20.3876732)"
477964332,,Calle 26,tertiary,,,False,True,168.384,"LINESTRING (-89.3922131 20.3862468, -89.3927431 20.3848163)"
208720523,,Calle 21,residential,,,False,False,181.807,"LINESTRING (-89.3923727 20.3911879, -89.3907198 20.3906655)"
208720523,,Calle 21,residential,,,False,True,175.809,"LINESTRING (-89.3923727 20.3911879, -89.3939497 20.391749)"
208720531,,Calle 28,residential,,,False,True,166.951,"LINESTRING (-89.3923727 20.3911879, -89.3929289 20.3897799)"
213181796,,Calle 25,residential,,,False,True,166.202,"LINESTRING (-89.3917551 20.3876732, -89.3902584 20.3871576)"
477964332,,Calle 26,tertiary,,,False,True,165.637,"LINESTRING (-89.3917551 20.3876732, -89.3922131 20.3862468)"
477964332,,Calle 26,tertiary,,,False,False,59.666,"LINESTRING (-89.3917551 20.3876732, -89.3917426 20.38769, -89.3915573 20.388176)"
562032799,,Calle 25,residential,,,False,False,197.6,"LINESTRING (-89.3917551 20.3876732, -89.3929678 20.3878928, -89.3931914 20.3881244, -89.3933329 20.3882435, -89.3934663 20.3882739)"
208720531,,Calle 28,residential,,,False,False,90.792,"LINESTRING (-89.3939871 20.3868323, -89.3937025 20.387604)"
208720531,,Calle 28,residential,,,False,True,171.043,"LINESTRING (-89.3939871 20.3868323, -89.3945205 20.3853776)"
372607115,2,Calle 27,secondary,40,5,False,False,196.031,"LINESTRING (-89.3939871 20.3868323, -89.3922131 20.3862468)"
372607115,2,Calle 27,secondary,40,5,False,True,128.16699999999997,"LINESTRING (-89.3939871 20.3868323, -89.3947385 20.3871018, -89.3949367 20.387213, -89.3951211 20.3872699)"
208720509,,Calle 29,residential,,,False,True,169.035,"LINESTRING (-89.3881475 20.3834391, -89.3896871 20.3839167)"
686726393,,Calle 20,residential,,,False,True,161.222,"LINESTRING (-89.3881475 20.3834391, -89.3876824 20.3848219)"
208720523,,Calle 21,residential,,,False,False,156.52,"LINESTRING (-89.3907198 20.3906655, -89.3893008 20.3902048)"
208720523,,Calle 21,residential,,,False,True,181.807,"LINESTRING (-89.3907198 20.3906655, -89.3923727 20.3911879)"
477964332,,Calle 26,tertiary,,,False,True,174.488,"LINESTRING (-89.3907198 20.3906655, -89.391208 20.3891645)"
208720509,,Calle 29,residential,,,False,False,148.622,"LINESTRING (-89.3958803 20.3857798, -89.3945205 20.3853776)"
208720534,,Calle 30,residential,,,False,False,171.741,"LINESTRING (-89.3958803 20.3857798, -89.3953553 20.3872438)"
208720534,,Calle 30,residential,,,False,True,178.577,"LINESTRING (-89.3958803 20.3857798, -89.3960573 20.3852314, -89.3963637 20.3842391)"
208720523,,Calle 21,residential,,,False,False,175.809,"LINESTRING (-89.3939497 20.391749, -89.3923727 20.3911879)"
208720534,,Calle 30,residential,,,False,True,168.477,"LINESTRING (-89.3939497 20.391749, -89.3943826 20.3902892)"
208720509,,Calle 29,residential,,,False,False,166.731,"LINESTRING (-89.3927431 20.3848163, -89.3912213 20.3843543)"
208720509,,Calle 29,residential,,,False,True,195.492,"LINESTRING (-89.3927431 20.3848163, -89.3945205 20.3853776)"
477964332,,Calle 26,tertiary,,,False,False,168.384,"LINESTRING (-89.3927431 20.3848163, -89.3922131 20.3862468)"
