osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,width,junction
405876357,False,Calle Plazuela de la Garita,residential,False,63.765,"LINESTRING (-99.6023519 18.5603609, -99.6023016 18.5604582, -99.6022533 18.5605904, -99.6022037 18.5606768, -99.602142 18.5607544, -99.6020803 18.5608701)",,,,,
"[876277867, 876243478]",True,Calle Benito Juárez,tertiary,False,34.786,"LINESTRING (-99.6023519 18.5603609, -99.6024484 18.5602942, -99.6025215 18.5602509, -99.602604 18.560228, -99.6026422 18.5602242)",,,,,
"[405876358, 876240342]",False,Callejón Escobar,residential,False,112.64200000000002,"LINESTRING (-99.6026422 18.5602242, -99.6026508 18.5602861, -99.6026638 18.5603133, -99.6026937 18.5603426, -99.6027908 18.5604323, -99.6028298 18.5604501, -99.6030377 18.5604806, -99.6032297 18.5605118, -99.603498 18.5606128, -99.6035535 18.5606116)",,,,,
876277867,True,Calle Benito Juárez,tertiary,False,97.88499999999999,"LINESTRING (-99.6026422 18.5602242, -99.6027723 18.5602052, -99.6030164 18.5601861, -99.6031384 18.5601874, -99.6031887 18.5601855, -99.603235 18.5601537, -99.6032652 18.5601117, -99.603302 18.5600087, -99.603349 18.5598695)",,,,,
876275491,False,Cerrada Primera de Altillo,residential,False,11.232,"LINESTRING (-99.6029684 18.5594959, -99.6028737 18.5595422)",,,,,
876268716,True,Calle Benito Juárez,tertiary,False,40.346,"LINESTRING (-99.6029684 18.5594959, -99.6029037 18.5593661, -99.6028554 18.559265, -99.6028575 18.5592281, -99.6028622 18.5591569)",,,,,
876268716,True,Calle Benito Juárez,tertiary,False,76.027,"LINESTRING (-99.6028622 18.5591569, -99.6028776 18.5590756, -99.6028917 18.5590552, -99.6029138 18.5590336, -99.603058 18.5589738, -99.6031183 18.5589637, -99.6032524 18.5589777, -99.603467 18.5590355)",,,,,
876275492,False,,residential,False,33.629,"LINESTRING (-99.6028622 18.5591569, -99.6027958 18.5591505, -99.6026923 18.5591175, -99.6025662 18.5590534)",,,,,
33498428,True,Calle Benito Juárez,tertiary,False,13.57,"LINESTRING (-99.6042428 18.5581621, -99.6043709 18.5581742)",,,,,
257798923,False,Calle Estacadas,residential,True,87.98500000000001,"LINESTRING (-99.6042428 18.5581621, -99.6039875 18.5580671, -99.6035925 18.557976, -99.6034388 18.557969)",,,,,
405873722,False,Calle Matanzas,residential,False,24.959,"LINESTRING (-99.6045275 18.5573072, -99.6045176 18.5572117, -99.6045168 18.5570832)",,,,,
"[876542765, 876280414]",True,"['Calle Benito Juárez', 'Calle Plazuela de Bernal']",tertiary,False,71.827,"LINESTRING (-99.6045275 18.5573072, -99.6046329 18.557288, -99.6049089 18.5572977, -99.6050333 18.5572676, -99.6051065 18.5571227)",,,,,
874064224,False,Calle la Catarina,residential,True,11.219,"LINESTRING (-99.6013521 18.557309, -99.6012622 18.557255)",,,,,
257798927,False,Calle la Catarina,residential,True,51.225,"LINESTRING (-99.6013521 18.557309, -99.6013333 18.5574374, -99.6013118 18.557623, -99.6012936 18.5577663)",,,,,
874056827,False,Calle de la Ciénega,residential,False,68.868,"LINESTRING (-99.6013521 18.557309, -99.6018443 18.5573573, -99.6020025 18.5573484)",,,,,
257798924,False,Avenida de los Plateros,primary,False,11.458,"LINESTRING (-99.6014721 18.5590196, -99.6015743 18.5589845)",MEX 95,,,,
