osmid,name,highway,oneway,reversed,length,ref,geometry,bridge,maxspeed
32718324,Calle 5 Poniente,residential,False,True,10.585,,"LINESTRING (-97.9109502 19.2018434, -97.9108657 19.2017915)",,
32718370,5 Sur,primary,False,True,151.41199999999998,MEX 136,"LINESTRING (-97.9109502 19.2018434, -97.911091 19.2016521, -97.9112493 19.2015204, -97.9120445 19.2009727)",,
844367955,Calle 5 Sur,primary,False,False,114.66799999999999,MEX 136,"LINESTRING (-97.9109502 19.2018434, -97.9108737 19.2020473, -97.9108241 19.2023057, -97.9107825 19.2028566)",,
32543273,Calle 12 Poniente,residential,False,False,129.159,,"LINESTRING (-97.9124187 19.2090926, -97.9111889 19.2091154)",,
32543273,Calle 12 Poniente,residential,False,True,21.027,,"LINESTRING (-97.9124187 19.2090926, -97.9126185 19.20908)",,
845415684,,residential,False,False,63.031,,"LINESTRING (-97.9124187 19.2090926, -97.9123878 19.2085265)",,
32718309,Calle 8 Oriente,residential,False,True,150.122,,"LINESTRING (-97.9040837 19.2091319, -97.9055133 19.209118)",,
844392494,Calle 6 Norte,residential,False,True,237.097,,"LINESTRING (-97.9040837 19.2091319, -97.9040194 19.2070005)",,
27879665,Calle 4 Poniente,unclassified,False,False,49.385,,"LINESTRING (-97.9110682 19.2064521, -97.9115 19.2066281)",,
27879665,Calle 4 Poniente,unclassified,False,True,78.038,,"LINESTRING (-97.9110682 19.2064521, -97.9103977 19.2061494)",,
32718297,Calle 7 Norte,residential,False,True,181.571,,"LINESTRING (-97.9110682 19.2064521, -97.9111473 19.2080833)",,
844390799,Calle 5 de Mayo,residential,False,True,35.187,,"LINESTRING (-97.9080977 19.2051172, -97.9080199 19.205425)",,
844390799,Calle 5 de Mayo,residential,False,False,60.691,,"LINESTRING (-97.9080977 19.2051172, -97.9081137 19.2050451, -97.9081312 19.2049798, -97.9082385 19.2045879)",,
941423145,Calle 4 Poniente,residential,False,False,148.175,,"LINESTRING (-97.9080977 19.2051172, -97.9084215 19.2052648, -97.9093757 19.2056821)",,
844363168,Calle 3 Poniente,residential,False,False,86.037,,"LINESTRING (-97.9115725 19.2030618, -97.9107825 19.2028566)",,
"[844372272, 32718351, 844372271]",Calle 7 Sur,residential,False,True,220.437,,"LINESTRING (-97.9115725 19.2030618, -97.911554 19.2039961, -97.9115577 19.2041788, -97.9115362 19.2050438)",yes,
375662226,Calle 3 Oriente,residential,False,True,144.011,,"LINESTRING (-97.9088031 19.2032391, -97.9074888 19.2028692)",,
844390044,Calle Independencia,residential,False,False,100.103,,"LINESTRING (-97.9088031 19.2032391, -97.9090371 19.2023664)",,
"[844390044, 844390045, 32543303]",Calle Independencia,residential,False,True,160.71800000000002,,"LINESTRING (-97.9088031 19.2032391, -97.9087428 19.2034353, -97.9087025 19.2035911, -97.908437 19.2046423)",yes,
32543343,Calle Adolfo López Mateos,residential,False,True,21.704,,"LINESTRING (-97.9082385 19.2045879, -97.908437 19.2046423)",,
32718286,Calle Benito Juárez,residential,False,True,100.239,,"LINESTRING (-97.9082385 19.2045879, -97.907346 19.2042681)",,
844390799,Calle 5 de Mayo,residential,False,True,60.691,,"LINESTRING (-97.9082385 19.2045879, -97.9081312 19.2049798, -97.9081137 19.2050451, -97.9080977 19.2051172)",,
32543343,Calle Adolfo López Mateos,residential,False,False,21.704,,"LINESTRING (-97.908437 19.2046423, -97.9082385 19.2045879)",,
"[844390044, 844390045, 32543303]",Calle Independencia,residential,False,False,160.71800000000002,,"LINESTRING (-97.908437 19.2046423, -97.9087025 19.2035911, -97.9087428 19.2034353, -97.9088031 19.2032391)",yes,
32543343,Calle Adolfo López Mateos,residential,False,True,125.423,,"LINESTRING (-97.908437 19.2046423, -97.9085179 19.2047135, -97.9085851 19.204769, -97.9086368 19.2048519, -97.9087052 19.2048867, -97.9095112 19.2050007)",,
32718333,Calle 6 Norte,residential,False,False,38.539,,"LINESTRING (-97.90425 19.2050311, -97.9042098 19.2053756)",,
32718333,Calle 6 Norte,residential,False,True,116.796,,"LINESTRING (-97.90425 19.2050311, -97.9043761 19.2039875)",,
"[32543316, 844392502, 844392503]",Calle 2 Oriente,residential,False,False,188.088,,"LINESTRING (-97.90425 19.2050311, -97.905048 19.2049615, -97.9052612 19.205002, -97.9054033 19.2050564, -97.9060096 19.2051742)",yes,
32718307,Calle 8 Poniente,residential,False,True,130.792,,"LINESTRING (-97.9102756 19.2074513, -97.9091048 19.2070499)",,
32718371,Calle 5 Norte,primary,False,False,84.684,MEX 136,"LINESTRING (-97.9102756 19.2074513, -97.9102501 19.2082125)",,
32718371,Calle 5 Norte,primary,False,True,102.749,MEX 136,"LINESTRING (-97.9102756 19.2074513, -97.9103588 19.2065306)",,
32543318,Calle 6 Oriente,residential,False,False,108.194,,"LINESTRING (-97.9058003 19.2068726, -97.9067619 19.2072221)",,
32718330,Calle 4 Norte,residential,False,False,251.49,,"LINESTRING (-97.9058003 19.2068726, -97.9055133 19.209118)",,
32718330,Calle 4 Norte,residential,False,True,104.498,,"LINESTRING (-97.9058003 19.2068726, -97.9059264 19.2059404)",,
32543318,Calle 6 Oriente,residential,False,True,187.589,,"LINESTRING (-97.9058003 19.2068726, -97.9049102 19.2069182, -97.9040194 19.2070005)",,
32718308,Calle 10 Poniente,residential,False,True,142.996,,"LINESTRING (-97.9102206 19.2084708, -97.9089493 19.2080098)",,
32718371,Calle 5 Norte,primary,False,False,73.87,MEX 136,"LINESTRING (-97.9102206 19.2084708, -97.910167 19.2091332)",,
32718371,Calle 5 Norte,primary,False,True,28.888,MEX 136,"LINESTRING (-97.9102206 19.2084708, -97.9102501 19.2082125)",,
32718328,Calle 2 Sur,residential,False,True,100.612,,"LINESTRING (-97.907804 19.2011012, -97.9076336 19.2019916)",,
375662211,Calle 7 Oriente,residential,False,False,168.763,,"LINESTRING (-97.907804 19.2011012, -97.909365 19.2014622)",,
375662211,Calle 7 Oriente,residential,False,True,130.344,,"LINESTRING (-97.907804 19.2011012, -97.906597 19.2008277)",,
27879665,Calle 4 Poniente,unclassified,False,True,49.385,,"LINESTRING (-97.9115 19.2066281, -97.9110682 19.2064521)",,
32718299,Calle 7 Norte,residential,False,False,92.663,,"LINESTRING (-97.9115 19.2066281, -97.9115081 19.2057948)",,
