osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,tunnel
70237137,True,2,MEX 57,Calle Abasolo,primary,False,92.959,"LINESTRING (-100.5186749 28.7058394, -100.5196278 28.7058204)",,
124299063,True,,,Calle Cuauhtémoc,residential,False,52.756,"LINESTRING (-100.5186749 28.7058394, -100.5186327 28.7053664)",,
124298914,True,,,Calle Zaragoza,residential,False,62.082,"LINESTRING (-100.5146523 28.7059757, -100.5146201 28.7054181)",,
70237137,True,2,MEX 57,Calle Abasolo,primary,False,98.757,"LINESTRING (-100.5146523 28.7059757, -100.51519 28.7059216, -100.5156583 28.7058745)",,
"[70237137, 780250626, 780250627]",True,2,MEX 57,Calle Abasolo,primary,False,116.35500000000002,"LINESTRING (-100.5125405 28.7054689, -100.5126461 28.705501, -100.512714 28.7055189, -100.5127828 28.7055442, -100.5128461 28.7055767, -100.5130166 28.7056825, -100.5130405 28.7056973, -100.5130733 28.7057308, -100.5133092 28.7059719, -100.5133876 28.706015, -100.5134926 28.7060645)",,
853748334,False,,,Calle Anáhuac,residential,True,87.747,"LINESTRING (-100.5207563 28.701961, -100.5204613 28.7012155)",,
162467696,True,,,Calle Allende,tertiary,False,56.69,"LINESTRING (-100.5207563 28.701961, -100.5206202 28.702008, -100.5204807 28.7020398, -100.5201951 28.702088)",,
777958438,False,,,Avenida Emiliano Carranza,secondary,False,104.78,"LINESTRING (-100.5207563 28.701961, -100.5208711 28.7019019, -100.5210759 28.701776, -100.5213493 28.7016079, -100.5215355 28.7014934, -100.5216441 28.701431)",60,
945282191,False,,,Calle Anáhuac,secondary,True,78.773,"LINESTRING (-100.5207563 28.701961, -100.5208986 28.7022188, -100.5211083 28.7025986)",,
124299063,True,,,Calle Cuauhtémoc,residential,False,96.152,"LINESTRING (-100.5183625 28.7022437, -100.518275 28.7013824)",,
162467696,True,,,Calle Allende,tertiary,False,95.427,"LINESTRING (-100.5183625 28.7022437, -100.517388 28.7023204)",,
124298789,True,1,MEX 57,Calle Ignácio Matamoros,primary,False,100.734,"LINESTRING (-100.5145799 28.7045794, -100.5135482 28.7046221)",,
124298914,True,,,Calle Zaragoza,residential,False,107.033,"LINESTRING (-100.5145799 28.7045794, -100.5144967 28.7036196)",,
124298792,True,,,Calle Victoria,residential,False,94.052,"LINESTRING (-100.5201951 28.702088, -100.5200278 28.701255)",,
162467696,True,,,Calle Allende,tertiary,False,51.963,"LINESTRING (-100.5201951 28.702088, -100.519665 28.7021348)",,
762914939,True,1,MEX 57,Calle Ignácio Matamoros,primary,False,24.902,"LINESTRING (-100.5135482 28.7046221, -100.5134084 28.7048095)",,
"[777688672, 124298936]",True,1,MEX 57,"['Calle Ignácio Matamoros', 'Calle Ocampo']",residential,False,164.609,"LINESTRING (-100.5135482 28.7046221, -100.5129752 28.7046306, -100.5129559 28.7046267, -100.5129474 28.7046121, -100.512908 28.7036688)",,
354218244,False,,,Avenida Emiliano Carranza,secondary,False,9.171,"LINESTRING (-100.5216441 28.701431, -100.5217199 28.7013822)",60,
777958438,False,,,Avenida Emiliano Carranza,secondary,True,104.78,"LINESTRING (-100.5216441 28.701431, -100.5215355 28.7014934, -100.5213493 28.7016079, -100.5210759 28.701776, -100.5208711 28.7019019, -100.5207563 28.701961)",60,
124298789,True,1,MEX 57,Calle Ignácio Matamoros,primary,False,112.456,"LINESTRING (-100.5206769 28.7044218, -100.5195244 28.7044528)",,
124298792,True,,,Calle Victoria,residential,False,114.52,"LINESTRING (-100.5206769 28.7044218, -100.5204432 28.7034125)",,
124298789,True,1,MEX 57,Calle Ignácio Matamoros,primary,False,96.151,"LINESTRING (-100.5185567 28.7044787, -100.5175712 28.7045022)",,
124299063,True,,,Calle Cuauhtémoc,residential,False,112.756,"LINESTRING (-100.5185567 28.7044787, -100.5184688 28.7034676)",,
124298792,True,,,Calle Victoria,residential,False,55.008,"LINESTRING (-100.5209742 28.7058098, -100.5208911 28.7053205)",,
28821174,True,,,Calle Allende,residential,False,54.575,"LINESTRING (-100.5134493 28.7026573, -100.5128901 28.702675)",,
124298935,True,,,Calle Manuel Hidalgo,residential,False,85.058,"LINESTRING (-100.5134493 28.7026573, -100.5135217 28.7034196)",,
945277083,False,,,Calle Rayón,residential,False,45.932,"LINESTRING (-100.5128459 28.7009152, -100.512375 28.7009104)",,
124298935,True,,,Calle Manuel Hidalgo,residential,False,100.31,"LINESTRING (-100.5133984 28.7017563, -100.5134493 28.7026573)",,
124299060,True,,,Calle Guerrero,residential,False,98.815,"LINESTRING (-100.5133984 28.7017563, -100.5144095 28.7016998)",,
945282191,False,,,Calle Anáhuac,secondary,False,34.126,"LINESTRING (-100.5214343 28.7033502, -100.521339 28.7030549)",,
945282191,False,,,Calle Anáhuac,secondary,True,39.492,"LINESTRING (-100.5214343 28.7033502, -100.5215341 28.7036944)",,
