osmid,name,highway,oneway,reversed,length,lanes,geometry,maxspeed
692946231,Calle Cuauhtémoc,residential,False,True,77.54,,"LINESTRING (-99.5798525 19.3109791, -99.5798785 19.311676)",
771966632,Vicente Lombardo Toledano,secondary,False,False,89.035,2,"LINESTRING (-99.5798525 19.3109791, -99.5793781 19.3111775, -99.5790777 19.3113054)",
841433081,Vicente Lombardo Toledano,secondary,False,False,41.623,2,"LINESTRING (-99.5757692 19.3125811, -99.5753728 19.3125679)",
771966632,Vicente Lombardo Toledano,secondary,False,True,145.168,2,"LINESTRING (-99.5757692 19.3125811, -99.5760414 19.3123634, -99.5762694 19.312204, -99.5765188 19.3120458, -99.5766382 19.3119812, -99.5767871 19.3119319, -99.5769313 19.3119055)",
825449050,Calle Independencia,residential,False,True,74.751,,"LINESTRING (-99.5757692 19.3125811, -99.5760602 19.3125913, -99.5764813 19.3125862)",
53934753,Calle Francisco I. Madero,tertiary,False,True,45.76,2,"LINESTRING (-99.5773368 19.3147042, -99.5777148 19.3149094)",50
771959681,Privada Segunda Francisco I. Madero,residential,False,False,7.514,,"LINESTRING (-99.5773368 19.3147042, -99.5773906 19.3146596)",
53934753,Calle Francisco I. Madero,tertiary,False,False,228.373,2,"LINESTRING (-99.5773368 19.3147042, -99.5769293 19.3144973, -99.5768977 19.3144821, -99.5760897 19.3140936, -99.5758979 19.3139961, -99.5758134 19.3139569, -99.5756981 19.3139138, -99.5756552 19.3139018, -99.5755807 19.3138923, -99.5753655 19.313886)",50
771966632,Vicente Lombardo Toledano,secondary,False,True,12.561,2,"LINESTRING (-99.5769313 19.3119055, -99.577051 19.3119055)",
771969360,Calle 5 de Mayo,residential,False,True,33.727,,"LINESTRING (-99.5769313 19.3119055, -99.5769341 19.3116022)",
771966632,Vicente Lombardo Toledano,secondary,False,False,145.16799999999998,2,"LINESTRING (-99.5769313 19.3119055, -99.5767871 19.3119319, -99.5766382 19.3119812, -99.5765188 19.3120458, -99.5762694 19.312204, -99.5760414 19.3123634, -99.5757692 19.3125811)",
771993881,Calle Felipe Chávez,residential,False,False,33.083,,"LINESTRING (-99.5725706 19.309136, -99.5728858 19.3091306)",
840645190,Calle Felipe Chávez,residential,False,True,89.503,,"LINESTRING (-99.5725706 19.309136, -99.5717178 19.3091239)",
825452766,Calle Agustín Millán,secondary,True,False,88.144,2,"LINESTRING (-99.5725425 19.3138265, -99.573382 19.3138531)",
771981657,Avenida Miguel Hidalgo Sur,tertiary,False,True,129.219,2,"LINESTRING (-99.5725425 19.3138265, -99.5725277 19.3143745, -99.5725237 19.3149884)",
912978690,Avenida Miguel Hidalgo Sur,tertiary,True,False,105.792,2,"LINESTRING (-99.5725425 19.3138265, -99.5725518 19.3134114, -99.572564 19.3128753)",
912978689,Avenida Miguel Hidalgo Sur,secondary,True,False,79.863,2,"LINESTRING (-99.5725733 19.3124961, -99.5725925 19.3117781)",
840645190,Calle Felipe Chávez,residential,False,False,55.179,,"LINESTRING (-99.5709116 19.3091043, -99.5714372 19.3091184)",
145080638,Cerrada Centenario,residential,False,False,29.101,,"LINESTRING (-99.5753025 19.3160894, -99.5752434 19.3163451)",
120484567,Calle Centenario,residential,False,False,76.879,2,"LINESTRING (-99.5753025 19.3160894, -99.575351 19.3162129, -99.5755571 19.3167377)",
120484567,Calle Centenario,residential,False,True,116.281,2,"LINESTRING (-99.5753025 19.3160894, -99.5752904 19.3160338, -99.5752823 19.3159635, -99.5752799 19.3158863, -99.575279 19.3158069, -99.5753145 19.315046)",
808811270,Vicente Lombardo Toledano,secondary,True,False,123.982,2,"LINESTRING (-99.5753728 19.3125679, -99.5741918 19.312536)",
841433081,Vicente Lombardo Toledano,secondary,False,True,41.623,2,"LINESTRING (-99.5753728 19.3125679, -99.5757692 19.3125811)",
843684013,Calle Centenario,secondary,False,False,80.554,2,"LINESTRING (-99.5753728 19.3125679, -99.5753647 19.3132923)",
843684014,Calle Centenario,residential,False,True,71.498,2,"LINESTRING (-99.5753728 19.3125679, -99.5753966 19.3119253)",
120484563,Calle 5 de Febrero,residential,False,False,148.853,,"LINESTRING (-99.5716957 19.3104624, -99.5717178 19.3091239)",
120484563,Calle 5 de Febrero,residential,False,True,92.983,,"LINESTRING (-99.5716957 19.3104624, -99.5716678 19.3112982)",
120484564,Calle Progreso,residential,False,True,91.499,,"LINESTRING (-99.5716957 19.3104624, -99.5725676 19.3104568)",
