osmid,oneway,lanes,name,highway,reversed,length,geometry,tunnel,access
103732347,True,2,Avenida Benito Juárez,secondary,False,37.634,"LINESTRING (-98.7407855 20.1202288, -98.7410786 20.1200318)",,
898578406,False,2,Calle Manuel Dublán,tertiary,False,82.824,"LINESTRING (-98.7394319 20.1184974, -98.7399005 20.1190984)",,
1190689964,False,2,Calle Manuel Dublán,tertiary,True,11.236,"LINESTRING (-98.7394319 20.1184974, -98.7393677 20.1184163)",,
1190689963,True,2,Avenida Revolución,secondary,False,75.591,"LINESTRING (-98.7394319 20.1184974, -98.7390249 20.1187876, -98.7388553 20.1189085)",,
28383669,False,2,Calle Manuel Dublán,tertiary,False,3.763,"LINESTRING (-98.7393464 20.118389, -98.7393677 20.1184163)",,
857605917,False,,Calle Rafaél Vega Sánchez,residential,True,146.531,"LINESTRING (-98.7393464 20.118389, -98.738519 20.1173246)",,
898578857,True,2,Avenida Revolución,secondary,False,75.083,"LINESTRING (-98.7393464 20.118389, -98.7389347 20.1186755, -98.7387676 20.1187897)",,
28383667,True,2,Avenida Revolución,secondary,False,244.98899999999998,"LINESTRING (-98.7456965 20.1155679, -98.7451666 20.1156048, -98.7450706 20.1156139, -98.7433549 20.1157062)",,
901375296,True,,Avenida 16 de Enero de 1869,residential,False,8.552,"LINESTRING (-98.7434403 20.1158105, -98.7433888 20.1157507)",,
901375298,True,2,Avenida Revolución,secondary,False,168.463,"LINESTRING (-98.7434403 20.1158105, -98.743304 20.1158383, -98.7432032 20.115877, -98.742102 20.1166345)",,
898594265,False,,,residential,True,11.778,"LINESTRING (-98.7428633 20.1159586, -98.7428028 20.1158692)",,
1190687506,True,2,Avenida Revolución,secondary,False,34.442,"LINESTRING (-98.7428633 20.1159586, -98.742595 20.1161388)",,
103732225,True,,Calle Notario Jesús Silva,residential,False,81.817,"LINESTRING (-98.7398013 20.1200851, -98.7393291 20.1194979)",,
850235906,True,2,Calle General Vicente Segura,tertiary,False,43.941,"LINESTRING (-98.7398013 20.1200851, -98.73947 20.1203288)",,
103732306,False,,Avenida General Felipe Ángeles,residential,False,75.018,"LINESTRING (-98.738519 20.1173246, -98.7379363 20.1177193)",,
103732306,False,,Avenida General Felipe Ángeles,residential,True,57.829,"LINESTRING (-98.738519 20.1173246, -98.7389606 20.1170107)",,
850531230,False,,Calle Rafaél Vega Sánchez,residential,True,174.445,"LINESTRING (-98.738519 20.1173246, -98.737556 20.1160426)",,
857605917,False,,Calle Rafaél Vega Sánchez,residential,False,146.531,"LINESTRING (-98.738519 20.1173246, -98.7393464 20.118389)",,
103732206,False,,Calle José María Lozano,residential,False,103.155,"LINESTRING (-98.7434346 20.1201401, -98.7442121 20.1195677)",,
103732365,False,,Calle 12 de Octubre de 1492,residential,False,55.488,"LINESTRING (-98.7434346 20.1201401, -98.743116 20.1197407)",,
103732365,False,,Calle 12 de Octubre de 1492,residential,True,45.955,"LINESTRING (-98.7434346 20.1201401, -98.743699 20.1204705)",,
103732225,True,,Calle Notario Jesús Silva,residential,False,176.396,"LINESTRING (-98.7379363 20.1177193, -98.7369511 20.1164306)",,
103732306,False,,Avenida General Felipe Ángeles,residential,False,49.731,"LINESTRING (-98.7379363 20.1177193, -98.737553 20.1179848)",,
103732306,False,,Avenida General Felipe Ángeles,residential,True,75.018,"LINESTRING (-98.7379363 20.1177193, -98.738519 20.1173246)",,
103732543,True,,Calle General Francisco de P Martel,residential,False,157.761,"LINESTRING (-98.7390057 20.1206554, -98.7381196 20.1195062)",,
850235906,True,2,Calle General Vicente Segura,tertiary,False,63.762,"LINESTRING (-98.7390057 20.1206554, -98.7385417 20.1209895, -98.73852 20.1210029)",,
