osmid,name,highway,oneway,reversed,length,geometry,bridge,ref,maxspeed,lanes
109361740,Алупкинское шоссе,secondary,False,False,150.78099999999998,"LINESTRING (34.0907582 44.4296624, 34.0910391 44.4296227, 34.0911106 44.4296156, 34.0913171 44.4295951, 34.0914499 44.429592, 34.0915314 44.4295901, 34.0917377 44.4295984, 34.0918132 44.4296014, 34.0920254 44.4296295, 34.092086 44.4296417, 34.0922363 44.4296718, 34.0924082 44.4297131, 34.0926154 44.4297636)",,,,
208279569,Юсуповский переулок,residential,False,False,43.80500000000001,"LINESTRING (34.0907582 44.4296624, 34.0907126 44.4297531, 34.0906896 44.429791, 34.0906615 44.4298238, 34.0906216 44.4298505, 34.0905589 44.4298739, 34.090513 44.4299038, 34.0904772 44.4299453, 34.0904611 44.4299785)",,,,
35537481,Парковый спуск,residential,False,False,88.841,"LINESTRING (34.0962569 44.4306012, 34.0959538 44.4305249, 34.0956374 44.4304398, 34.0955498 44.4304017, 34.095466 44.4303552, 34.0953854 44.4302987, 34.0953275 44.4302429, 34.0953087 44.4302173)",,,,
"[35537484, 35537485, 109361740]",Алупкинское шоссе,secondary,False,True,354.15900000000005,"LINESTRING (34.0962569 44.4306012, 34.0961935 44.4305617, 34.0961068 44.4305143, 34.0960148 44.4304796, 34.0959244 44.4304496, 34.0958346 44.4304182, 34.0957524 44.4303831, 34.0956509 44.4303382, 34.0955516 44.4302766, 34.0954417 44.4301937, 34.0951795 44.4299732, 34.0950275 44.4299116, 34.0944529 44.4297916, 34.0943136 44.4297748, 34.0941765 44.4297753, 34.0940698 44.4297804, 34.0939547 44.4298035, 34.0938543 44.4298474, 34.0937554 44.4299042, 34.0936726 44.4299628, 34.0935791 44.4300449, 34.0935112 44.4300922, 34.0934614 44.4301218, 34.0934064 44.4301385, 34.0933588 44.4301527, 34.0932957 44.4301596, 34.0932014 44.4301616, 34.0931439 44.430153, 34.0930876 44.4301305, 34.0930374 44.4300934, 34.092987 44.4300415, 34.0929307 44.4299847, 34.0928787 44.429926, 34.092814 44.4298567, 34.0927192 44.4298003, 34.0926154 44.4297636)",yes,,,
35536999,Севастопольское шоссе,secondary,False,False,91.54799999999999,"LINESTRING (34.091914 44.4342312, 34.0920158 44.4343206, 34.0920655 44.4343938, 34.0920852 44.4344622, 34.0920695 44.4345353, 34.0920024 44.4346328, 34.091827 44.4348304, 34.0917634 44.4348928, 34.0917347 44.4349315, 34.0917286 44.4349504)",,35К-022,60,
35536999,Севастопольское шоссе,secondary,False,True,400.20799999999997,"LINESTRING (34.091914 44.4342312, 34.0918084 44.4341428, 34.0916693 44.434044, 34.0915913 44.4339968, 34.0914884 44.4339386, 34.0913542 44.4338611, 34.0910579 44.4337212, 34.0908672 44.4336563, 34.0906707 44.4336226, 34.0904488 44.433617, 34.090138 44.4336322, 34.0898871 44.4336193, 34.0894983 44.4335517, 34.0891747 44.4334638, 34.0888466 44.433409, 34.0881335 44.4333455, 34.0877408 44.4333109, 34.0873767 44.433271, 34.0872221 44.4332578)",,35К-022,60,
266128322,улица Горемыкиных,residential,False,True,99.43000000000002,"LINESTRING (34.091914 44.4342312, 34.0917403 44.4343302, 34.0916608 44.4343432, 34.0916154 44.43434, 34.0915405 44.4343302, 34.0913906 44.4343367, 34.0912203 44.4343416, 34.0911272 44.4343513, 34.091 44.4343838, 34.0909318 44.4344065, 34.090866 44.4344421, 34.090841 44.4344682, 34.0908257 44.4345205)",,,,
"[35537000, 35537001, 35536999]",Севастопольское шоссе,secondary,False,False,107.456,"LINESTRING (34.0917286 44.4349504, 34.0917348 44.4349724, 34.0917503 44.4349917, 34.0919292 44.4351033, 34.0919726 44.4351186, 34.0920204 44.4351241, 34.0920738 44.4351211, 34.09216 44.4350953, 34.0922369 44.435071, 34.0923229 44.4350535, 34.0923991 44.4350629, 34.0924818 44.4350951, 34.0925726 44.4351559, 34.0926516 44.4352411, 34.0927567 44.4353262, 34.0927809 44.435347)",yes,35К-022,"['60', '50']",2
35536999,Севастопольское шоссе,secondary,False,True,91.54799999999999,"LINESTRING (34.0917286 44.4349504, 34.0917347 44.4349315, 34.0917634 44.4348928, 34.091827 44.4348304, 34.0920024 44.4346328, 34.0920695 44.4345353, 34.0920852 44.4344622, 34.0920655 44.4343938, 34.0920158 44.4343206, 34.091914 44.4342312)",,35К-022,60,
323901079,Родниковая улица,residential,False,True,88.91999999999999,"LINESTRING (34.0917286 44.4349504, 34.0916409 44.435017, 34.0914191 44.4352072, 34.0913672 44.4352861, 34.0912802 44.4353993, 34.0912627 44.4354539, 34.0912863 44.4356416)",,,,
35537001,Севастопольское шоссе,secondary,False,False,232.95799999999997,"LINESTRING (34.093048 44.4354449, 34.0932927 44.4355044, 34.0935155 44.4355739, 34.0936586 44.4356396, 34.0937504 44.4357119, 34.0938391 44.4358071, 34.0939333 44.4358793, 34.0940908 44.4359585, 34.0949417 44.4360849, 34.0950569 44.4361193, 34.0951252 44.4361758, 34.0951655 44.4362567, 34.095168 44.4364772, 34.0951729 44.4365536)",,35К-022,60,
35537001,Севастопольское шоссе,secondary,False,True,24.505000000000003,"LINESTRING (34.093048 44.4354449, 34.0929034 44.4354106, 34.0928123 44.4353795, 34.0927809 44.435347)",,35К-022,60,
35537005,Родниковая улица,residential,False,False,221.352,"LINESTRING (34.093048 44.4354449, 34.0929837 44.4355362, 34.0929137 44.4356156, 34.0928194 44.4356819, 34.0927451 44.4357096, 34.0926582 44.4357158, 34.0925364 44.4357223, 34.0924073 44.4357485, 34.092326 44.4357773, 34.0922491 44.4358223, 34.0921702 44.4358908, 34.092096 44.4359636, 34.092045 44.4360032, 34.0920048 44.4360261, 34.0919459 44.4360407, 34.0918503 44.4360485, 34.0916724 44.4360436, 34.0915693 44.4360474, 34.0915367 44.4360495, 34.0915111 44.4360664, 34.0914782 44.4361396, 34.0914694 44.4362069, 34.0914896 44.4362953, 34.0915428 44.4364327, 34.0916052 44.4365644, 34.0916674 44.4366671)",,,,
"[35537001, 35537002, 35537003]",Севастопольское шоссе,secondary,False,True,250.55399999999997,"LINESTRING (34.098102 44.4368307, 34.0979136 44.4368314, 34.0977038 44.4368089, 34.0974745 44.4367549, 34.0973619 44.4367284, 34.0971686 44.4366829, 34.0965166 44.4365446, 34.0961551 44.436521, 34.0959298 44.4365313, 34.0955981 44.4366664, 34.0954792 44.4367025, 34.0954202 44.4367071, 34.0952442 44.436656, 34.0952089 44.4366241, 34.095187 44.4365893, 34.0951729 44.4365536)",yes,35К-022,60,
