osmid,name,highway,maxspeed,oneway,reversed,length,bridge,lanes,geometry,ref,width
"[37427192, 36792617, 37427193]",вулиця Грушевського,primary,50,False,False,90.63199999999999,yes,4,"LINESTRING (26.9816772 49.4172745, 26.9817561 49.417044, 26.9818941 49.4166407, 26.9819494 49.4164789)",,
36793315,вулиця Грушевського,tertiary,,False,False,122.638,,,"LINESTRING (26.9816772 49.4172745, 26.9816621 49.4173591, 26.9816567 49.4174444, 26.9816569 49.4175156, 26.9816958 49.4178423, 26.9817774 49.4182865, 26.9817834 49.4183192, 26.9817935 49.418372)",,
37352252,вулиця Скоблі,primary,,False,False,247.533,,2,"LINESTRING (26.9816772 49.4172745, 26.9819944 49.4173178, 26.9849577 49.4177227, 26.9850256 49.4177334)",,
"[36792618, 1064021435]",вулиця Святослава Хороброго,primary,,False,False,198.673,,4,"LINESTRING (26.9819494 49.4164789, 26.9797372 49.4161541, 26.9792662 49.4160989)",,
"[37427192, 37427193, 36792617]",вулиця Грушевського,primary,50,False,True,90.63199999999999,yes,4,"LINESTRING (26.9819494 49.4164789, 26.9818941 49.4166407, 26.9817561 49.417044, 26.9816772 49.4172745)",,
104110819,Володимирська вулиця,residential,50,True,False,178.46300000000002,,,"LINESTRING (26.9823015 49.4201936, 26.9821561 49.4202143, 26.9813288 49.4203324, 26.9809044 49.4203894, 26.9808611 49.4203954, 26.9799908 49.4205002, 26.9798841 49.4205137)",,
1071834439,вулиця Грушевського,tertiary,,True,False,213.03799999999998,,,"LINESTRING (26.9823015 49.4201936, 26.9823312 49.4202913, 26.9825532 49.4211151, 26.9826423 49.4214456, 26.9827159 49.4217189, 26.982782 49.4219696, 26.9828253 49.4220786)",,
39450860,вулиця Героїв Майдану,tertiary,50,False,False,178.51,,3,"LINESTRING (26.9828253 49.4220786, 26.9826835 49.4221177, 26.9822333 49.4221724, 26.9816392 49.4222405, 26.9815276 49.4222533, 26.9810692 49.4223059, 26.9805311 49.4223688, 26.9804059 49.4223835)",,
1074125704,вулиця Героїв Майдану,tertiary,50,False,True,183.46099999999998,,,"LINESTRING (26.9828253 49.4220786, 26.9829543 49.4220111, 26.9844783 49.4212137, 26.9847226 49.4210859, 26.9848017 49.4210445)",,
37352253,вулиця Скоблі,tertiary,50,True,False,128.443,,2,"LINESTRING (26.9799104 49.4171595, 26.9804174 49.4171925, 26.9810959 49.4172367, 26.9814003 49.4172565, 26.9816772 49.4172745)",,
37427187,провулок Скоблі,residential,,False,True,155.673,,,"LINESTRING (26.9799104 49.4171595, 26.9799089 49.4172329, 26.9802158 49.418488, 26.9802285 49.4185431)",,
37352253,вулиця Скоблі,tertiary,50,True,False,165.048,,2,"LINESTRING (26.9776401 49.4170118, 26.9779144 49.4170297, 26.9784989 49.4170677, 26.9799104 49.4171595)",,
37427188,Воєнкоматський провулок,residential,,False,True,92.75200000000001,,,"LINESTRING (26.9776401 49.4170118, 26.977653 49.4170688, 26.9778111 49.417765, 26.9778274 49.417837)",,
"[1161095707, 37352269]",вулиця Святослава Хороброго,primary,50,True,False,91.07300000000001,,2,"LINESTRING (26.9739041 49.4157813, 26.9746913 49.4155662, 26.9750739 49.4154795)",,
"[1097027940, 37352271]",вулиця Святослава Хороброго,primary,,False,False,94.518,,4,"LINESTRING (26.9739041 49.4157813, 26.9728811 49.4160362, 26.972686 49.4160887)",,
37352260,,primary_link,50,True,False,56.854000000000006,,1,"LINESTRING (26.9725004 49.4157264, 26.9724399 49.4157631, 26.9723942 49.4158042, 26.9723715 49.4158456, 26.972355 49.415896, 26.9723592 49.4159372, 26.9723751 49.4159628, 26.972406 49.4159915, 26.9724509 49.4160147, 26.9724906 49.41603, 26.972686 49.4160887)",,
37352261,,primary_link,50,False,False,75.794,,2,"LINESTRING (26.9725004 49.4157264, 26.9726441 49.4156756, 26.9728426 49.415611, 26.9730611 49.4155286, 26.9734156 49.415395)",,
