osmid,ref,highway,maxspeed,junction,oneway,reversed,length,geometry,lanes,name,tunnel
42485054,Н-10;Р-20,primary,50,roundabout,True,False,29.04,"LINESTRING (25.5455942 48.4556358, 25.5456105 48.4555714, 25.5456582 48.4555143, 25.5457317 48.4554708, 25.5458227 48.455446)",,,
341459079,Н-10,primary,50,,False,True,377.532,"LINESTRING (25.5510141 48.4536191, 25.5466115 48.4553517)",2,вулиця Тараса Шевченка,
341459079,Н-10,primary,50,,False,False,61.172000000000004,"LINESTRING (25.5510141 48.4536191, 25.5516055 48.4533961, 25.5517357 48.4533478)",2,вулиця Тараса Шевченка,
986058107,,residential,,,False,False,387.64000000000004,"LINESTRING (25.5510141 48.4536191, 25.5514741 48.4541777, 25.5515975 48.4542987, 25.551694 48.4543486, 25.551796 48.4543806, 25.5519462 48.4543806, 25.5520964 48.454345, 25.5523646 48.4542027, 25.5527026 48.4538112, 25.5528313 48.453708, 25.5530459 48.4535977, 25.5532551 48.4535194, 25.5533302 48.4535087, 25.5535448 48.4535087, 25.553577 48.4534767, 25.5535984 48.4534198, 25.5536145 48.4532561, 25.5536789 48.453096, 25.5536842 48.4530355, 25.5535555 48.4528255, 25.5533168 48.4525915)",,,
341459079,Н-10,primary,50,,False,False,56.492999999999995,"LINESTRING (25.5533168 48.4525915, 25.5537912 48.4523532, 25.5539267 48.4522841)",2,вулиця Тараса Шевченка,
341459079,Н-10,primary,50,,False,True,143.837,"LINESTRING (25.5533168 48.4525915, 25.5521494 48.4531716, 25.5517357 48.4533478)",2,вулиця Тараса Шевченка,
986058107,,residential,,,False,True,387.64,"LINESTRING (25.5533168 48.4525915, 25.5535555 48.4528255, 25.5536842 48.4530355, 25.5536789 48.453096, 25.5536145 48.4532561, 25.5535984 48.4534198, 25.553577 48.4534767, 25.5535448 48.4535087, 25.5533302 48.4535087, 25.5532551 48.4535194, 25.5530459 48.4535977, 25.5528313 48.453708, 25.5527026 48.4538112, 25.5523646 48.4542027, 25.5520964 48.454345, 25.5519462 48.4543806, 25.551796 48.4543806, 25.551694 48.4543486, 25.5515975 48.4542987, 25.5514741 48.4541777, 25.5510141 48.4536191)",,,
1144335123,Р-20,primary,50,,False,False,6.456,"LINESTRING (25.5455912 48.4561565, 25.5456322 48.4561052)",2,,
1144335123,Р-20,primary,50,,False,True,26.522,"LINESTRING (25.5455912 48.4561565, 25.545474 48.456382)",2,,
297121737,,primary_link,50,,True,False,53.863,"LINESTRING (25.5455912 48.4561565, 25.5456062 48.4560517, 25.5456034 48.4559708, 25.5455722 48.4559238, 25.5454906 48.4558847, 25.5453995 48.4558674, 25.5453146 48.4558593, 25.5452237 48.4558624)",,,
42485054,Н-10;Р-20,primary,50,roundabout,True,False,21.169,"LINESTRING (25.5459794 48.4558196, 25.5458849 48.4558295, 25.5457906 48.4558187, 25.5457066 48.4557883)",,,
297121731,Р-20,primary,50,,True,False,40.994,"LINESTRING (25.5459794 48.4558196, 25.5457877 48.4559483, 25.5456322 48.4561052)",,,
297121735,Р-20,primary,,,True,False,39.953,"LINESTRING (25.546171 48.4550692, 25.5461307 48.4552066, 25.5461109 48.4553457, 25.5461092 48.4554253)",,вулиця Воєводи Коснятина,
