osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,tunnel
205724832,Р-65,вулиця Терещенків,primary,50,False,False,261.659,"LINESTRING (33.9095949 51.6812091, 33.9098926 51.6788632)",
662366846,,Валова вулиця,residential,,False,False,106.112,"LINESTRING (33.9095949 51.6812091, 33.908057 51.6811718)",
28521582,О-190401,Київська вулиця,tertiary,,False,False,135.184,"LINESTRING (33.9100471 51.6776157, 33.9080934 51.6775138)",
160965901,Р-44,вулиця Терещенків,primary,50,False,True,82.642,"LINESTRING (33.9100471 51.6776157, 33.9099568 51.6783568)",
28521568,Р-44,вулиця Терещенків,primary,50,False,False,228.832,"LINESTRING (33.9100471 51.6776157, 33.9101491 51.6768501, 33.9101769 51.6766852, 33.9103223 51.6755649)",
28521449,Р-65,Поштовий провулок,primary,50,False,False,76.466,"LINESTRING (33.9099568 51.6783568, 33.9110633 51.6784031)",
160965901,Р-44,вулиця Терещенків,primary,50,False,False,82.642,"LINESTRING (33.9099568 51.6783568, 33.9100471 51.6776157)",
205724832,Р-65,вулиця Терещенків,primary,50,False,True,56.483,"LINESTRING (33.9099568 51.6783568, 33.9098926 51.6788632)",
28521449,Р-65,Поштовий провулок,primary,50,False,True,76.466,"LINESTRING (33.9110633 51.6784031, 33.9099568 51.6783568)",
28521608,,вулиця Спартака,residential,,False,False,60.447,"LINESTRING (33.9110633 51.6784031, 33.9110184 51.678946)",
"[28521449, 205724851]",Р-65,"['Поштовий провулок', 'площа Рудченка']",primary,50,False,False,168.60399999999998,"LINESTRING (33.9110633 51.6784031, 33.911564 51.678424, 33.912309 51.6784617, 33.9123722 51.6780323, 33.9124033 51.6778132, 33.9124237 51.6777236)",
28521518,Р-65,Київська вулиця,primary,50,False,False,69.212,"LINESTRING (33.9124237 51.6777236, 33.9126165 51.6777314, 33.9134258 51.6777597)",
"[28521449, 205724851]",Р-65,"['Поштовий провулок', 'площа Рудченка']",primary,50,False,True,168.60399999999998,"LINESTRING (33.9124237 51.6777236, 33.9124033 51.6778132, 33.9123722 51.6780323, 33.912309 51.6784617, 33.911564 51.678424, 33.9110633 51.6784031)",
205724852,,площа Рудченка,tertiary,,False,True,225.748,"LINESTRING (33.9124237 51.6777236, 33.9124395 51.6776271, 33.9126911 51.6757002)",
193629061,,вулиця Шевченка,residential,,False,False,232.271,"LINESTRING (33.9134258 51.6777597, 33.9132212 51.6798447)",
193629061,,вулиця Шевченка,residential,,False,True,224.124,"LINESTRING (33.9134258 51.6777597, 33.9136499 51.6757489)",
28521518,Р-65,Київська вулиця,primary,50,False,True,69.212,"LINESTRING (33.9134258 51.6777597, 33.9126165 51.6777314, 33.9124237 51.6777236)",
