osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,bridge,access
144829218,О-060510,майдан Рад,tertiary,False,True,141.161,"LINESTRING (28.6668979 50.4532451, 28.6664695 50.453449, 28.6650936 50.453758)",,,
169670279,М-21,Коростенська вулиця,trunk,False,True,187.481,"LINESTRING (28.6668979 50.4532451, 28.6671711 50.4535374, 28.6672661 50.45395, 28.6672706 50.4539694, 28.6674258 50.4547234, 28.6674666 50.4548486, 28.6674743 50.454869)",,,
172440131,М-21;О-060510,Володимирська вулиця,trunk,False,False,83.576,"LINESTRING (28.6668979 50.4532451, 28.6676311 50.4528961, 28.6678168 50.4527757)",2,,
304575551,,,residential,False,True,174.37099999999998,"LINESTRING (28.6668979 50.4532451, 28.6668239 50.4531698, 28.6667466 50.4530832, 28.6664308 50.452633, 28.665863 50.4518234)",,,
1258408059,,,residential,False,True,114.062,"LINESTRING (28.6658662 50.4524129, 28.6657363 50.4523993, 28.6654943 50.4524344, 28.6653199 50.4524854, 28.6648911 50.4526485, 28.6644761 50.4528683)",,,
186130750,,Театральна вулиця,residential,False,False,214.8,"LINESTRING (28.6666742 50.4554054, 28.6659432 50.4547105, 28.6650936 50.453758)",,,
1258408061,,,residential,False,False,83.283,"LINESTRING (28.6666742 50.4554054, 28.6670985 50.4550379, 28.6674743 50.454869)",,,
169670279,М-21,Коростенська вулиця,trunk,False,False,187.481,"LINESTRING (28.6674743 50.454869, 28.6674666 50.4548486, 28.6674258 50.4547234, 28.6672706 50.4539694, 28.6672661 50.45395, 28.6671711 50.4535374, 28.6668979 50.4532451)",,,
169670279,М-21,Коростенська вулиця,trunk,False,True,115.80099999999999,"LINESTRING (28.6674743 50.454869, 28.6675103 50.4549647, 28.6675743 50.4550453, 28.6676449 50.455104, 28.6677584 50.4551798, 28.66809 50.4553564, 28.66826 50.4554502, 28.6683986 50.4555534, 28.6685103 50.4556498)",,,
1258408061,,,residential,False,True,83.283,"LINESTRING (28.6674743 50.454869, 28.6670985 50.4550379, 28.6666742 50.4554054)",,,
