osmid,oneway,name,highway,reversed,length,geometry,maxspeed,ref
95855126,False,Поштова вулиця,residential,False,66.113,"LINESTRING (36.9361618 49.8625405, 36.9353066 49.8623178)",,
95855115,False,Поштовий провулок,residential,True,325.77000000000004,"LINESTRING (36.9361618 49.8625405, 36.9359648 49.8628005, 36.9348909 49.8653485)",,
95855126,False,Поштова вулиця,residential,True,216.49,"LINESTRING (36.9361618 49.8625405, 36.936442 49.8626774, 36.9382288 49.8637403, 36.9383739 49.8638614)",,
484203227,False,вулиця Захисників України,residential,False,182.883,"LINESTRING (36.9392631 49.8677557, 36.9386017 49.8693442)",,
484203227,False,вулиця Захисників України,residential,True,179.256,"LINESTRING (36.9392631 49.8677557, 36.9398669 49.8661913)",,
95855130,False,Богдана Хмельницького вулиця,residential,True,178.86100000000002,"LINESTRING (36.9392631 49.8677557, 36.937157 49.8673774, 36.936858 49.8673266)",,
95855125,False,вулиця Незалежності,residential,False,85.494,"LINESTRING (36.9337424 49.8651409, 36.9348909 49.8653485)",40,
95855127,False,Карапиша вулиця,residential,False,78.697,"LINESTRING (36.9337424 49.8651409, 36.9335057 49.865832)",,
95855125,False,вулиця Незалежності,residential,False,197.404,"LINESTRING (36.9348909 49.8653485, 36.9375599 49.8657866)",40,
95855125,False,вулиця Незалежності,residential,True,85.494,"LINESTRING (36.9348909 49.8653485, 36.9337424 49.8651409)",40,
95855115,False,Поштовий провулок,residential,False,325.77000000000004,"LINESTRING (36.9348909 49.8653485, 36.9359648 49.8628005, 36.9361618 49.8625405)",,
484203227,False,вулиця Захисників України,residential,False,179.256,"LINESTRING (36.9398669 49.8661913, 36.9392631 49.8677557)",,
484203227,False,вулиця Захисників України,residential,True,11.291,"LINESTRING (36.9398669 49.8661913, 36.9399039 49.8660926)",,
95855125,False,вулиця Незалежності,residential,True,171.366,"LINESTRING (36.9398669 49.8661913, 36.9391171 49.8660598, 36.9375599 49.8657866)",40,
356028755,False,Партизанська вулиця,residential,True,120.315,"LINESTRING (36.9332715 49.8695719, 36.933566 49.869617, 36.9348871 49.8698652)",,
484203224,False,Богдана Хмельницького провулок,residential,True,31.212,"LINESTRING (36.9383739 49.8638614, 36.9382511 49.8641307)",,
95855126,False,Поштова вулиця,residential,False,216.49,"LINESTRING (36.9383739 49.8638614, 36.9382288 49.8637403, 36.936442 49.8626774, 36.9361618 49.8625405)",,
95855126,False,Поштова вулиця,residential,True,345.15500000000003,"LINESTRING (36.9383739 49.8638614, 36.9386101 49.8637921, 36.9405913 49.8641683, 36.9409122 49.8641457, 36.941253 49.8640717, 36.9418317 49.8640432, 36.9420934 49.8640194, 36.9422825 49.8639412, 36.9424216 49.8637213, 36.9424403 49.8636227, 36.942465 49.8634842)",,
95855125,False,вулиця Незалежності,residential,True,197.404,"LINESTRING (36.9375599 49.8657866, 36.9348909 49.8653485)",40,
484203224,False,Богдана Хмельницького провулок,residential,False,190.676,"LINESTRING (36.9375599 49.8657866, 36.9382511 49.8641307)",,
95855125,False,вулиця Незалежності,residential,False,171.366,"LINESTRING (36.9375599 49.8657866, 36.9391171 49.8660598, 36.9398669 49.8661913)",40,
484203224,False,Богдана Хмельницького провулок,residential,True,178.477,"LINESTRING (36.9375599 49.8657866, 36.9372329 49.8665009, 36.936858 49.8673266)",,
176941576,False,Харківська вулиця,secondary,True,208.842,"LINESTRING (36.9386017 49.8693442, 36.9357919 49.8688465)",50,Т-21-11
484203227,False,вулиця Захисників України,residential,True,182.883,"LINESTRING (36.9386017 49.8693442, 36.9392631 49.8677557)",,
95855126,False,Поштова вулиця,residential,True,66.113,"LINESTRING (36.9353066 49.8623178, 36.9361618 49.8625405)",,
95855127,False,Карапиша вулиця,residential,True,78.697,"LINESTRING (36.9335057 49.865832, 36.9337424 49.8651409)",,
95855130,False,Богдана Хмельницького вулиця,residential,False,178.86100000000002,"LINESTRING (36.936858 49.8673266, 36.937157 49.8673774, 36.9392631 49.8677557)",,
95855130,False,Богдана Хмельницького вулиця,residential,True,314.707,"LINESTRING (36.936858 49.8673266, 36.9358414 49.8671429, 36.9351189 49.8670131, 36.9350469 49.8670665, 36.934817 49.8676943, 36.9344385 49.8686129)",,
484203224,False,Богдана Хмельницького провулок,residential,False,178.477,"LINESTRING (36.936858 49.8673266, 36.9372329 49.8665009, 36.9375599 49.8657866)",,
484203224,False,Богдана Хмельницького провулок,residential,False,31.212,"LINESTRING (36.9382511 49.8641307, 36.9383739 49.8638614)",,
484203224,False,Богдана Хмельницького провулок,residential,True,190.676,"LINESTRING (36.9382511 49.8641307, 36.9375599 49.8657866)",,
484203225,False,вулиця Захисників України,residential,False,143.081,"LINESTRING (36.9382511 49.8641307, 36.9393781 49.8643423, 36.9401665 49.8644931)",,
484203225,False,вулиця Захисників України,residential,True,143.081,"LINESTRING (36.9401665 49.8644931, 36.9393781 49.8643423, 36.9382511 49.8641307)",,
484203227,False,вулиця Захисників України,residential,False,11.291,"LINESTRING (36.9399039 49.8660926, 36.9398669 49.8661913)",,
356028746,False,вулиця Незалежності,residential,False,154.32,"LINESTRING (36.9399039 49.8660926, 36.9410677 49.8662821, 36.9419855 49.8664469)",,
484203227,False,вулиця Захисників України,residential,True,128.163,"LINESTRING (36.9399039 49.8660926, 36.940294 49.8649985, 36.9403045 49.8649693)",,
356028746,False,вулиця Незалежності,residential,True,154.32,"LINESTRING (36.9419855 49.8664469, 36.9410677 49.8662821, 36.9399039 49.8660926)",,
176941576,False,Харківська вулиця,secondary,False,100.416,"LINESTRING (36.9344385 49.8686129, 36.9357919 49.8688465)",50,Т-21-11
95855130,False,Богдана Хмельницького вулиця,residential,False,314.707,"LINESTRING (36.9344385 49.8686129, 36.934817 49.8676943, 36.9350469 49.8670665, 36.9351189 49.8670131, 36.9358414 49.8671429, 36.936858 49.8673266)",,
176941576,False,Харківська вулиця,secondary,False,208.842,"LINESTRING (36.9357919 49.8688465, 36.9386017 49.8693442)",50,Т-21-11
176941576,False,Харківська вулиця,secondary,True,100.416,"LINESTRING (36.9357919 49.8688465, 36.9344385 49.8686129)",50,Т-21-11
356028769,False,Партизанський провулок,residential,False,134.321,"LINESTRING (36.9357919 49.8688465, 36.9354271 49.8694571, 36.9352363 49.8696088, 36.9349945 49.8697032, 36.9348871 49.8698652)",,
