osmid,ref,highway,oneway,reversed,length,geometry,name,lanes,maxspeed
42518143,О-1717244,tertiary,False,True,112.33500000000001,"LINESTRING (32.6959295 49.7844592, 32.6958664 49.7846553, 32.695878 49.784934, 32.6959129 49.7852738, 32.6959865 49.7854584)",,,
42518143,О-1717244,tertiary,False,True,80.733,"LINESTRING (32.6959865 49.7854584, 32.696392 49.7861356)",,,
42518143,О-1717244,tertiary,False,False,112.33500000000001,"LINESTRING (32.6959865 49.7854584, 32.6959129 49.7852738, 32.695878 49.784934, 32.6958664 49.7846553, 32.6959295 49.7844592)",,,
234918542,,residential,False,False,377.038,"LINESTRING (32.6959865 49.7854584, 32.6966115 49.7852261, 32.6973519 49.7849822, 32.6983072 49.7846803, 32.6992625 49.7843579, 32.6999623 49.7841257, 32.7004414 49.7839921, 32.7006833 49.7839538)",Паркова вулиця,,
234918542,,residential,False,False,261.973,"LINESTRING (32.7006833 49.7839538, 32.7008837 49.7839381, 32.702111 49.783966, 32.7034612 49.7839837, 32.7043294 49.7839979)",Паркова вулиця,,
234918542,,residential,False,True,377.038,"LINESTRING (32.7006833 49.7839538, 32.7004414 49.7839921, 32.6999623 49.7841257, 32.6992625 49.7843579, 32.6983072 49.7846803, 32.6973519 49.7849822, 32.6966115 49.7852261, 32.6959865 49.7854584)",Паркова вулиця,,
234998479,,unclassified,False,False,82.131,"LINESTRING (32.7006833 49.7839538, 32.700916 49.7843252, 32.7010681 49.7845416, 32.7011268 49.7846345)",,,
234918542,,residential,False,True,261.973,"LINESTRING (32.7043294 49.7839979, 32.7034612 49.7839837, 32.702111 49.783966, 32.7008837 49.7839381, 32.7006833 49.7839538)",Паркова вулиця,,
234918556,,residential,False,True,229.525,"LINESTRING (32.7042955 49.7848953, 32.7037783 49.784832, 32.7020906 49.7847212, 32.7012379 49.7846351, 32.7011268 49.7846345)",Партизанська вулиця,,
"[234918544, 742038165]",,residential,False,"[False, True]",293.40700000000004,"LINESTRING (32.7042955 49.7848953, 32.7043409 49.7849501, 32.7043536 49.784983, 32.7043547 49.7850168, 32.7042581 49.7854485, 32.7042238 49.7854848, 32.7041629 49.7854926, 32.7036552 49.7854461, 32.7026697 49.7853229, 32.7019836 49.7852542, 32.7016633 49.7852459, 32.70138 49.785287, 32.7011377 49.7853486)",вулиця Чапаєва,,
"[234918544, 742038165]",,residential,False,"[False, True]",293.407,"LINESTRING (32.7011377 49.7853486, 32.70138 49.785287, 32.7016633 49.7852459, 32.7019836 49.7852542, 32.7026697 49.7853229, 32.7036552 49.7854461, 32.7041629 49.7854926, 32.7042238 49.7854848, 32.7042581 49.7854485, 32.7043547 49.7850168, 32.7043536 49.784983, 32.7043409 49.7849501, 32.7042955 49.7848953)",вулиця Чапаєва,,
234918544,,residential,False,True,350.641,"LINESTRING (32.7011377 49.7853486, 32.7006186 49.785487, 32.6997604 49.7857621, 32.698627 49.7861194, 32.6978643 49.7863734, 32.6973647 49.7865479, 32.6972493 49.7865976, 32.6968293 49.7868148)",вулиця Чапаєва,,
234998487,,residential,False,False,245.224,"LINESTRING (32.7011377 49.7853486, 32.7011472 49.7857966, 32.7011703 49.7858414, 32.7012305 49.7858764, 32.70132 49.7858972, 32.7019782 49.7860308, 32.7024414 49.7861269, 32.7031642 49.7862615, 32.7036889 49.7863537)",Шкільна вулиця,,
