osmid,ref,name,highway,width,oneway,reversed,length,geometry,lanes
65081698,О-101415,вулиця Богдана Хмельницького,tertiary,6,False,True,53.846000000000004,"LINESTRING (29.8129567 50.4600539, 29.8127493 50.4600161, 29.8122209 50.4599313)",
128295521,,Шляхетська вулиця,residential,,False,False,46.07,"LINESTRING (29.8129567 50.4600539, 29.8130964 50.4600735, 29.813429 50.46019, 29.8135318 50.4602387)",
419088090,Т-10-19,вулиця Димитрія Ростовського,secondary,,False,True,220.415,"LINESTRING (29.8129567 50.4600539, 29.8124633 50.4604832, 29.8122941 50.4606304, 29.8121448 50.4607571, 29.8116603 50.4611748, 29.811553 50.4612944, 29.8114656 50.4614759, 29.8114457 50.4617383)",2
128296716,,вулиця Леоніда Каденюка,residential,,False,False,166.398,"LINESTRING (29.8077087 50.4671239, 29.8059481 50.4661322)",
128297632,,Варшавська вулиця,tertiary,,False,False,36.31,"LINESTRING (29.8077087 50.4671239, 29.8079427 50.4668333)",
128297632,,Варшавська вулиця,tertiary,,False,True,79.398,"LINESTRING (29.8077087 50.4671239, 29.8076892 50.4671471, 29.8071801 50.4677537)",
1149109335,,вулиця Івана Котляревського,residential,,False,True,48.026,"LINESTRING (29.8092112 50.4616683, 29.8092148 50.4612364)",
188268959,,Київський провулок,residential,,False,False,155.30700000000002,"LINESTRING (29.8092112 50.4616683, 29.8092526 50.4618504, 29.8093062 50.4619105, 29.8093915 50.4619327, 29.8094743 50.4619457, 29.8096371 50.4619549, 29.811088 50.462029)",
1149109335,,вулиця Івана Котляревського,residential,,False,False,88.668,"LINESTRING (29.8092112 50.4616683, 29.8085023 50.4616408, 29.8079599 50.4616392)",
128296716,,вулиця Леоніда Каденюка,residential,,False,True,36.256,"LINESTRING (29.8027593 50.4646969, 29.8032365 50.4648154)",
128296717,,Медична вулиця,residential,,False,False,127.84,"LINESTRING (29.8027593 50.4646969, 29.8036111 50.4636831)",
128296716,,вулиця Леоніда Каденюка,residential,,False,False,53.431,"LINESTRING (29.8027593 50.4646969, 29.8024203 50.4646111, 29.8021012 50.4644683)",
128296717,,Медична вулиця,residential,,False,False,223.187,"LINESTRING (29.8036111 50.4636831, 29.805041 50.4618942)",
128296717,,Медична вулиця,residential,,False,True,127.84,"LINESTRING (29.8036111 50.4636831, 29.8027593 50.4646969)",
128297002,,Мирний провулок,residential,,False,False,223.449,"LINESTRING (29.8036111 50.4636831, 29.8066416 50.4639075, 29.8067368 50.463937)",
128296717,,Медична вулиця,residential,,False,True,223.187,"LINESTRING (29.805041 50.4618942, 29.8036111 50.4636831)",
188266784,,вулиця Космонавтів,residential,,False,False,208.554,"LINESTRING (29.805041 50.4618942, 29.8079599 50.4616392)",
188266784,,вулиця Космонавтів,residential,,False,True,159.206,"LINESTRING (29.805041 50.4618942, 29.8028047 50.4620469)",
188266784,,вулиця Космонавтів,residential,,False,False,159.206,"LINESTRING (29.8028047 50.4620469, 29.805041 50.4618942)",
188266784,,вулиця Космонавтів,residential,,False,True,208.554,"LINESTRING (29.8079599 50.4616392, 29.805041 50.4618942)",
128297007,,вулиця Механізаторів,residential,,False,False,271.969,"LINESTRING (29.8079599 50.4616392, 29.8079228 50.4618578, 29.8078394 50.462094, 29.8077585 50.4622906, 29.8076828 50.4624717, 29.8075829 50.4626459, 29.8073943 50.4629111, 29.8071924 50.4631798, 29.806868 50.4636009, 29.8068131 50.463677, 29.8067716 50.4637531, 29.8067476 50.463835, 29.8067368 50.463937)",
