osmid,oneway,highway,reversed,length,lanes,ref,geometry,name,maxspeed
891077462,True,tertiary,False,97.249,,,"LINESTRING (37.6876165 48.537033, 37.6884828 48.5376932)",,
132628378,True,primary,False,77.06500000000001,1,Н-20,"LINESTRING (37.6876165 48.537033, 37.6877832 48.537112, 37.6878459 48.5371365, 37.6879148 48.5371512, 37.6879779 48.5371502, 37.6880579 48.5371338, 37.6881354 48.5370979, 37.6881934 48.5370439, 37.6882201 48.5369962, 37.6882304 48.5369448, 37.6882225 48.5368904, 37.6881808 48.5368178)",,
132628389,False,primary,False,90.965,2,Н-20,"LINESTRING (37.6881808 48.5368178, 37.6879551 48.5366138, 37.6874506 48.5361579)",,
132628403,False,tertiary,False,65.59100000000001,,,"LINESTRING (37.6881808 48.5368178, 37.6883324 48.5369249, 37.6883817 48.5370122, 37.688416 48.5371135, 37.6884536 48.5373583)",,
132628389,False,primary,True,90.965,2,Н-20,"LINESTRING (37.6874506 48.5361579, 37.6879551 48.5366138, 37.6881808 48.5368178)",,
132628390,False,primary,False,40.045,2,Н-20,"LINESTRING (37.6874506 48.5361579, 37.6873133 48.536071, 37.6871774 48.5360361, 37.6869726 48.5360113)",,
132628406,False,tertiary_link,True,49.415000000000006,,,"LINESTRING (37.6874506 48.5361579, 37.6874439 48.5360543, 37.6874234 48.5359783, 37.6874297 48.5359366, 37.6874439 48.5358991, 37.6874832 48.5358481, 37.6875594 48.535733)",,
54490408,False,primary_link,True,50.786,,,"LINESTRING (37.6861556 48.5367704, 37.6861225 48.536673, 37.6861036 48.536573, 37.6861351 48.536471, 37.686217 48.536329)",,
161636931,False,primary,False,52.953,2,Н-20,"LINESTRING (37.6861556 48.5367704, 37.6863964 48.5369721, 37.6866016 48.537144)",,
39661843,False,primary,False,65.901,2,Н-20,"LINESTRING (37.6869726 48.5360113, 37.686217 48.536329)",Правобережна вулиця,50
132628334,False,tertiary,True,53.144,,,"LINESTRING (37.6869726 48.5360113, 37.6875594 48.535733)",Олекси Тихого вулиця,50
132628390,False,primary,True,40.045,2,Н-20,"LINESTRING (37.6869726 48.5360113, 37.6871774 48.5360361, 37.6873133 48.536071, 37.6874506 48.5361579)",,
39661843,False,primary,True,65.901,2,Н-20,"LINESTRING (37.686217 48.536329, 37.6869726 48.5360113)",Правобережна вулиця,50
54490408,False,primary_link,False,50.786,,,"LINESTRING (37.686217 48.536329, 37.6861351 48.536471, 37.6861036 48.536573, 37.6861225 48.536673, 37.6861556 48.5367704)",,
121656938,False,residential,False,87.449,,,"LINESTRING (37.6934519 48.5350839, 37.694212 48.5356882)",Театральна вулиця,
121656938,False,residential,True,187.144,,,"LINESTRING (37.6934519 48.5350839, 37.6919594 48.5337216)",Театральна вулиця,
879486697,False,residential,False,105.322,,,"LINESTRING (37.6934519 48.5350839, 37.6922619 48.5356095)",Торецька вулиця,
879486697,False,residential,True,221.856,,,"LINESTRING (37.6934519 48.5350839, 37.6958906 48.5339121)",Торецька вулиця,
132628383,True,tertiary,False,37.301,,,"LINESTRING (37.6884536 48.5373583, 37.6884828 48.5376932)",,
879486697,False,residential,True,175.852,,,"LINESTRING (37.6884536 48.5373583, 37.6904123 48.5364533)",Торецька вулиця,
132628403,False,tertiary,True,65.59100000000001,,,"LINESTRING (37.6884536 48.5373583, 37.688416 48.5371135, 37.6883817 48.5370122, 37.6883324 48.5369249, 37.6881808 48.5368178)",,
132121211,False,residential,True,87.002,,,"LINESTRING (37.6929369 48.5362517, 37.6922619 48.5356095)",Гоголя вулиця,
293545693,False,residential,False,98.825,,,"LINESTRING (37.6929369 48.5362517, 37.6918474 48.5367708)",Інтернаціональна вулиця,
293545693,False,residential,True,112.872,,,"LINESTRING (37.6929369 48.5362517, 37.694212 48.5356882)",Інтернаціональна вулиця,
121656938,False,residential,True,85.854,,,"LINESTRING (37.6955788 48.5369338, 37.6949122 48.5363003)",Театральна вулиця,
132154475,False,residential,True,214.072,,,"LINESTRING (37.6955788 48.5369338, 37.6979275 48.535799)",Незалежності вулиця,
