osmid,name,highway,oneway,reversed,length,geometry,ref,bridge,junction,lanes,maxspeed
346212701,Жупна вулиця,residential,False,False,25.456,"LINESTRING (23.5042638 49.3514929, 23.5042265 49.3514085, 23.5041666 49.3512729)",,,,,
"[154472888, 154538037]","['Ковальська вулиця', 'вулиця Шолом-Алейхема']",residential,False,False,197.079,"LINESTRING (23.507365 49.352367, 23.5076108 49.3524509, 23.5077875 49.3525094, 23.5079311 49.3525604, 23.5080366 49.3526117, 23.5081038 49.3526444, 23.5081306 49.3526574, 23.5081698 49.3526811, 23.5088495 49.3530915, 23.5091525 49.3528588, 23.5093736 49.3526822, 23.5093956 49.3526652)",,,,,
"[153325658, 623783422]","['Ковальська вулиця', 'вулиця Степана Бандери']",residential,True,False,119.08,"LINESTRING (23.507365 49.352367, 23.5066584 49.3521215, 23.5062842 49.3526137)",,,,,
154090942,Трускавецька вулиця,secondary,False,True,85.804,"LINESTRING (23.5076865 49.3471806, 23.5076585 49.3474014, 23.5076525 49.3474457, 23.5075848 49.3479494)",О-140401,,,,
380334553,вулиця Маркіяна Шашкевича,tertiary,False,True,36.97,"LINESTRING (23.5076865 49.3471806, 23.5075324 49.3471754, 23.5075128 49.3471748, 23.5071764 49.3471772)",,,,,
380334553,вулиця Маркіяна Шашкевича,tertiary,False,False,36.97,"LINESTRING (23.5071764 49.3471772, 23.5075128 49.3471748, 23.5075324 49.3471754, 23.5076865 49.3471806)",,,,,
380334553,вулиця Маркіяна Шашкевича,tertiary,False,True,343.27599999999995,"LINESTRING (23.5071764 49.3471772, 23.50711 49.3471932, 23.5070898 49.347198, 23.5067824 49.3472758, 23.5065991 49.3473091, 23.5064795 49.347323, 23.5062337 49.3473233, 23.5059419 49.3473183, 23.5056251 49.3473129, 23.5054681 49.347321, 23.5053495 49.3473394, 23.5052628 49.3473602, 23.5050876 49.3474028, 23.5048254 49.347456, 23.5043341 49.3475189, 23.5039799 49.347531, 23.5033496 49.3475554, 23.5031859 49.3475603, 23.5029102 49.3475718, 23.5027741 49.3475856, 23.502715 49.3475926, 23.5026507 49.3476002, 23.5025283 49.3476215)",,,,,
153326652,вулиця Устияновичів,residential,False,False,229.49599999999998,"LINESTRING (23.5103121 49.3473622, 23.5102918 49.3473987, 23.5101802 49.3475942, 23.5100923 49.3476091, 23.5100112 49.3476132, 23.5098838 49.3476092, 23.5094099 49.3475953, 23.5091655 49.3476093, 23.5089935 49.3476288, 23.5087205 49.3476817, 23.5085028 49.3477425, 23.5084364 49.3477687, 23.5081031 49.3479872, 23.5079824 49.3479715, 23.5076592 49.3479535, 23.5075848 49.3479494)",,,,,
395765630,вулиця Війтівська Гора,tertiary,False,True,56.328,"LINESTRING (23.5103121 49.3473622, 23.5108369 49.3474678, 23.5110549 49.347512)",,,,,
"[153326162, 154091430, 154091431]",вулиця Богдана Лепкого,residential,False,True,404.271,"LINESTRING (23.5110549 49.347512, 23.5108478 49.3480743, 23.5108121 49.348162, 23.5107134 49.3484215, 23.5107062 49.3484367, 23.5106253 49.3485857, 23.510585 49.3486539, 23.5105045 49.348768, 23.5104221 49.3488719, 23.5103393 49.3489662, 23.5103021 49.3490056, 23.510194 49.3490987, 23.510071 49.3491955, 23.5097634 49.3494442, 23.509511 49.3496553, 23.5092884 49.3498571, 23.5089633 49.3503179, 23.5087681 49.3506028, 23.5087296 49.3506551, 23.5086456 49.3507387)",,yes,,,
