osmid,oneway,name,highway,maxspeed,reversed,length,geometry,ref,junction,lanes,bridge
178145927,True,вулиця Гагаріна,tertiary,50,False,42.111000000000004,"LINESTRING (34.8773507 48.2043377, 34.8772115 48.2044106, 34.8771131 48.2044835, 34.8769674 48.204614)",,,,
208877745,False,,residential,50,True,161.00600000000003,"LINESTRING (34.8773507 48.2043377, 34.8774576 48.2042743, 34.8775874 48.2042056, 34.8779316 48.2040766, 34.8788292 48.2036935, 34.8791322 48.2035165)",,,,
567907555,False,Соборна вулиця,primary,50,True,44.693,"LINESTRING (34.8773507 48.2043377, 34.8770592 48.2043697, 34.8767555 48.2044024)",Р-80,,,
178145927,True,вулиця Гагаріна,tertiary,50,False,36.091,"LINESTRING (34.8769674 48.204614, 34.8769069 48.2046975, 34.8768668 48.2047878, 34.8768248 48.2049226)",,,,
692216198,False,,tertiary,50,False,29.4,"LINESTRING (34.8769674 48.204614, 34.8769226 48.2046464, 34.8768647 48.2046677, 34.8767997 48.2046757, 34.8767342 48.2046697, 34.8766749 48.2046503, 34.8766278 48.2046193)",,circular,,
692216198,False,,tertiary,50,True,35.828,"LINESTRING (34.8769674 48.204614, 34.8769954 48.2045719, 34.877001 48.204526, 34.8769837 48.2044815, 34.8769454 48.2044432, 34.8768903 48.2044155, 34.8768245 48.2044013, 34.8767555 48.2044024)",,circular,,
178145931,True,вулиця Гагаріна,tertiary,50,False,36.992999999999995,"LINESTRING (34.8768248 48.2049226, 34.8767654 48.2047922, 34.876722 48.2047204, 34.8766278 48.2046193)",,,,
"[610298168, 567907563, 610298164, 610298165]",False,вулиця Гагаріна,tertiary,50,True,268.99899999999997,"LINESTRING (34.8768248 48.2049226, 34.8768364 48.2051152, 34.8767995 48.2066474, 34.8767884 48.2068648, 34.8767595 48.2073409)",,,2,yes
208764105,False,Соборна вулиця,primary,50,True,60.89,"LINESTRING (34.8767555 48.2044024, 34.876439 48.2044483, 34.8761739 48.2044772, 34.8759457 48.2044908)",Р-80,,,
567907555,False,Соборна вулиця,primary,50,False,44.693,"LINESTRING (34.8767555 48.2044024, 34.8770592 48.2043697, 34.8773507 48.2043377)",Р-80,,,
