osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,maxspeed
135562172,Центральна площа,tertiary,False,False,17.378,,"LINESTRING (37.6152698 49.7099556, 37.6151058 49.7100704)",,
163393784,Сватівська вулиця,primary,False,False,54.911,Н-26,"LINESTRING (37.6152698 49.7099556, 37.6160322 49.7099839)",,
163393784,Сватівська вулиця,primary,False,True,9.951,Н-26,"LINESTRING (37.6152698 49.7099556, 37.6151325 49.7099444)",,
163393784,Сватівська вулиця,primary,False,False,60.898,Н-26,"LINESTRING (37.6160322 49.7099839, 37.6168709 49.7099078)",,
163393784,Сватівська вулиця,primary,False,True,54.911,Н-26,"LINESTRING (37.6160322 49.7099839, 37.6152698 49.7099556)",,
139879952,,residential,False,True,101.43299999999999,,"LINESTRING (37.6160322 49.7099839, 37.6161075 49.7095159, 37.6162067 49.7090789)",,
137717401,Кузнечна вулиця,primary,False,True,203.549,Н-26,"LINESTRING (37.612637 49.7097292, 37.6118615 49.7095991, 37.6099093 49.7092401)",4,50
147924244,1 Травня вулиця,primary,False,False,113.003,Р-79,"LINESTRING (37.612637 49.7097292, 37.6125805 49.710098, 37.6123861 49.7107313)",4,50
163393784,Сватівська вулиця,primary,False,False,181.028,Н-26,"LINESTRING (37.612637 49.7097292, 37.613334 49.7097891, 37.6151325 49.7099444)",,
863312999,Студентська вулиця,primary,False,True,95.443,Р-79,"LINESTRING (37.612637 49.7097292, 37.6126642 49.7095315, 37.6127148 49.7089544, 37.612722 49.7088727)",,
142693341,Садова вулиця,residential,False,False,21.482,,"LINESTRING (37.6123861 49.7107313, 37.6123037 49.710917)",,
135562174,1 Травня вулиця,primary,False,False,319.70799999999997,Р-79,"LINESTRING (37.6123861 49.7107313, 37.6126599 49.7114844, 37.6129391 49.7122487, 37.6129306 49.7123917, 37.6120098 49.7134025)",2,50
147924244,1 Травня вулиця,primary,False,True,113.003,Р-79,"LINESTRING (37.6123861 49.7107313, 37.6125805 49.710098, 37.612637 49.7097292)",4,50
163393784,Сватівська вулиця,primary,False,True,60.898,Н-26,"LINESTRING (37.6168709 49.7099078, 37.6160322 49.7099839)",,
135562171,Усіковська вулиця,residential,False,False,310.598,,"LINESTRING (37.6168709 49.7099078, 37.6168379 49.7104512, 37.6168216 49.7105836, 37.6155847 49.7125433)",,
135562171,Усіковська вулиця,residential,False,True,310.598,,"LINESTRING (37.6155847 49.7125433, 37.6168216 49.7105836, 37.6168379 49.7104512, 37.6168709 49.7099078)",,
135562173,,tertiary,False,False,152.592,,"LINESTRING (37.6155847 49.7125433, 37.6156657 49.7126609, 37.6156564 49.7128355, 37.6153065 49.7137553, 37.6152087 49.7138592)",,
135562173,,tertiary,False,True,117.74000000000001,,"LINESTRING (37.6155847 49.7125433, 37.6154144 49.7124804, 37.6148234 49.712357, 37.6140311 49.7122195)",,
135562172,Центральна площа,tertiary,False,True,95.033,,"LINESTRING (37.6140311 49.7122195, 37.6142706 49.711379)",,
135562173,,tertiary,False,False,117.74000000000001,,"LINESTRING (37.6140311 49.7122195, 37.6148234 49.712357, 37.6154144 49.7124804, 37.6155847 49.7125433)",,
140012557,,residential,False,False,71.965,,"LINESTRING (37.6140311 49.7122195, 37.6138168 49.7128351, 37.6138113 49.7128509)",,
140012557,,residential,False,True,71.965,,"LINESTRING (37.6138113 49.7128509, 37.6138168 49.7128351, 37.6140311 49.7122195)",,
