osmid,oneway,lanes,name,highway,maxspeed,access,reversed,length,geometry
28816068,False,2,проспект Героїв України,residential,50,yes,True,490.551,"LINESTRING (26.6505773 50.3338847, 26.6505329 50.3336782, 26.6505262 50.3336533, 26.6503815 50.33312, 26.6503392 50.3329588, 26.6502954 50.332802, 26.6501122 50.3321532, 26.6500753 50.3320158, 26.6499092 50.3314154, 26.6498713 50.331284, 26.6495551 50.3300924, 26.6494433 50.3297236, 26.6494355 50.3296978, 26.6493809 50.3295401)"
764662893,False,4,проспект Незалежності,secondary,50,,False,58.458,"LINESTRING (26.6505773 50.3338847, 26.6501694 50.3339212, 26.649761 50.3339545)"
"[28815700, 764662892, 764662893, 1241153351]",False,4,проспект Незалежності,secondary,"['40', '50']",,True,439.129,"LINESTRING (26.6505773 50.3338847, 26.6507515 50.3338707, 26.6510819 50.3338387, 26.6512415 50.3338232, 26.6524421 50.3337074, 26.6525609 50.333695, 26.653551 50.3336003, 26.6542805 50.3335268, 26.6544208 50.3335139, 26.6545513 50.333503, 26.6564274 50.3333559, 26.6567031 50.333334)"
28816068,False,2,проспект Героїв України,residential,50,yes,False,490.551,"LINESTRING (26.6493809 50.3295401, 26.6494355 50.3296978, 26.6494433 50.3297236, 26.6495551 50.3300924, 26.6498713 50.331284, 26.6499092 50.3314154, 26.6500753 50.3320158, 26.6501122 50.3321532, 26.6502954 50.332802, 26.6503392 50.3329588, 26.6503815 50.33312, 26.6505262 50.3336533, 26.6505329 50.3336782, 26.6505773 50.3338847)"
137048145,False,2,вулиця Чорновола,tertiary,,,False,896.9649999999998,"LINESTRING (26.6493809 50.3295401, 26.6496978 50.3294974, 26.6510063 50.3293462, 26.6513192 50.3293144, 26.6520543 50.3292475, 26.6524203 50.3292272, 26.6525231 50.3292208, 26.6539779 50.329129, 26.6542825 50.3291121, 26.6544743 50.3291015, 26.6545153 50.3291002, 26.6545745 50.3290984, 26.654663 50.3291007, 26.6547867 50.3291018, 26.6549229 50.3291215, 26.6550677 50.3291558, 26.6552173 50.3292101, 26.6553441 50.3292891, 26.6554414 50.3293961, 26.6555022 50.3295311, 26.6556004 50.3301718, 26.6556727 50.3305832, 26.6557526 50.3311375, 26.6558367 50.3316394, 26.6558597 50.3317524, 26.6559255 50.3319816, 26.6559722 50.3321156, 26.6560393 50.3322483, 26.6561955 50.3325143, 26.65637 50.3328092, 26.6565417 50.3330753, 26.6565644 50.3331164, 26.6567031 50.333334)"
"[764662892, 28815700, 764662893, 1241153351]",False,4,проспект Незалежності,secondary,"['40', '50']",,False,439.129,"LINESTRING (26.6567031 50.333334, 26.6564274 50.3333559, 26.6545513 50.333503, 26.6544208 50.3335139, 26.6542805 50.3335268, 26.653551 50.3336003, 26.6525609 50.333695, 26.6524421 50.3337074, 26.6512415 50.3338232, 26.6510819 50.3338387, 26.6507515 50.3338707, 26.6505773 50.3338847)"
30640096,False,2,Набережна вулиця,tertiary,50,,False,784.7280000000002,"LINESTRING (26.6567031 50.333334, 26.6569143 50.3335206, 26.657307 50.3339072, 26.6574105 50.3340096, 26.6575557 50.3341694, 26.6576949 50.3343327, 26.657779 50.3344499, 26.6578298 50.334543, 26.6579003 50.3347037, 26.6579379 50.3347879, 26.6579912 50.3349211, 26.6580772 50.3351349, 26.6581165 50.3352348, 26.6581287 50.3352892, 26.6581383 50.3354325, 26.6581268 50.3355016, 26.6580664 50.335635, 26.6579845 50.3357183, 26.6578822 50.3357892, 26.6577623 50.3358466, 26.657599 50.3359029, 26.657464 50.3359358, 26.6572362 50.3359847, 26.6570434 50.336026, 26.656816 50.3360741, 26.6566033 50.3361188, 26.6564125 50.3361699, 26.656277 50.3362192, 26.6561764 50.3362615, 26.656085 50.3363095, 26.6559961 50.3363724, 26.6559427 50.3364193, 26.6558762 50.3364956, 26.655818 50.33658, 26.6557542 50.3366919, 26.65567 50.3368446, 26.6555879 50.3369991, 26.6555008 50.3371566, 26.6554353 50.3372726, 26.6553461 50.3374258, 26.6552387 50.3375723, 26.6551449 50.3376587, 26.6550568 50.3377343, 26.654928 50.3378242, 26.6547872 50.3379087, 26.6546137 50.3379939, 26.6544334 50.3380648, 26.654236 50.3381251, 26.6541391 50.3381513, 26.6539867 50.3381807, 26.6537719 50.3382011, 26.6533865 50.3382097, 26.6529716 50.3382247)"
137048145,False,2,вулиця Чорновола,tertiary,,,True,896.9650000000001,"LINESTRING (26.6567031 50.333334, 26.6565644 50.3331164, 26.6565417 50.3330753, 26.65637 50.3328092, 26.6561955 50.3325143, 26.6560393 50.3322483, 26.6559722 50.3321156, 26.6559255 50.3319816, 26.6558597 50.3317524, 26.6558367 50.3316394, 26.6557526 50.3311375, 26.6556727 50.3305832, 26.6556004 50.3301718, 26.6555022 50.3295311, 26.6554414 50.3293961, 26.6553441 50.3292891, 26.6552173 50.3292101, 26.6550677 50.3291558, 26.6549229 50.3291215, 26.6547867 50.3291018, 26.654663 50.3291007, 26.6545745 50.3290984, 26.6545153 50.3291002, 26.6544743 50.3291015, 26.6542825 50.3291121, 26.6539779 50.329129, 26.6525231 50.3292208, 26.6524203 50.3292272, 26.6520543 50.3292475, 26.6513192 50.3293144, 26.6510063 50.3293462, 26.6496978 50.3294974, 26.6493809 50.3295401)"
30640096,False,2,Набережна вулиця,tertiary,50,,True,784.7279999999998,"LINESTRING (26.6529716 50.3382247, 26.6533865 50.3382097, 26.6537719 50.3382011, 26.6539867 50.3381807, 26.6541391 50.3381513, 26.654236 50.3381251, 26.6544334 50.3380648, 26.6546137 50.3379939, 26.6547872 50.3379087, 26.654928 50.3378242, 26.6550568 50.3377343, 26.6551449 50.3376587, 26.6552387 50.3375723, 26.6553461 50.3374258, 26.6554353 50.3372726, 26.6555008 50.3371566, 26.6555879 50.3369991, 26.65567 50.3368446, 26.6557542 50.3366919, 26.655818 50.33658, 26.6558762 50.3364956, 26.6559427 50.3364193, 26.6559961 50.3363724, 26.656085 50.3363095, 26.6561764 50.3362615, 26.656277 50.3362192, 26.6564125 50.3361699, 26.6566033 50.3361188, 26.656816 50.3360741, 26.6570434 50.336026, 26.6572362 50.3359847, 26.657464 50.3359358, 26.657599 50.3359029, 26.6577623 50.3358466, 26.6578822 50.3357892, 26.6579845 50.3357183, 26.6580664 50.335635, 26.6581268 50.3355016, 26.6581383 50.3354325, 26.6581287 50.3352892, 26.6581165 50.3352348, 26.6580772 50.3351349, 26.6579912 50.3349211, 26.6579379 50.3347879, 26.6579003 50.3347037, 26.6578298 50.334543, 26.657779 50.3344499, 26.6576949 50.3343327, 26.6575557 50.3341694, 26.6574105 50.3340096, 26.657307 50.3339072, 26.6569143 50.3335206, 26.6567031 50.333334)"
30640143,False,2,вулиця Будівельників,residential,,,True,530.498,"LINESTRING (26.6529716 50.3382247, 26.652709 50.3379425, 26.6523414 50.3375113, 26.6517152 50.3368114, 26.6513996 50.3364662, 26.6510654 50.3360874, 26.650391 50.3353469, 26.6503275 50.3352736, 26.6502713 50.3351942, 26.6501989 50.3350799, 26.6501207 50.3349408, 26.6498352 50.3341929, 26.6498221 50.3341587, 26.649761 50.3339545)"
