osmid,ref,highway,oneway,reversed,length,geometry,lanes,name,maxspeed
28162721,CC,tertiary,False,False,153.202,"LINESTRING (-84.2740173 22.0398501, -84.2738268 22.0399068, -84.2729703 22.0401593, -84.2726029 22.0402736)",,,
28162721,CC,tertiary,False,False,268.979,"LINESTRING (-84.2726029 22.0402736, -84.2723531 22.0403322, -84.2717379 22.0403716, -84.2700058 22.0404702)",,,
28162721,CC,tertiary,False,True,153.202,"LINESTRING (-84.2726029 22.0402736, -84.2729703 22.0401593, -84.2738268 22.0399068, -84.2740173 22.0398501)",,,
90863509,,residential,False,False,174.38899999999998,"LINESTRING (-84.2726029 22.0402736, -84.2724884 22.0399616, -84.2723246 22.0393438, -84.2722734 22.0391414, -84.2722483 22.0390421, -84.2721518 22.0387634)",,,
90863509,,residential,False,True,174.38899999999998,"LINESTRING (-84.2721518 22.0387634, -84.2722483 22.0390421, -84.2722734 22.0391414, -84.2723246 22.0393438, -84.2724884 22.0399616, -84.2726029 22.0402736)",,,
377097135,,residential,False,False,126.419,"LINESTRING (-84.2700058 22.0404702, -84.2702071 22.0415917)",,,
"[799524344, 28162721]",CC,"['primary', 'tertiary']",False,False,238.764,"LINESTRING (-84.2700058 22.0404702, -84.2694128 22.0405084, -84.2695588 22.0413733, -84.2696477 22.0420381, -84.269633 22.0420872)",2,Carretera Panamericana,50
28162721,CC,tertiary,False,True,268.979,"LINESTRING (-84.2700058 22.0404702, -84.2717379 22.0403716, -84.2723531 22.0403322, -84.2726029 22.0402736)",,,
377097135,,residential,False,True,126.419,"LINESTRING (-84.2702071 22.0415917, -84.2700058 22.0404702)",,,
377097136,,residential,False,False,64.545,"LINESTRING (-84.2702517 22.0419974, -84.269633 22.0420872)",,,
377097136,,residential,False,True,64.545,"LINESTRING (-84.269633 22.0420872, -84.2702517 22.0419974)",,,
"[799524344, 28162721]",CC,"['primary', 'tertiary']",False,True,238.764,"LINESTRING (-84.269633 22.0420872, -84.2696477 22.0420381, -84.2695588 22.0413733, -84.2694128 22.0405084, -84.2700058 22.0404702)",2,Carretera Panamericana,50
