osmid,name,highway,oneway,reversed,length,lanes,maxspeed,geometry,bridge,ref
51063817,Calle 72,residential,False,False,77.035,,,"LINESTRING (-82.5088435 22.8863783, -82.5088912 22.8856869)",,
51063817,Calle 72,residential,False,True,74.742,,,"LINESTRING (-82.5088435 22.8863783, -82.5088024 22.8870494)",,
262106648,Calle Ancha (70),secondary,False,False,77.742,2,50,"LINESTRING (-82.5076639 22.892576, -82.5076243 22.8932742)",,
262106648,Calle Ancha (70),secondary,False,True,77.62,2,50,"LINESTRING (-82.5076639 22.892576, -82.5077035 22.8918789)",,
51063827,31,residential,True,False,81.99,,,"LINESTRING (-82.5076639 22.892576, -82.5077395 22.8925798, -82.5084632 22.8926145)",,
262106648,Calle Ancha (70),secondary,False,False,76.484,2,50,"LINESTRING (-82.507738 22.8911918, -82.5077035 22.8918789)",,
929052395,Calle Ancha (70),secondary,False,True,75.906,2,50,"LINESTRING (-82.507738 22.8911918, -82.5077808 22.8905103)",,
51063850,Nodarse (35),secondary,False,True,127.92099999999999,2,50,"LINESTRING (-82.507738 22.8911918, -82.5076784 22.8911905, -82.507614 22.8911866, -82.5070389 22.8911601, -82.5064908 22.8911348)",,
262106649,Nodarse (35),tertiary,False,False,83.036,,50,"LINESTRING (-82.507738 22.8911918, -82.5078111 22.8911965, -82.5078325 22.8911969, -82.5085472 22.8912354)",,
262106648,Calle Ancha (70),secondary,False,False,77.62,2,50,"LINESTRING (-82.5077035 22.8918789, -82.5076639 22.892576)",,
262106648,Calle Ancha (70),secondary,False,True,76.484,2,50,"LINESTRING (-82.5077035 22.8918789, -82.507738 22.8911918)",,
360215563,Calle 33,residential,True,False,128.662,,,"LINESTRING (-82.5077035 22.8918789, -82.5076493 22.891875, -82.5064493 22.8918171)",,
129625812,Calle 66,residential,True,False,89.774,,,"LINESTRING (-82.506154 22.8844781, -82.5061137 22.8852846)",,
315950595,Calle 63,residential,False,True,138.534,,,"LINESTRING (-82.506154 22.8844781, -82.5050069 22.8851379)",,
51063854,Calle 64,residential,False,False,77.597,,,"LINESTRING (-82.5053977 22.8857357, -82.5050069 22.8851379)",,
137874021,Calle 64,residential,True,False,50.474,,,"LINESTRING (-82.5053977 22.8857357, -82.5053764 22.8861892)",,
891395531,Calle 61,secondary,False,True,41.374,2,50,"LINESTRING (-82.5053977 22.8857357, -82.5057314 22.8855261)",,
"[704415520, 891395531]","['Calle 61', 'Calle 62']",secondary,False,False,47.713,2,50,"LINESTRING (-82.5053977 22.8857357, -82.5050516 22.8859779, -82.505031 22.8859994)",,
891395531,Calle 61,secondary,False,False,95.683,2,50,"LINESTRING (-82.5068847 22.8847989, -82.5061137 22.8852846)",,
1067128693,Calle 61,secondary,False,True,25.869,2,50,"LINESTRING (-82.5068847 22.8847989, -82.5071013 22.8846793)",,
1067128694,68,secondary,False,False,22.529,2,50,"LINESTRING (-82.5068847 22.8847989, -82.5068689 22.8847566, -82.5068132 22.8846073)",,
129625812,Calle 66,residential,True,False,28.782,,,"LINESTRING (-82.5061137 22.8852846, -82.5061086 22.8855434)",,
891395531,Calle 61,secondary,False,False,47.486,2,50,"LINESTRING (-82.5061137 22.8852846, -82.5057314 22.8855261)",,
891395531,Calle 61,secondary,False,True,95.683,2,50,"LINESTRING (-82.5061137 22.8852846, -82.5068847 22.8847989)",,
315950595,Calle 63,residential,False,False,34.608,,,"LINESTRING (-82.5047252 22.8853097, -82.5050069 22.8851379)",,
891395531,Calle 61,secondary,False,False,41.374,2,50,"LINESTRING (-82.5057314 22.8855261, -82.5053977 22.8857357)",,
891395531,Calle 61,secondary,False,True,47.486,2,50,"LINESTRING (-82.5057314 22.8855261, -82.5061137 22.8852846)",,
129625810,Calle 55,residential,True,False,44.851,,,"LINESTRING (-82.5049395 22.8861631, -82.5053764 22.8861892)",,
704415520,Calle 62,secondary,False,False,14.955,2,50,"LINESTRING (-82.5049395 22.8861631, -82.5048802 22.886286)",,
