osmid,name,highway,maxspeed,oneway,reversed,length,geometry,lanes,ref
368236958,,residential,,False,True,75.778,"LINESTRING (-82.5650318 23.0458817, -82.5651985 23.0465457)",,
368237001,9na,residential,,False,False,83.242,"LINESTRING (-82.5650318 23.0458817, -82.5658236 23.0457098)",,
368236958,,residential,,False,False,31.828000000000003,"LINESTRING (-82.5650318 23.0458817, -82.564957 23.0457786, -82.5649048 23.0456916, -82.5648687 23.0456382)",,
368236801,,residential,,False,True,71.184,"LINESTRING (-82.5674135 23.0460864, -82.5675496 23.0467142)",,
368236775,7ma,tertiary,50,False,False,141.43900000000002,"LINESTRING (-82.5674135 23.0460864, -82.5675232 23.0460618, -82.5678787 23.0459821, -82.5681832 23.0459138, -82.5682392 23.0458857, -82.5683259 23.0458421, -82.5683859 23.0457775, -82.5685259 23.0454973)",,
368236775,7ma,tertiary,50,False,True,147.592,"LINESTRING (-82.5674135 23.0460864, -82.5669551 23.0461751, -82.5660019 23.0463594)",,
368236775,7ma,tertiary,50,False,True,84.774,"LINESTRING (-82.5660019 23.0463594, -82.5651985 23.0465457)",,
404796470,,residential,,False,False,74.501,"LINESTRING (-82.5660019 23.0463594, -82.5658236 23.0457098)",,
368236775,7ma,tertiary,50,False,False,147.592,"LINESTRING (-82.5660019 23.0463594, -82.5669551 23.0461751, -82.5674135 23.0460864)",,
"[404796470, 368236991]",5ta,residential,,False,True,221.84900000000002,"LINESTRING (-82.5660019 23.0463594, -82.5661578 23.047022, -82.5665596 23.0469331, -82.5673665 23.0467547, -82.5675496 23.0467142)",,
368236991,5ta,residential,,False,False,11.37,"LINESTRING (-82.5689671 23.0463829, -82.568886 23.0464528)",,
"[404796480, 368236991]",5ta,residential,,False,True,154.04500000000002,"LINESTRING (-82.5689671 23.0463829, -82.5689794 23.0463576, -82.5692182 23.0458643, -82.5692322 23.0458198, -82.5692483 23.0457686, -82.5691218 23.0457211, -82.5688925 23.045635, -82.5685259 23.0454973)",,
"[1117642994, 385062271]",,residential,,False,False,127.557,"LINESTRING (-82.5689671 23.0463829, -82.5693618 23.0465282, -82.5692222 23.0467911, -82.5691375 23.0468132, -82.5690306 23.0468055, -82.5688701 23.0467444, -82.5687495 23.0466894)",,
368236981,,residential,,False,False,29.786,"LINESTRING (-82.568886 23.0464528, -82.5687495 23.0466894)",,
368236991,5ta,residential,,False,False,53.04,"LINESTRING (-82.568886 23.0464528, -82.5683801 23.0465568)",,
368236991,5ta,residential,,False,True,11.37,"LINESTRING (-82.568886 23.0464528, -82.5689671 23.0463829)",,
368236775,7ma,tertiary,50,False,False,84.774,"LINESTRING (-82.5651985 23.0465457, -82.5660019 23.0463594)",,
368236958,,residential,,False,False,75.778,"LINESTRING (-82.5651985 23.0465457, -82.5650318 23.0458817)",,
368236801,,residential,,False,False,71.184,"LINESTRING (-82.5675496 23.0467142, -82.5674135 23.0460864)",,
"[404796470, 368236991]",5ta,residential,,False,False,221.849,"LINESTRING (-82.5675496 23.0467142, -82.5673665 23.0467547, -82.5665596 23.0469331, -82.5661578 23.047022, -82.5660019 23.0463594)",,
368236991,5ta,residential,,False,True,86.761,"LINESTRING (-82.5675496 23.0467142, -82.5679158 23.0466448, -82.5679576 23.0466369, -82.5681312 23.046604, -82.5683801 23.0465568)",,
368236981,,residential,,False,True,29.786,"LINESTRING (-82.5687495 23.0466894, -82.568886 23.0464528)",,
385062271,,residential,,False,False,40.571,"LINESTRING (-82.5687495 23.0466894, -82.5683801 23.0465568)",,
368236981,,residential,,False,False,59.629,"LINESTRING (-82.5687495 23.0466894, -82.5685607 23.0468684, -82.5682506 23.0468973)",,
"[1117642994, 385062271]",,residential,,False,True,127.55699999999999,"LINESTRING (-82.5687495 23.0466894, -82.5688701 23.0467444, -82.5690306 23.0468055, -82.5691375 23.0468132, -82.5692222 23.0467911, -82.5693618 23.0465282, -82.5689671 23.0463829)",,
368236991,5ta,residential,,False,True,53.04,"LINESTRING (-82.5683801 23.0465568, -82.568886 23.0464528)",,
385062271,,residential,,False,True,40.571,"LINESTRING (-82.5683801 23.0465568, -82.5687495 23.0466894)",,
368236991,5ta,residential,,False,False,86.761,"LINESTRING (-82.5683801 23.0465568, -82.5681312 23.046604, -82.5679576 23.0466369, -82.5679158 23.0466448, -82.5675496 23.0467142)",,
955936936,Carretera Panamericana,trunk,80,True,False,32.965,"LINESTRING (-82.5673596 23.0443584, -82.5676406 23.0442134)",2,CN
603014264,,trunk_link,,True,False,62.366,"LINESTRING (-82.5673596 23.0443584, -82.5675345 23.0443249, -82.5676833 23.0443366, -82.5679621 23.0443725)",,
603014308,,residential,,False,True,42.228,"LINESTRING (-82.570611 23.0436184, -82.5706186 23.0439981)",,
368236989,,residential,,False,False,25.71,"LINESTRING (-82.5706186 23.0439981, -82.5703886 23.043905)",,
603014308,,residential,,False,False,42.228,"LINESTRING (-82.5706186 23.0439981, -82.570611 23.0436184)",,
"[984864772, 368236989]",,residential,,False,True,68.52,"LINESTRING (-82.5706186 23.0439981, -82.570745 23.0440428, -82.5705551 23.0445023)",,
368236981,,residential,,False,True,59.629,"LINESTRING (-82.5682506 23.0468973, -82.5685607 23.0468684, -82.5687495 23.0466894)",,
984556500,5ta,tertiary,50,False,False,7.847,"LINESTRING (-82.5675963 23.0441558, -82.5676406 23.0442134)",,
"[1075270267, 984556518]",Carretera Panamericana,trunk,80,True,False,324.261,"LINESTRING (-82.5675963 23.0441558, -82.5675106 23.0441981, -82.5674851 23.0442112, -82.5668331 23.0445464, -82.5649566 23.0455146, -82.5648325 23.0455825)",2,CN
368236958,,residential,,False,True,7.217,"LINESTRING (-82.5648325 23.0455825, -82.5648687 23.0456382)",,
