osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry,width
364622837,True,Mayía Rodríguez (Reloj),tertiary,50,False,77.883,,"LINESTRING (-75.8249607 20.0254973, -75.8250806 20.024806)",
38905642,True,Gral. Portuondo (Trinidad),tertiary,30,False,51.133,,"LINESTRING (-75.8254497 20.0255169, -75.8249607 20.0254973)",
38905643,True,Juan Bautista Sagarra (San Francisco),tertiary,50,False,185.326,,"LINESTRING (-75.8256772 20.0244013, -75.8274434 20.0242461)",
691674814,True,Porfirio Valiente (Calvario),tertiary,50,False,44.652,,"LINESTRING (-75.8256772 20.0244013, -75.8256008 20.0247964)",
581400702,False,Avenida Jesús Menéndez,primary,50,False,47.554,4,"LINESTRING (-75.8342221 20.0253976, -75.834113 20.0258128)",
691674817,True,Bartolomé Masó (San Basilio),residential,,False,129.675,,"LINESTRING (-75.8268891 20.0204765, -75.8256489 20.0204297)",
857582836,True,Porfirio Valiente (Calvario),tertiary,40,False,63.085,,"LINESTRING (-75.8268891 20.0204765, -75.8268088 20.0210388)",
690242499,True,Hartmann (San Félix),residential,,False,66.889,,"LINESTRING (-75.8285656 20.020495, -75.8286209 20.0198957)",
690242501,True,Bartolomé Masó (San Basilio),residential,,False,88.777,,"LINESTRING (-75.8285656 20.020495, -75.8277163 20.0204693)",
49724194,True,Francisco Vicente Aguilera (Marina),secondary,40,False,105.495,,"LINESTRING (-75.8336999 20.0216881, -75.8327033 20.0218408)",
608357602,True,Peralejo (Factoría),residential,,False,26.42,,"LINESTRING (-75.8336999 20.0216881, -75.8337773 20.0214619)",
689135332,True,José María Heredia (Catedral),residential,,False,6.059,,"LINESTRING (-75.8291707 20.0210969, -75.8292089 20.0211379)",
38943614,True,Bartolomé Masó (San Basilio),residential,,False,66.612,,"LINESTRING (-75.8305029 20.0205715, -75.8298655 20.020557)",
89957509,True,Bartolomé Masó (San Basilio),residential,,False,134.257,,"LINESTRING (-75.8305029 20.0205715, -75.8308773 20.0205778, -75.8317879 20.0205768)",
742339012,True,Mariano Corona (San Juan Nepomuceno),tertiary,50,False,78.601,,"LINESTRING (-75.8305029 20.0205715, -75.830438 20.0201548, -75.8304285 20.0198692)",
581400701,True,Francisco Vicente Aguilera (Marina),secondary,40,False,72.554,1,"LINESTRING (-75.8304567 20.0218301, -75.8297637 20.0217877)",6
742339011,True,Mariano Corona (San Juan Nepomuceno),tertiary,40,False,70.527,,"LINESTRING (-75.8304567 20.0218301, -75.8304772 20.0215136, -75.8304977 20.021197)",
778096225,True,Francisco Vicente Aguilera (Marina),secondary,40,False,69.843,,"LINESTRING (-75.8291628 20.0217469, -75.8284957 20.0217061)",6
"[778096224, 830895793]",True,Gral. Lacret (San Pedro),tertiary,40,False,169.849,,"LINESTRING (-75.8291628 20.0217469, -75.829091 20.0224062, -75.8290313 20.0228544, -75.8289985 20.0232663)",
690242499,True,Hartmann (San Félix),residential,,False,63.993,,"LINESTRING (-75.8285277 20.0210694, -75.8285656 20.020495)",
830895792,True,José María Heredia (Catedral),residential,,False,67.247,,"LINESTRING (-75.8285277 20.0210694, -75.8291707 20.0210969)",
689135327,True,Bartolomé Masó (San Basilio),residential,,False,69.898,,"LINESTRING (-75.8298655 20.020557, -75.8291973 20.0205256)",
830895794,True,Félix Peña (Santo Tomás),tertiary,40,False,67.941,,"LINESTRING (-75.8298655 20.020557, -75.8298314 20.0209264, -75.8298079 20.0211656)",6
778096223,True,Francisco Vicente Aguilera (Marina),secondary,40,False,62.947,2,"LINESTRING (-75.8297637 20.0217877, -75.8294795 20.021765, -75.8291628 20.0217469)",8
432764925,True,Juan Bautista Sagarra (San Francisco),tertiary,50,False,80.978,,"LINESTRING (-75.8295624 20.0240591, -75.8303189 20.0239005)",
689135330,True,Félix Pena (Santo Tomás),residential,,False,89.634,,"LINESTRING (-75.8295624 20.0240591, -75.8296467 20.0232569)",
38905642,True,Gral. Portuondo (Trinidad),tertiary,30,False,66.547,,"LINESTRING (-75.8294031 20.0257439, -75.8287671 20.0257107)",
38915339,True,Félix Pena (Santo Tomás),tertiary,50,False,116.92,,"LINESTRING (-75.8294031 20.0257439, -75.8294942 20.0246959)",
738675533,True,Gral. Lacret (San Pedro),tertiary,40,False,97.421,,"LINESTRING (-75.8289985 20.0232663, -75.8289126 20.0241387)",
773860792,True,Sánchez Hechavarría (San Jerónimo),residential,,False,59.754,,"LINESTRING (-75.8289985 20.0232663, -75.8284297 20.0233226)",
38905643,True,Juan Bautista Sagarra (San Francisco),tertiary,50,False,68.461,,"LINESTRING (-75.8289126 20.0241387, -75.8295624 20.0240591)",
689700294,True,Gral. Lacret (San Pedro),tertiary,50,False,62.951,,"LINESTRING (-75.8289126 20.0241387, -75.8288604 20.0247027)",
38905642,True,Gral. Portuondo (Trinidad),tertiary,30,False,37.44,,"LINESTRING (-75.8287671 20.0257107, -75.828409 20.0256976)",
38905642,True,Gral. Portuondo (Trinidad),tertiary,30,False,69.422,,"LINESTRING (-75.828409 20.0256976, -75.827746 20.0256557)",
38915274,True,Hartmann (San Félix),residential,,False,110.3,,"LINESTRING (-75.828409 20.0256976, -75.8284327 20.0247059)",
38915274,True,Hartmann (San Félix),residential,,False,95.878,,"LINESTRING (-75.82844 20.0241848, -75.8284297 20.0233226)",
38905643,True,Juan Bautista Sagarra (San Francisco),tertiary,50,False,49.655,,"LINESTRING (-75.82844 20.0241848, -75.8286727 20.0241564, -75.8289126 20.0241387)",
183286481,True,Francisco Vicente Aguilera (Marina),secondary,50,False,106.877,2,"LINESTRING (-75.8284957 20.0217061, -75.8274751 20.0216404)",
690242500,True,Hartmann (San Félix),residential,,False,70.877,,"LINESTRING (-75.8284957 20.0217061, -75.8285277 20.0210694)",
38905642,True,Gral. Portuondo (Trinidad),tertiary,30,False,46.965,,"LINESTRING (-75.8302883 20.0258298, -75.8298418 20.0257807)",
432764928,True,Mariano Corona (San Juan Nepomuceno),residential,,False,129.499,,"LINESTRING (-75.8302883 20.0258298, -75.8302906 20.0253569, -75.8302917 20.0246652)",
38905642,True,Gral. Portuondo (Trinidad),tertiary,30,False,79.233,,"LINESTRING (-75.8311738 20.0258982, -75.8304172 20.0258489)",
38915478,True,Morúa Delgado (Rastro),residential,,False,61.146,,"LINESTRING (-75.8311738 20.0258982, -75.8312388 20.0253517)",
38915515,True,10 de Octubre (Gallo),residential,,False,60.073,,"LINESTRING (-75.8325067 20.0244071, -75.8323663 20.024931)",
432764926,True,Juan Bautista Sagarra (San Francisco),tertiary,50,False,84.35,,"LINESTRING (-75.8325067 20.0244071, -75.8332663 20.0246642)",
38915515,True,10 de Octubre (Gallo),residential,,False,50.126,,"LINESTRING (-75.8323663 20.024931, -75.8322416 20.0253663)",
47701785,True,Gral. Máximo Gómez (San Germán),residential,,False,81.033,,"LINESTRING (-75.8323663 20.024931, -75.8331175 20.0251125)",
38915339,True,Félix Pena (Santo Tomás),tertiary,50,False,71.167,,"LINESTRING (-75.8294942 20.0246959, -75.8295624 20.0240591)",
47701785,True,Gral. Máximo Gómez (San Germán),residential,,False,35.883,,"LINESTRING (-75.8294942 20.0246959, -75.8298376 20.0246897)",
38933464,True,Peralejo (Factoría),residential,,False,50.596,,"LINESTRING (-75.8334314 20.0251864, -75.8335789 20.024753)",
47701785,True,Gral. Máximo Gómez (San Germán),residential,,False,85.88,,"LINESTRING (-75.8334314 20.0251864, -75.8342221 20.0253976)",
47701785,True,Gral. Máximo Gómez (San Germán),residential,,False,66.219,,"LINESTRING (-75.8288604 20.0247027, -75.8294942 20.0246959)",
689700294,True,Gral. Lacret (San Pedro),tertiary,50,False,112.508,,"LINESTRING (-75.8288604 20.0247027, -75.8287671 20.0257107)",
38915274,True,Hartmann (San Félix),residential,,False,57.949,,"LINESTRING (-75.8284327 20.0247059, -75.82844 20.0241848)",
47701785,True,Gral. Máximo Gómez (San Germán),residential,,False,44.684,,"LINESTRING (-75.8284327 20.0247059, -75.8288604 20.0247027)",
38933845,True,José María Heredia (Catedral),residential,,False,79.07,,"LINESTRING (-75.8268088 20.0210388, -75.8275656 20.0210448)",
857582836,True,Porfirio Valiente (Calvario),tertiary,40,False,73.378,,"LINESTRING (-75.8268088 20.0210388, -75.8267227 20.0212896, -75.8265785 20.0216621)",
691674815,True,Francisco Vicente Aguilera (Marina),secondary,50,False,84.844,2,"LINESTRING (-75.8265785 20.0216621, -75.8257664 20.0216627)",
738675531,True,Porfirio Valiente (Calvario),tertiary,40,False,234.998,,"LINESTRING (-75.8265785 20.0216621, -75.826413 20.0219653, -75.8262515 20.0223396, -75.8259489 20.0232014, -75.8258329 20.0236496)",
689700296,True,Sánchez Hechavarría (San Jerónimo),residential,,False,62.877,,"LINESTRING (-75.8258329 20.0236496, -75.8252325 20.0236888)",
738675531,True,Porfirio Valiente (Calvario),tertiary,40,False,85.153,,"LINESTRING (-75.8258329 20.0236496, -75.8256772 20.0244013)",
