osmid,highway,oneway,reversed,length,geometry,bridge,maxspeed,lanes,ref,name
823007686,tertiary,False,False,81.535,"LINESTRING (-84.2034507 22.0802325, -84.203118 22.0795672)",,,,,
109963703,residential,False,True,189.47,"LINESTRING (-84.2034507 22.0802325, -84.2035453 22.0802616, -84.2037578 22.0802641, -84.2038278 22.0802648, -84.2040658 22.0802674, -84.2052349 22.0802798, -84.2052843 22.0802804)",,,,,
"[823007685, 909187084, 909187085]",tertiary,False,False,330.896,"LINESTRING (-84.2034507 22.0802325, -84.2034144 22.0803039, -84.2033735 22.0803844, -84.2033418 22.0804467, -84.2032615 22.0806317, -84.2031224 22.0809522, -84.2030532 22.0811115, -84.2028833 22.0814871, -84.2028283 22.0816089, -84.2027888 22.0816963, -84.2025362 22.0822332, -84.2024806 22.0823674, -84.2024074 22.0824929, -84.2023197 22.082579, -84.2021758 22.0826704, -84.2020682 22.0827078, -84.2019316 22.0827363)",yes,,,,
556031470,secondary,False,False,80.967,"LINESTRING (-84.203118 22.0795672, -84.2027936 22.078904)",,50,,,
823007686,tertiary,False,True,81.535,"LINESTRING (-84.203118 22.0795672, -84.2034507 22.0802325)",,,,,
109963707,residential,False,True,190.414,"LINESTRING (-84.203118 22.0795672, -84.2037283 22.079133, -84.2048064 22.0791612)",,,,,
"[377196067, 909187086, 909187087]",secondary,False,True,36.391999999999996,"LINESTRING (-84.203118 22.0795672, -84.2030608 22.0795948, -84.2029964 22.0796258, -84.2028519 22.0796955, -84.2027995 22.0797041)",yes,50,,,
823007685,tertiary,False,True,8.129,"LINESTRING (-84.2018528 22.0827399, -84.2019316 22.0827363)",,,,,
109827188,residential,False,False,336.58099999999996,"LINESTRING (-84.2018528 22.0827399, -84.2018397 22.0823394, -84.2018487 22.0816843, -84.2018428 22.0810632, -84.2018575 22.0804268, -84.2018504 22.0797134)",,,,,
909187089,tertiary,False,True,83.61,"LINESTRING (-84.2018528 22.0827399, -84.2018324 22.083386, -84.2018291 22.0834915)",,,,,
969443200,residential,False,False,202.516,"LINESTRING (-84.2018528 22.0827399, -84.2012574 22.0827279, -84.2008943 22.0827282, -84.2001607 22.0827245, -84.1998875 22.0827231)",,,,,
109827187,secondary,False,False,254.763,"LINESTRING (-84.1998875 22.0827231, -84.1998935 22.0823314, -84.1999031 22.0817164, -84.1999136 22.0810395, -84.1999156 22.0809098, -84.1999227 22.0804322)",,50,,,
969443200,residential,False,True,202.51600000000002,"LINESTRING (-84.1998875 22.0827231, -84.2001607 22.0827245, -84.2008943 22.0827282, -84.2012574 22.0827279, -84.2018528 22.0827399)",,,,,
109827185,secondary,False,False,80.481,"LINESTRING (-84.1999347 22.0796763, -84.2002715 22.0796828, -84.2007156 22.0796914)",,50,,,
109827187,secondary,False,True,84.06099999999999,"LINESTRING (-84.1999347 22.0796763, -84.1999262 22.0802269, -84.1999227 22.0804322)",,50,,,
109827188,residential,False,False,10.12,"LINESTRING (-84.2018504 22.0797134, -84.2018486 22.0796224)",,,,,
109827188,residential,False,True,336.581,"LINESTRING (-84.2018504 22.0797134, -84.2018575 22.0804268, -84.2018428 22.0810632, -84.2018487 22.0816843, -84.2018397 22.0823394, -84.2018528 22.0827399)",,,,,
377196066,secondary,True,False,97.94200000000001,"LINESTRING (-84.2018504 22.0797134, -84.2025385 22.0797236, -84.2027239 22.0797165, -84.2027995 22.0797041)",,50,,,
109827187,secondary,False,False,84.06099999999999,"LINESTRING (-84.1999227 22.0804322, -84.1999262 22.0802269, -84.1999347 22.0796763)",,50,,,
