osmid,highway,oneway,reversed,length,name,geometry,ref,maxspeed
88388411,residential,False,False,4.653,,"LINESTRING (-83.7283142 22.7740495, -83.72832 22.774008)",,
88388411,residential,False,True,36.343,,"LINESTRING (-83.7283142 22.7740495, -83.7283303 22.774376)",,
88388420,residential,False,False,126.793,La Marina,"LINESTRING (-83.7283142 22.7740495, -83.7271394 22.7744057)",,
88388421,residential,False,False,164.952,Juan Manuel Marquez,"LINESTRING (-83.7305083 22.7710768, -83.7302186 22.772536)",,
88388421,residential,False,True,46.527,Juan Manuel Marquez,"LINESTRING (-83.7305083 22.7710768, -83.7305719 22.7706625)",,
88388792,residential,False,False,59.529,,"LINESTRING (-83.7305083 22.7710768, -83.7299289 22.7710422)",,
88388792,residential,False,True,84.478,,"LINESTRING (-83.7305083 22.7710768, -83.731326 22.7711702)",,
88388413,residential,False,False,78.675,Calle 13 de Marzo,"LINESTRING (-83.7291722 22.77345, -83.7284108 22.773362)",,
88388413,residential,False,True,10.509,Calle 13 de Marzo,"LINESTRING (-83.7291722 22.77345, -83.7292739 22.7734618)",,
88388422,residential,False,True,127.03099999999999,Pelayo Cuervo,"LINESTRING (-83.7291722 22.77345, -83.7291779 22.7731889, -83.7292852 22.7728328, -83.7294461 22.7723431)",,
88388411,residential,False,False,36.343,,"LINESTRING (-83.7283303 22.774376, -83.7283142 22.7740495)",,
88388419,residential,False,False,67.537,Comandante Pinares,"LINESTRING (-83.7316892 22.767479, -83.731034 22.7674165)",,
88389117,residential,False,True,73.204,Comandante Pinares,"LINESTRING (-83.7316892 22.767479, -83.7324019 22.7675183)",,
359869066,secondary,False,False,148.31,Frank Pais,"LINESTRING (-83.7316892 22.767479, -83.7316142 22.7683307, -83.7315721 22.7688084)",1-201,50
88388789,residential,False,False,78.301,Hermanos Caballeros,"LINESTRING (-83.7314467 22.7699789, -83.7306853 22.7699243)",,
88388789,residential,False,True,28.86,Hermanos Caballeros,"LINESTRING (-83.7314467 22.7699789, -83.7317269 22.7700036)",,
359869066,secondary,False,False,133.044,Frank Pais,"LINESTRING (-83.7314467 22.7699789, -83.731326 22.7711702)",1-201,50
359869066,secondary,False,True,130.787,Frank Pais,"LINESTRING (-83.7314467 22.7699789, -83.7315721 22.7688084)",1-201,50
88388414,residential,False,False,80.903,Calle Ameijeira,"LINESTRING (-83.7294461 22.7723431, -83.7286736 22.7721947)",,
88388414,residential,False,True,82.055,Calle Ameijeira,"LINESTRING (-83.7294461 22.7723431, -83.7302186 22.772536)",,
88388422,residential,False,False,127.03099999999999,Pelayo Cuervo,"LINESTRING (-83.7294461 22.7723431, -83.7292852 22.7728328, -83.7291779 22.7731889, -83.7291722 22.77345)",,
88388422,residential,False,True,152.89100000000002,Pelayo Cuervo,"LINESTRING (-83.7294461 22.7723431, -83.7296607 22.7717545, -83.7299289 22.7710422)",,
88388421,residential,False,False,6.278,Juan Manuel Marquez,"LINESTRING (-83.7306853 22.7699243, -83.7306767 22.7699802)",,
88388789,residential,False,True,78.301,Hermanos Caballeros,"LINESTRING (-83.7306853 22.7699243, -83.7314467 22.7699789)",,
88388421,residential,False,True,86.399,Juan Manuel Marquez,"LINESTRING (-83.7306853 22.7699243, -83.730755 22.7696276, -83.7307604 22.7693654, -83.7307696 22.7691544)",,
88388422,residential,False,False,56.031,Pelayo Cuervo,"LINESTRING (-83.7300577 22.7705525, -83.7299289 22.7710422)",,
88388461,residential,False,False,93.867,,"LINESTRING (-83.7300577 22.7705525, -83.7292047 22.7702459)",,
