osmid,name,highway,oneway,reversed,length,ref,maxspeed,geometry,tunnel
179792828,José María Moreno,tertiary,False,False,106.783,,,"LINESTRING (-58.6490673 -34.7721272, -58.6499548 -34.7727523)",
441850538,Avenida Presidente Néstor Carlos Kirchner,secondary,False,False,8.137,RP21,60,"LINESTRING (-58.6490673 -34.7721272, -58.6490599 -34.7721217, -58.6489884 -34.7720939)",
238559327,Avenida Juan Bautista Lasalle,primary,True,False,107.677,RP21,,"LINESTRING (-58.6532319 -34.7685353, -58.6524385 -34.7692515)",
587801184,José León Larre,residential,False,True,103.863,,40,"LINESTRING (-58.6498976 -34.7714616, -58.6506865 -34.7721343)",
671092629,José León Larre,residential,True,False,9.928,,40,"LINESTRING (-58.6498976 -34.7714616, -58.6498207 -34.7713985)",
666008795,Avenida Juan Bautista Lasalle,primary,True,False,105.968,RP21,,"LINESTRING (-58.6498976 -34.7714616, -58.6491461 -34.772064, -58.6490673 -34.7721272)",
583407706,Avenida Presidente Néstor Carlos Kirchner,secondary,False,False,17.618,RP21,60,"LINESTRING (-58.6443477 -34.7687556, -58.6442114 -34.7686435)",
83591072,Cepeda,tertiary,False,False,135.334,,,"LINESTRING (-58.6443477 -34.7687556, -58.6436767 -34.769378, -58.6436487 -34.7694039, -58.6436178 -34.7694326, -58.6435479 -34.7694974, -58.6433527 -34.7696569)",
667291754,Avenida Presidente Néstor Carlos Kirchner,secondary,False,True,101.239,RP21,60,"LINESTRING (-58.6443477 -34.7687556, -58.6446173 -34.7689592, -58.6451643 -34.7693712)",
545394722,Coronel Conde,tertiary,True,False,115.404,,40,"LINESTRING (-58.6429012 -34.765636, -58.6437979 -34.7649049)",
83460249,Sanabria,residential,True,False,106.557,,40,"LINESTRING (-58.6471739 -34.7648472, -58.6463538 -34.7655287)",
128676960,R. Martínez,residential,True,False,107.399,,40,"LINESTRING (-58.6471739 -34.7648472, -58.6480045 -34.7655308)",
83460250,Juan Pío Gana,residential,True,False,116.604,,40,"LINESTRING (-58.6444956 -34.7654725, -58.6435932 -34.7662142)",
141427031,Maestra Concepción Valle,tertiary,True,False,23.452,,40,"LINESTRING (-58.6444956 -34.7654725, -58.6446727 -34.7656252)",
83460256,José Equiza,residential,True,False,90.196,,40,"LINESTRING (-58.6522144 -34.7665127, -58.6515215 -34.7670906)",
648300573,Leones,residential,True,False,115.944,,40,"LINESTRING (-58.6522144 -34.7665127, -58.6531011 -34.7672588)",
83460204,Doctor Enrique Simón Pérez,residential,True,False,107.561,,40,"LINESTRING (-58.6507335 -34.7691868, -58.6515698 -34.7685058)",
83460258,Coronel Melián,residential,True,False,110.034,,40,"LINESTRING (-58.6507335 -34.7691868, -58.6515781 -34.7698924)",
141427031,Maestra Concepción Valle,tertiary,True,False,89.695,,40,"LINESTRING (-58.6437979 -34.7649049, -58.6444956 -34.7654725)",
83460207,Castañares,residential,True,False,106.837,,40,"LINESTRING (-58.6488964 -34.7662822, -58.6480637 -34.7669569)",
128676960,R. Martínez,residential,True,False,114.949,,40,"LINESTRING (-58.6488964 -34.7662822, -58.6497813 -34.7670172)",
83460204,Doctor Enrique Simón Pérez,residential,True,False,118.484,,40,"LINESTRING (-58.6480013 -34.7714117, -58.6489225 -34.7706615)",
"[529088161, 49155882]",Avenida Presidente Néstor Carlos Kirchner,secondary,False,False,113.715,RP21,60,"LINESTRING (-58.6480013 -34.7714117, -58.6477296 -34.7712181, -58.6476832 -34.771185, -58.6470621 -34.7707404)",
"[529088161, 529088162]",Avenida Presidente Néstor Carlos Kirchner,secondary,False,True,117.837,RP21,60,"LINESTRING (-58.6480013 -34.7714117, -58.6482843 -34.7716146, -58.648331 -34.7716482, -58.6489884 -34.7720939)",
436796792,Cepeda,residential,True,False,149.219,,40,"LINESTRING (-58.6442114 -34.7686435, -58.6453805 -34.7677062)",
583407706,Avenida Presidente Néstor Carlos Kirchner,secondary,False,False,76.562,RP21,60,"LINESTRING (-58.6442114 -34.7686435, -58.6436201 -34.7681555)",
583407706,Avenida Presidente Néstor Carlos Kirchner,secondary,False,True,17.618,RP21,60,"LINESTRING (-58.6442114 -34.7686435, -58.6443477 -34.7687556)",
83460204,Doctor Enrique Simón Pérez,residential,True,False,90.613,,40,"LINESTRING (-58.6523966 -34.7678325, -58.6531011 -34.7672588)",
128676961,General Pacheco,residential,True,False,99.49,,40,"LINESTRING (-58.6523966 -34.7678325, -58.6531575 -34.7684727)",
83460204,Doctor Enrique Simón Pérez,residential,True,False,106.343,,40,"LINESTRING (-58.6515698 -34.7685058, -58.6523966 -34.7678325)",
128676960,R. Martínez,residential,True,False,104.238,,40,"LINESTRING (-58.6515698 -34.7685058, -58.6523603 -34.7691819)",
83460207,Castañares,residential,True,False,109.68,,40,"LINESTRING (-58.6497512 -34.7655895, -58.6488964 -34.7662822)",
128676961,General Pacheco,residential,True,False,113.949,,40,"LINESTRING (-58.6497512 -34.7655895, -58.6506192 -34.7663255)",
83460204,Doctor Enrique Simón Pérez,residential,True,False,114.968,,40,"LINESTRING (-58.6489225 -34.7706615, -58.6498164 -34.7699336)",
671092629,José León Larre,residential,True,False,116.988,,40,"LINESTRING (-58.6489225 -34.7706615, -58.6480239 -34.7699118)",
128676956,Coronel Monasterio,residential,False,False,117.914,,,"LINESTRING (-58.6520658 -34.7651266, -58.6529731 -34.7658809)",
436796792,Cepeda,residential,True,False,117.051,,40,"LINESTRING (-58.6453805 -34.7677062, -58.6463028 -34.7669754)",
436796793,José León Larre,residential,True,False,114.529,,40,"LINESTRING (-58.6453805 -34.7677062, -58.644504 -34.7669697)",
83460256,José Equiza,residential,True,False,107.671,,40,"LINESTRING (-58.6515215 -34.7670906, -58.6506766 -34.7677658)",
128676961,General Pacheco,residential,True,False,114.87,,40,"LINESTRING (-58.6515215 -34.7670906, -58.6523966 -34.7678325)",
141427031,Maestra Concepción Valle,tertiary,True,False,105.461,,40,"LINESTRING (-58.6454971 -34.7662961, -58.64621 -34.7668983, -58.6463028 -34.7669754)",
