osmid,oneway,lanes,name,highway,reversed,length,geometry,maxspeed
349902496,True,2,General Güemes,residential,False,119.4,"LINESTRING (-64.9740925 -25.8002612, -64.9751795 -25.7998193)",
131015811,True,2,Salta,residential,False,119.469,"LINESTRING (-64.9746272 -25.8012997, -64.9735362 -25.8017351)",
131016114,True,2,Melchor Figueroa de Cornejo,residential,False,127.28,"LINESTRING (-64.9746272 -25.8012997, -64.9740925 -25.8002612)",
131015810,True,2,Tucumán,residential,False,117.096,"LINESTRING (-64.9751521 -25.8023302, -64.9762156 -25.8018918)",
131016114,True,2,Melchor Figueroa de Cornejo,residential,False,126.061,"LINESTRING (-64.9751521 -25.8023302, -64.9746272 -25.8012997)",
131015590,False,2,9 de Julio,residential,False,65.289,"LINESTRING (-64.9743459 -25.7953713, -64.9740943 -25.7948296)",
131015590,False,2,9 de Julio,residential,True,58.097,"LINESTRING (-64.9743459 -25.7953713, -64.9745817 -25.7958487)",
250641552,False,2,Mitre,residential,True,84.919,"LINESTRING (-64.9743459 -25.7953713, -64.9735719 -25.7956837)",
"[250641552, 349916017]",False,2,"['Avellaneda', 'Mitre']",residential,"[False, True]",172.016,"LINESTRING (-64.9743459 -25.7953713, -64.9753855 -25.7949604, -64.9756346 -25.7954348)",
131016114,True,2,Melchor Figueroa de Cornejo,residential,False,120.311,"LINESTRING (-64.9721499 -25.7962578, -64.9716678 -25.7952667)",
131016293,False,2,Mitre,residential,False,93.669,"LINESTRING (-64.9721499 -25.7962578, -64.9730036 -25.7959131)",
131016293,False,2,Mitre,residential,True,120.704,"LINESTRING (-64.9721499 -25.7962578, -64.9710462 -25.7966947)",
131015747,True,2,25 de Mayo,residential,False,125.588,"LINESTRING (-64.9710462 -25.7966947, -64.9715529 -25.7977279)",
131016293,False,2,Mitre,residential,False,120.704,"LINESTRING (-64.9710462 -25.7966947, -64.9721499 -25.7962578)",
131016293,False,2,Mitre,residential,True,126.083,"LINESTRING (-64.9710462 -25.7966947, -64.9699008 -25.7971661)",
131016293,False,2,Mitre,residential,False,126.083,"LINESTRING (-64.9699008 -25.7971661, -64.9710462 -25.7966947)",
349902497,True,2,20 de Febrero,residential,False,119.87,"LINESTRING (-64.9699008 -25.7971661, -64.969413 -25.7961816)",
131016741,False,,Paraná,residential,False,121.56,"LINESTRING (-64.9765638 -25.7956847, -64.9770774 -25.7966753)",
799015857,True,2,Figueroa Alcorta,residential,False,72.225,"LINESTRING (-64.9765638 -25.7956847, -64.9759054 -25.7959502)",
"[131016741, 250655126]",False,,Paraná,residential,True,71.189,"LINESTRING (-64.9765638 -25.7956847, -64.9764607 -25.7954234, -64.976525 -25.7953123, -64.9765921 -25.7952495, -64.9767243 -25.7951574)",
131015590,False,2,9 de Julio,residential,False,58.097,"LINESTRING (-64.9745817 -25.7958487, -64.9743459 -25.7953713)",
131015590,False,2,9 de Julio,residential,True,66.185,"LINESTRING (-64.9745817 -25.7958487, -64.9748426 -25.7963956)",
131016733,False,,,residential,True,115.02,"LINESTRING (-64.9745817 -25.7958487, -64.9756346 -25.7954348)",
250655129,False,,,residential,True,109.517,"LINESTRING (-64.9780766 -25.7962744, -64.9770774 -25.7966753)",
131016736,False,2,Alvarado,residential,False,69.079,"LINESTRING (-64.9775641 -25.7976552, -64.9769396 -25.7979194)",
131016741,False,,Paraná,residential,True,119.358,"LINESTRING (-64.9775641 -25.7976552, -64.9770774 -25.7966753)",
203405566,False,,,residential,False,161.35700000000003,"LINESTRING (-64.9775641 -25.7976552, -64.9777579 -25.7975792, -64.9779941 -25.7974804, -64.9781348 -25.7974053, -64.9782132 -25.7973384, -64.978253 -25.7972646, -64.9784055 -25.7969402, -64.9786055 -25.796643)",
250662699,False,,Paraná,residential,False,12.956,"LINESTRING (-64.9785987 -25.7984972, -64.9785457 -25.7983909)",
250662699,False,,Paraná,residential,True,56.971,"LINESTRING (-64.9785987 -25.7984972, -64.9788318 -25.7989646)",
112631011,True,,Güemes,residential,False,126.723,"LINESTRING (-64.9785987 -25.7984972, -64.9775407 -25.7989305, -64.9774385 -25.7989158)",
250662699,False,,Paraná,residential,False,56.971,"LINESTRING (-64.9788318 -25.7989646, -64.9785987 -25.7984972)",
349916019,False,2,Avellaneda,residential,False,61.559,"LINESTRING (-64.9782038 -25.8004441, -64.9779511 -25.7999394)",
349916019,False,2,Avellaneda,residential,True,62.617,"LINESTRING (-64.9782038 -25.8004441, -64.9784608 -25.8009575)",
