osmid,oneway,name,highway,maxspeed,reversed,length,lanes,geometry
28924436,True,821 - San Lorenzo,residential,40,False,113.177,,"LINESTRING (-58.5808702 -34.5805877, -58.5817074 -34.5813366)"
28924382,False,819 - Blas Parera,tertiary,,False,109.1,2,"LINESTRING (-58.5844343 -34.5846316, -58.5836519 -34.5838915)"
28924382,False,819 - Blas Parera,tertiary,,True,133.002,2,"LINESTRING (-58.5844343 -34.5846316, -58.5854276 -34.5855045)"
182955116,False,818 - Campo de Mayo,tertiary,,False,69.324,,"LINESTRING (-58.5844343 -34.5846316, -58.5849898 -34.5842079)"
182955116,False,818 - Campo de Mayo,tertiary,,True,76.242,,"LINESTRING (-58.5844343 -34.5846316, -58.5838278 -34.5851015)"
28838554,False,808 - Martín Miguens,residential,,False,87.055,,"LINESTRING (-58.5803981 -34.5809527, -58.5797146 -34.581497)"
28838554,False,808 - Martín Miguens,residential,,True,59.29,,"LINESTRING (-58.5803981 -34.5809527, -58.5808702 -34.5805877)"
28924382,False,819 - Blas Parera,tertiary,,False,108.627,2,"LINESTRING (-58.5803981 -34.5809527, -58.5796147 -34.580219)"
28924382,False,819 - Blas Parera,tertiary,,True,111.926,2,"LINESTRING (-58.5803981 -34.5809527, -58.5812205 -34.5816975)"
46154398,True,102 - San Lorenzo,residential,40,False,125.429,,"LINESTRING (-58.5780113 -34.5787417, -58.5770813 -34.5779134)"
28778244,False,800 - Triunvirato (TF) / 141 - Avenida Triunvirato (GSM),secondary,,False,105.371,2,"LINESTRING (-58.5780113 -34.5787417, -58.5781114 -34.5786611, -58.578834 -34.578079)"
28778244,False,800 - Triunvirato (TF) / 141 - Avenida Triunvirato (GSM),secondary,,True,99.428,2,"LINESTRING (-58.5780113 -34.5787417, -58.5779037 -34.5788254, -58.5772219 -34.5793558)"
1064111831,False,819 - Blas Parera,tertiary,,True,111.189,2,"LINESTRING (-58.5780113 -34.5787417, -58.5781049 -34.5788271, -58.5788249 -34.5794841)"
28838718,False,814 - Hilario Ascasubi,residential,,False,108.904,,"LINESTRING (-58.5833532 -34.5827667, -58.5841857 -34.5820671)"
28838718,False,814 - Hilario Ascasubi,residential,,True,63.585,,"LINESTRING (-58.5833532 -34.5827667, -58.5828381 -34.5831503)"
28924436,True,821 - San Lorenzo,residential,40,False,108.553,,"LINESTRING (-58.5833532 -34.5827667, -58.5841642 -34.5834789)"
28838637,True,810 - Martín Fierro,residential,,False,109.414,,"LINESTRING (-58.5817074 -34.5813366, -58.5825616 -34.5806484)"
28924436,True,821 - San Lorenzo,residential,40,False,110.058,,"LINESTRING (-58.5817074 -34.5813366, -58.5825387 -34.5820516)"
28838554,False,808 - Martín Miguens,residential,,False,27.471,,"LINESTRING (-58.5810814 -34.5804122, -58.5808702 -34.5805877)"
28838554,False,808 - Martín Miguens,residential,,True,80.006,,"LINESTRING (-58.5810814 -34.5804122, -58.5817147 -34.5799164)"
28924440,False,821 - San Lorenzo,residential,40,True,108.238,,"LINESTRING (-58.5810814 -34.5804122, -58.5802712 -34.5797033)"
28924440,False,821 - San Lorenzo,residential,40,False,109.451,,"LINESTRING (-58.5794568 -34.5789827, -58.5802712 -34.5797033)"
1064111744,False,821 - San Lorenzo,residential,40,True,115.537,,"LINESTRING (-58.5794568 -34.5789827, -58.578834 -34.578079)"
1064111745,False,802 - La Cautiva,residential,40,True,78.708,,"LINESTRING (-58.5794568 -34.5789827, -58.5800618 -34.5784798)"
1064111832,False,802 - La Cautiva,residential,40,False,80.344,,"LINESTRING (-58.5794568 -34.5789827, -58.5788249 -34.5794841)"
28778244,False,800 - Triunvirato (TF) / 141 - Avenida Triunvirato (GSM),secondary,,False,79.818,2,"LINESTRING (-58.578834 -34.578079, -58.5794694 -34.5775875)"
1064111744,False,821 - San Lorenzo,residential,40,False,115.537,,"LINESTRING (-58.578834 -34.578079, -58.5794568 -34.5789827)"
28778244,False,800 - Triunvirato (TF) / 141 - Avenida Triunvirato (GSM),secondary,,True,105.371,2,"LINESTRING (-58.578834 -34.578079, -58.5781114 -34.5786611, -58.5780113 -34.5787417)"
28924453,False,823 - 17 de Agosto,residential,40,False,107.767,,"LINESTRING (-58.5833556 -34.5813639, -58.5825616 -34.5806484)"
28924453,False,823 - 17 de Agosto,residential,40,True,109.038,,"LINESTRING (-58.5833556 -34.5813639, -58.5841857 -34.5820671)"
1262792801,True,812 - Santos Vega,residential,,False,106.96,,"LINESTRING (-58.5833556 -34.5813639, -58.5825387 -34.5820516)"
28924453,False,823 - 17 de Agosto,residential,40,False,113.075,,"LINESTRING (-58.5800618 -34.5784798, -58.5794694 -34.5775875)"
28924453,False,823 - 17 de Agosto,residential,40,True,112.214,,"LINESTRING (-58.5800618 -34.5784798, -58.580904 -34.579213)"
1064111745,False,802 - La Cautiva,residential,40,False,78.708,,"LINESTRING (-58.5800618 -34.5784798, -58.5794568 -34.5789827)"
1064111745,False,802 - La Cautiva,residential,40,True,108.014,,"LINESTRING (-58.5800618 -34.5784798, -58.5809269 -34.5778193)"
28778244,False,800 - Triunvirato (TF) / 141 - Avenida Triunvirato (GSM),secondary,,False,20.1,2,"LINESTRING (-58.5794694 -34.5775875, -58.579619 -34.5774552)"
28778244,False,800 - Triunvirato (TF) / 141 - Avenida Triunvirato (GSM),secondary,,True,79.818,2,"LINESTRING (-58.5794694 -34.5775875, -58.578834 -34.578079)"
28924453,False,823 - 17 de Agosto,residential,40,True,113.075,,"LINESTRING (-58.5794694 -34.5775875, -58.5800618 -34.5784798)"
543480377,False,825 - Betharram,residential,,False,109.828,,"LINESTRING (-58.5809269 -34.5778193, -58.5817558 -34.5785333)"
1064111745,False,802 - La Cautiva,residential,40,False,108.014,,"LINESTRING (-58.5809269 -34.5778193, -58.5800618 -34.5784798)"
28924529,False,825 - Betharram,residential,,False,107.85,,"LINESTRING (-58.5817558 -34.5785333, -58.5825683 -34.5792356)"
