osmid,oneway,name,highway,reversed,length,geometry,ref,lanes,maxspeed,bridge,junction
33174184,False,Avenida José María Gómez,secondary,False,166.985,"LINESTRING (-64.5394632 -32.0599928, -64.539286 -32.061487)",,,,,
178430194,False,Piedras,residential,True,104.031,"LINESTRING (-64.5394632 -32.0599928, -64.540321 -32.0605817)",,,,,
33174184,False,Avenida José María Gómez,secondary,True,64.221,"LINESTRING (-64.5392316 -32.0642735, -64.5390705 -32.0641223, -64.5390317 -32.0640454, -64.53902 -32.0639577, -64.5390317 -32.063756)",,,,,
215128489,True,Avenida José María Gómez,secondary,False,28.145000000000003,"LINESTRING (-64.5392316 -32.0642735, -64.5393435 -32.0643266, -64.5393911 -32.064342, -64.539438 -32.06435, -64.539509 -32.0643581)",,,,,
33144721,True,Córdoba,secondary,False,6.192,"LINESTRING (-64.5402197 -32.0651109, -64.5402068 -32.0651655)",RPE82,,,,
"[87537757, 568568933]",False,"['España', 'Puente Vado Viena']",residential,False,80.085,"LINESTRING (-64.5418537 -32.0645851, -64.541985 -32.0646113, -64.542664 -32.0648011)",,2,20,yes,
791446442,True,España,residential,False,25.01,"LINESTRING (-64.5418537 -32.0645851, -64.5417467 -32.0646011, -64.5416878 -32.0646136, -64.5416015 -32.0646493)",,1,20,,
33144709,False,Güemes,residential,True,169.383,"LINESTRING (-64.5394439 -32.0685848, -64.5411937 -32.0689337)",,,,,
33144709,False,Güemes,residential,False,169.383,"LINESTRING (-64.5411937 -32.0689337, -64.5394439 -32.0685848)",,,,,
93340342,False,Ramón Cárcano,residential,True,140.597,"LINESTRING (-64.5411937 -32.0689337, -64.541282 -32.0676715)",,,,,
33144718,True,9 de Julio,residential,False,116.768,"LINESTRING (-64.5387112 -32.0663709, -64.5398781 -32.0667243)",,,,,
215128487,True,Libertad,secondary,False,40.814,"LINESTRING (-64.5387112 -32.0663709, -64.5388657 -32.066028)",RPE82,,,,
33144721,True,Córdoba,secondary,False,76.931,"LINESTRING (-64.5398781 -32.0667243, -64.5397138 -32.067402)",RPE82,,,,
215147687,False,9 de Julio,residential,False,137.322,"LINESTRING (-64.5398781 -32.0667243, -64.5413028 -32.0669841)",,,,,
568586967,True,Libertad,secondary,False,24.176,"LINESTRING (-64.5394709 -32.0648061, -64.5395075 -32.0645909)",,,,,
568586969,True,Libertad,secondary,False,27.898,"LINESTRING (-64.5394709 -32.0648061, -64.5396404 -32.0646004)",RPE82,,,,
568586966,True,Avenida José María Gómez,secondary,False,34.905,"LINESTRING (-64.539509 -32.0643581, -64.5398736 -32.0644135)",,,,,
178430199,False,Libertad,residential,False,154.925,"LINESTRING (-64.5398736 -32.0644135, -64.5399378 -32.0638705, -64.5400267 -32.0630263)",,,,,
568586972,True,Avenida José María Gómez,secondary,False,48.08,"LINESTRING (-64.5398736 -32.0644135, -64.540257 -32.064408, -64.5403836 -32.0644136)",RPE82,,,,
33144723,True,Güemes,residential,False,173.475,"LINESTRING (-64.5376661 -32.0681801, -64.5386924 -32.0684027, -64.5394439 -32.0685848)",,,,,
"[895847147, 215128487]",True,Libertad,"['living_street', 'secondary']",False,128.94,"LINESTRING (-64.5376661 -32.0681801, -64.5378394 -32.0678873, -64.5382796 -32.0671436)",RPE82,1,20,,
