osmid,oneway,lanes,name,highway,reversed,length,maxspeed,ref,geometry
1242579283,False,2,Avenida 17 de Octubre,tertiary,True,107.277,,,"LINESTRING (-58.3386656 -34.8004906, -58.3398016 -34.8002444)"
51408159,False,,Liniers,residential,False,104.366,40,,"LINESTRING (-58.3392488 -34.8020735, -58.3386198 -34.8028572)"
190073183,True,,José Hernández,residential,False,66.36,40,,"LINESTRING (-58.3392488 -34.8020735, -58.33987 -34.8023833)"
51408159,False,,Liniers,residential,True,104.366,40,,"LINESTRING (-58.3386198 -34.8028572, -58.3392488 -34.8020735)"
51408211,False,2,R. Crispi,residential,False,97.146,,,"LINESTRING (-58.3413912 -34.8066229, -58.3408035 -34.8073512)"
51408211,False,2,R. Crispi,residential,True,103.949,,,"LINESTRING (-58.3413912 -34.8066229, -58.3420217 -34.8058445)"
136886932,False,2,Aristóbulo del Valle,residential,False,145.924,40,,"LINESTRING (-58.3413912 -34.8066229, -58.3427257 -34.8073451)"
136886932,False,2,Aristóbulo del Valle,residential,True,149.845,40,,"LINESTRING (-58.3413912 -34.8066229, -58.3400219 -34.80588)"
51408211,False,2,R. Crispi,residential,True,97.146,,,"LINESTRING (-58.3408035 -34.8073512, -58.3413912 -34.8066229)"
634424818,False,4,Avenida Lacaze,primary,False,147.452,30,RP4,"LINESTRING (-58.3408035 -34.8073512, -58.3394595 -34.8066159)"
634424818,False,4,Avenida Lacaze,primary,True,146.757,30,RP4,"LINESTRING (-58.3408035 -34.8073512, -58.3416048 -34.8077896, -58.3421412 -34.808083)"
51408049,False,2,Leandro N Alem,residential,False,144.867,40,,"LINESTRING (-58.3406445 -34.8050965, -58.3393211 -34.8043778)"
51408049,False,2,Leandro N Alem,residential,True,150.76,40,,"LINESTRING (-58.3406445 -34.8050965, -58.3420217 -34.8058445)"
51408210,False,2,Deán Funes,residential,False,108.3,,,"LINESTRING (-58.3406445 -34.8050965, -58.3413097 -34.8042901)"
51408210,False,2,Deán Funes,residential,True,104.026,,,"LINESTRING (-58.3406445 -34.8050965, -58.3400219 -34.80588)"
51407518,True,2,Amancio Alcorta,residential,False,150.705,40,,"LINESTRING (-58.3426843 -34.8050404, -58.3413097 -34.8042901)"
51408211,False,2,R. Crispi,residential,False,107.955,,,"LINESTRING (-58.3426843 -34.8050404, -58.3420217 -34.8058445)"
51408211,False,2,R. Crispi,residential,True,103.988,,,"LINESTRING (-58.3426843 -34.8050404, -58.3433172 -34.8042629)"
