osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,width
47259055,True,5,Avenida Corrientes,primary,50,False,135.918,"LINESTRING (-58.4375896 -34.6002505, -58.4371478 -34.6003971, -58.436781 -34.6005188, -58.4366672 -34.6005566, -58.4362123 -34.6007075)",
23734350,True,2,Aráoz,residential,40,False,115.485,"LINESTRING (-58.4369214 -34.5998451, -58.4359465 -34.5991858)",
121176058,True,,Vera,living_street,20,False,116.364,"LINESTRING (-58.4369214 -34.5998451, -58.4363074 -34.6005189, -58.4362123 -34.6007075)",11
47104788,True,,Avenida Warnes,secondary,60,False,111.37100000000001,"LINESTRING (-58.4400961 -34.6031855, -58.4410536 -34.6027951, -58.4411971 -34.6027643)",
1268297565,True,5,Avenida Corrientes,primary,50,False,132.583,"LINESTRING (-58.4416394 -34.5972164, -58.4406793 -34.5981092)",
232045620,True,,Gurruchaga,residential,40,False,140.58,"LINESTRING (-58.4416394 -34.5972164, -58.4426174 -34.5980019, -58.442738 -34.5980999)",
533680275,True,1,Gurruchaga,residential,20,False,125.664,"LINESTRING (-58.4381134 -34.5950116, -58.4392103 -34.5956912)",
46934500,True,,Juan Ramírez de Velasco,residential,40,False,119.736,"LINESTRING (-58.4392103 -34.5956912, -58.4400055 -34.5948362)",
533680274,True,1,Gurruchaga,residential,40,False,116.977,"LINESTRING (-58.4392103 -34.5956912, -58.4402212 -34.5963348)",
121176061,True,,Vera,residential,40,False,129.433,"LINESTRING (-58.4402212 -34.5963348, -58.4393527 -34.5972534)",
533680274,True,1,Gurruchaga,residential,40,False,162.667,"LINESTRING (-58.4402212 -34.5963348, -58.4416394 -34.5972164)",
315841243,True,,Malabia,residential,40,False,135.561,"LINESTRING (-58.4397475 -34.5989812, -58.4399909 -34.5991661, -58.4407081 -34.5997324, -58.4408207 -34.5998213)",
1059434012,True,5,Avenida Corrientes,primary,50,False,78.654,"LINESTRING (-58.4397475 -34.5989812, -58.4393145 -34.5993811, -58.4392434 -34.5994468, -58.4391758 -34.5995093)",
228564279,True,2,Acevedo,residential,40,False,154.271,"LINESTRING (-58.4406793 -34.5981092, -58.4393527 -34.5972534)",
316893069,True,5,Avenida Corrientes,primary,50,False,129.135,"LINESTRING (-58.4406793 -34.5981092, -58.4402204 -34.598536, -58.4397475 -34.5989812)",
